# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=full, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 29, 0.966667, 0.643259, 1.000000, 0.937500, 0.967742, 0.622782, 0.625239
2, 2, 180, 0.766667, 0.641578, 1.000000, 0.562500, 0.720000, 0.614793, 0.617428
2, 3, 6, 0.833333, 0.649061, 0.923077, 0.750000, 0.827586, 0.597760, 0.602416
2, 4, 109, 0.750000, 0.633464, 1.000000, 0.531250, 0.693878, 0.594729, 0.598028
2, 5, 153, 0.733333, 0.637034, 0.944444, 0.531250, 0.680000, 0.590828, 0.592053
3, 1, 21, 0.816667, 0.634562, 0.880000, 0.733333, 0.800000, 0.613670, 0.618914
3, 2, 45, 0.850000, 0.611063, 0.920000, 0.766667, 0.836364, 0.604702, 0.608761
3, 3, 44, 0.833333, 0.595711, 0.916667, 0.733333, 0.814815, 0.586010, 0.591197
3, 4, 81, 0.850000, 0.567896, 0.920000, 0.766667, 0.836364, 0.577882, 0.580960
3, 5, 143, 0.833333, 0.567087, 0.916667, 0.733333, 0.814815, 0.581355, 0.582315
4, 1, 22, 0.800000, 0.646055, 0.941176, 0.592593, 0.727273, 0.610621, 0.611462
4, 2, 34, 0.816667, 0.644576, 1.000000, 0.592593, 0.744186, 0.592443, 0.598539
4, 3, 27, 0.833333, 0.623680, 1.000000, 0.629630, 0.772727, 0.587450, 0.591650
4, 4, 125, 0.833333, 0.619490, 0.904762, 0.703704, 0.791667, 0.585712, 0.588043
4, 5, 93, 0.833333, 0.612381, 0.904762, 0.703704, 0.791667, 0.582994, 0.586048
5, 1, 187, 0.716667, 0.664162, 0.750000, 0.620690, 0.679245, 0.633952, 0.638353
5, 2, 96, 0.766667, 0.643106, 0.894737, 0.586207, 0.708333, 0.600416, 0.600416
5, 3, 111, 0.800000, 0.629192, 0.814815, 0.758621, 0.785714, 0.588375, 0.589451
5, 4, 199, 0.783333, 0.631250, 0.900000, 0.620690, 0.734694, 0.588105, 0.588611
5, 5, 101, 0.816667, 0.621047, 0.846154, 0.758621, 0.800000, 0.584987, 0.585500
