# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=pairwise, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 190, 0.650000, 0.699781, 0.622222, 0.875000, 0.727273, 0.686090, 0.687338
2, 2, 184, 0.733333, 0.651320, 0.666667, 1.000000, 0.800000, 0.632040, 0.632210
2, 3, 166, 0.750000, 0.647912, 0.717949, 0.875000, 0.788732, 0.629320, 0.631276
2, 4, 62, 0.766667, 0.655335, 0.725000, 0.906250, 0.805556, 0.629806, 0.630600
2, 5, 170, 0.816667, 0.643676, 0.744186, 1.000000, 0.853333, 0.629548, 0.633318
3, 1, 35, 0.733333, 0.664204, 0.888889, 0.533333, 0.666667, 0.661085, 0.672608
3, 2, 58, 0.783333, 0.630343, 0.947368, 0.600000, 0.734694, 0.613736, 0.613736
3, 3, 42, 0.783333, 0.611354, 0.904762, 0.633333, 0.745098, 0.613334, 0.614097
3, 4, 39, 0.783333, 0.620560, 0.904762, 0.633333, 0.745098, 0.613362, 0.614504
3, 5, 29, 0.783333, 0.613107, 0.904762, 0.633333, 0.745098, 0.613380, 0.615960
4, 1, 26, 0.783333, 0.646923, 1.000000, 0.518519, 0.682927, 0.649732, 0.650476
4, 2, 19, 0.783333, 0.634923, 1.000000, 0.518519, 0.682927, 0.609371, 0.612198
4, 3, 13, 0.783333, 0.631649, 1.000000, 0.518519, 0.682927, 0.610091, 0.612001
4, 4, 8, 0.783333, 0.630805, 1.000000, 0.518519, 0.682927, 0.609424, 0.613419
4, 5, 6, 0.783333, 0.630356, 1.000000, 0.518519, 0.682927, 0.610277, 0.617169
5, 1, 8, 0.550000, 0.728603, 0.522727, 0.793103, 0.630137, 0.689933, 0.718294
5, 2, 142, 0.650000, 0.665775, 0.642857, 0.620690, 0.631579, 0.644262, 0.644326
5, 3, 141, 0.733333, 0.652757, 0.809524, 0.586207, 0.680000, 0.618102, 0.618296
5, 4, 50, 0.733333, 0.654717, 0.809524, 0.586207, 0.680000, 0.618090, 0.622044
5, 5, 76, 0.733333, 0.654128, 0.809524, 0.586207, 0.680000, 0.618656, 0.621235
