# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=pairwise, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 130, 0.633333, 0.699624, 0.613636, 0.843750, 0.710526, 0.686011, 0.686507
2, 2, 91, 0.650000, 0.683965, 0.612245, 0.937500, 0.740741, 0.673889, 0.673889
2, 3, 42, 0.616667, 0.663552, 0.800000, 0.375000, 0.510638, 0.629453, 0.631687
2, 4, 34, 0.750000, 0.670515, 0.717949, 0.875000, 0.788732, 0.630497, 0.631629
2, 5, 185, 0.800000, 0.646212, 0.727273, 1.000000, 0.842105, 0.629359, 0.632480
3, 1, 37, 0.733333, 0.664621, 0.888889, 0.533333, 0.666667, 0.660987, 0.661021
3, 2, 78, 0.783333, 0.629147, 0.947368, 0.600000, 0.734694, 0.613587, 0.615040
3, 3, 52, 0.783333, 0.612718, 0.904762, 0.633333, 0.745098, 0.612782, 0.614207
3, 4, 37, 0.783333, 0.618902, 0.947368, 0.600000, 0.734694, 0.613419, 0.615101
3, 5, 23, 0.783333, 0.639407, 0.904762, 0.633333, 0.745098, 0.613753, 0.617409
4, 1, 29, 0.766667, 0.648200, 1.000000, 0.481481, 0.650000, 0.649556, 0.651651
4, 2, 165, 0.783333, 0.629358, 0.888889, 0.592593, 0.711111, 0.609412, 0.610180
4, 3, 53, 0.783333, 0.626060, 1.000000, 0.518519, 0.682927, 0.610203, 0.610345
4, 4, 18, 0.783333, 0.632011, 1.000000, 0.518519, 0.682927, 0.609510, 0.613091
4, 5, 19, 0.783333, 0.630267, 1.000000, 0.518519, 0.682927, 0.609808, 0.611745
5, 1, 13, 0.533333, 0.729350, 0.511628, 0.758621, 0.611111, 0.690340, 0.690806
5, 2, 154, 0.633333, 0.690506, 0.705882, 0.413793, 0.521739, 0.634719, 0.634947
5, 3, 94, 0.716667, 0.652930, 0.772727, 0.586207, 0.666667, 0.618110, 0.622182
5, 4, 94, 0.683333, 0.655134, 0.777778, 0.482759, 0.595745, 0.618635, 0.621601
5, 5, 148, 0.733333, 0.653990, 0.809524, 0.586207, 0.680000, 0.618336, 0.623721
