# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=ring, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 75, 0.716667, 0.661324, 1.000000, 0.468750, 0.638298, 0.648067, 0.648847
2, 2, 68, 0.766667, 0.630634, 1.000000, 0.562500, 0.720000, 0.603381, 0.604730
2, 3, 49, 0.766667, 0.635432, 1.000000, 0.562500, 0.720000, 0.610230, 0.611155
2, 4, 63, 0.716667, 0.641544, 1.000000, 0.468750, 0.638298, 0.595999, 0.608853
2, 5, 24, 0.716667, 0.643839, 0.941176, 0.500000, 0.653061, 0.587809, 0.594785
3, 1, 109, 0.850000, 0.636029, 0.956522, 0.733333, 0.830189, 0.628324, 0.628324
3, 2, 60, 0.816667, 0.623607, 0.743590, 0.966667, 0.840580, 0.612546, 0.614893
3, 3, 181, 0.800000, 0.573827, 0.909091, 0.666667, 0.769231, 0.588420, 0.590429
3, 4, 27, 0.833333, 0.577606, 0.916667, 0.733333, 0.814815, 0.578201, 0.582863
3, 5, 123, 0.833333, 0.563198, 0.916667, 0.733333, 0.814815, 0.573581, 0.573581
4, 1, 170, 0.783333, 0.644671, 0.937500, 0.555556, 0.697674, 0.623855, 0.640732
4, 2, 80, 0.766667, 0.634675, 0.882353, 0.555556, 0.681818, 0.601019, 0.601501
4, 3, 58, 0.766667, 0.626072, 0.842105, 0.592593, 0.695652, 0.594678, 0.595118
4, 4, 140, 0.783333, 0.618256, 0.850000, 0.629630, 0.723404, 0.583465, 0.583507
4, 5, 57, 0.816667, 0.629162, 0.900000, 0.666667, 0.765957, 0.583087, 0.583411
5, 1, 126, 0.633333, 0.697267, 0.652174, 0.517241, 0.576923, 0.654715, 0.654715
5, 2, 98, 0.716667, 0.646063, 0.800000, 0.551724, 0.653061, 0.600655, 0.602387
5, 3, 98, 0.866667, 0.618767, 0.956522, 0.758621, 0.846154, 0.589700, 0.602335
5, 4, 145, 0.850000, 0.623151, 1.000000, 0.689655, 0.816327, 0.589268, 0.594953
5, 5, 111, 0.866667, 0.616652, 0.956522, 0.758621, 0.846154, 0.579421, 0.590871
