# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=ring, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 164, 0.633333, 0.669267, 0.916667, 0.343750, 0.500000, 0.666319, 0.667546
2, 2, 165, 0.816667, 0.632688, 0.744186, 1.000000, 0.853333, 0.626253, 0.629318
2, 3, 155, 0.766667, 0.635887, 1.000000, 0.562500, 0.720000, 0.612109, 0.615649
2, 4, 22, 1.000000, 0.644703, 1.000000, 1.000000, 1.000000, 0.594141, 0.606330
2, 5, 132, 0.733333, 0.639385, 1.000000, 0.500000, 0.666667, 0.593435, 0.599921
3, 1, 112, 0.766667, 0.612571, 0.807692, 0.700000, 0.750000, 0.625024, 0.626398
3, 2, 72, 0.800000, 0.588108, 0.846154, 0.733333, 0.785714, 0.596960, 0.598352
3, 3, 195, 0.833333, 0.566992, 0.916667, 0.733333, 0.814815, 0.584825, 0.588019
3, 4, 164, 0.833333, 0.572344, 0.916667, 0.733333, 0.814815, 0.580311, 0.587563
3, 5, 50, 0.816667, 0.571880, 0.880000, 0.733333, 0.800000, 0.581314, 0.581400
4, 1, 21, 0.683333, 0.651891, 0.700000, 0.518519, 0.595745, 0.617531, 0.630052
4, 2, 16, 0.800000, 0.622101, 1.000000, 0.555556, 0.714286, 0.594290, 0.597152
4, 3, 159, 0.816667, 0.615521, 0.900000, 0.666667, 0.765957, 0.586183, 0.586602
4, 4, 79, 0.816667, 0.614674, 0.944444, 0.629630, 0.755556, 0.582542, 0.584056
4, 5, 31, 0.800000, 0.623245, 0.941176, 0.592593, 0.727273, 0.581954, 0.585400
5, 1, 6, 0.650000, 0.680303, 0.722222, 0.448276, 0.553191, 0.610074, 0.610391
5, 2, 115, 0.716667, 0.651102, 0.800000, 0.551724, 0.653061, 0.600340, 0.603082
5, 3, 138, 0.750000, 0.640179, 0.850000, 0.586207, 0.693878, 0.587874, 0.591704
5, 4, 44, 0.766667, 0.624310, 0.894737, 0.586207, 0.708333, 0.584090, 0.584736
5, 5, 154, 0.783333, 0.638182, 0.807692, 0.724138, 0.763636, 0.580734, 0.580734
