# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=chain, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 137, 0.650000, 0.699235, 0.622222, 0.875000, 0.727273, 0.686016, 0.686264
2, 2, 82, 0.666667, 0.682626, 0.620000, 0.968750, 0.756098, 0.674532, 0.675838
2, 3, 102, 0.866667, 0.641643, 0.815789, 0.968750, 0.885714, 0.638197, 0.639305
2, 4, 193, 0.766667, 0.636645, 1.000000, 0.562500, 0.720000, 0.613468, 0.614568
2, 5, 70, 0.733333, 0.647301, 0.666667, 1.000000, 0.800000, 0.609559, 0.614496
3, 1, 29, 0.733333, 0.664421, 0.888889, 0.533333, 0.666667, 0.660840, 0.660962
3, 2, 35, 0.783333, 0.639667, 0.904762, 0.633333, 0.745098, 0.613586, 0.614227
3, 3, 34, 0.816667, 0.628465, 0.913043, 0.700000, 0.792453, 0.607955, 0.611473
3, 4, 161, 0.833333, 0.615341, 0.884615, 0.766667, 0.821429, 0.615012, 0.617228
3, 5, 33, 0.833333, 0.622110, 0.916667, 0.733333, 0.814815, 0.608460, 0.620382
4, 1, 35, 0.783333, 0.647000, 1.000000, 0.518519, 0.682927, 0.649547, 0.649590
4, 2, 114, 0.783333, 0.630718, 0.888889, 0.592593, 0.711111, 0.609198, 0.612746
4, 3, 36, 0.800000, 0.608451, 1.000000, 0.555556, 0.714286, 0.588182, 0.589705
4, 4, 86, 0.833333, 0.613339, 0.947368, 0.666667, 0.782609, 0.585005, 0.588426
4, 5, 57, 0.833333, 0.609785, 1.000000, 0.629630, 0.772727, 0.584866, 0.587038
5, 1, 113, 0.550000, 0.730886, 0.522727, 0.793103, 0.630137, 0.690350, 0.691125
5, 2, 132, 0.633333, 0.686831, 0.705882, 0.413793, 0.521739, 0.635194, 0.635194
5, 3, 142, 0.700000, 0.655350, 0.789474, 0.517241, 0.625000, 0.614610, 0.614610
5, 4, 94, 0.783333, 0.642436, 0.807692, 0.724138, 0.763636, 0.604230, 0.607788
5, 5, 71, 0.766667, 0.644044, 0.800000, 0.689655, 0.740741, 0.602188, 0.603178
