# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=chain, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 1, 0.533333, 0.691793, 0.533333, 1.000000, 0.695652, 0.693008, 0.693607
2, 2, 17, 0.733333, 0.643336, 0.690476, 0.906250, 0.783784, 0.639009, 0.651923
2, 3, 51, 0.533333, 0.693222, 0.533333, 1.000000, 0.695652, 0.689717, 0.690344
2, 4, 96, 0.800000, 0.638361, 0.738095, 0.968750, 0.837838, 0.638898, 0.643987
2, 5, 60, 0.816667, 0.638521, 0.783784, 0.906250, 0.840580, 0.639533, 0.639913
3, 1, 1, 0.500000, 0.693460, 0.000000, 0.000000, 0.000000, 0.693147, 0.693703
3, 2, 120, 0.733333, 0.644656, 0.850000, 0.566667, 0.680000, 0.640395, 0.642520
3, 3, 12, 0.683333, 0.684650, 1.000000, 0.366667, 0.536585, 0.660872, 0.661091
3, 4, 91, 0.716667, 0.641079, 0.842105, 0.533333, 0.653061, 0.640264, 0.642112
3, 5, 35, 0.733333, 0.652961, 0.888889, 0.533333, 0.666667, 0.640502, 0.652967
4, 1, 31, 0.550000, 0.692940, 0.000000, 0.000000, 0.000000, 0.692835, 0.692895
4, 2, 168, 0.800000, 0.630642, 0.941176, 0.592593, 0.727273, 0.619038, 0.619988
4, 3, 10, 0.733333, 0.673451, 0.823529, 0.518519, 0.636364, 0.649580, 0.653454
4, 4, 15, 0.800000, 0.633619, 0.941176, 0.592593, 0.727273, 0.618813, 0.619689
4, 5, 175, 0.800000, 0.629517, 0.941176, 0.592593, 0.727273, 0.619130, 0.621288
5, 1, 5, 0.516667, 0.692837, 0.000000, 0.000000, 0.000000, 0.693112, 0.693112
5, 2, 144, 0.666667, 0.676391, 1.000000, 0.310345, 0.473684, 0.647259, 0.648296
5, 3, 68, 0.550000, 0.709728, 0.522727, 0.793103, 0.630137, 0.687424, 0.689565
5, 4, 55, 0.633333, 0.688225, 1.000000, 0.241379, 0.388889, 0.647064, 0.651970
5, 5, 37, 0.600000, 0.687445, 0.692308, 0.310345, 0.428571, 0.647459, 0.650950
