# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=full, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 94, 0.650000, 0.698931, 0.622222, 0.875000, 0.727273, 0.686012, 0.686976
2, 2, 109, 0.750000, 0.645345, 1.000000, 0.531250, 0.693878, 0.622370, 0.626232
2, 3, 163, 0.766667, 0.641053, 1.000000, 0.562500, 0.720000, 0.616754, 0.617409
2, 4, 173, 0.750000, 0.632800, 0.947368, 0.562500, 0.705882, 0.602404, 0.602501
2, 5, 124, 0.766667, 0.625509, 1.000000, 0.562500, 0.720000, 0.601775, 0.601775
3, 1, 172, 0.733333, 0.669223, 0.937500, 0.500000, 0.652174, 0.660905, 0.662280
3, 2, 199, 0.833333, 0.598138, 0.884615, 0.766667, 0.821429, 0.609419, 0.613310
3, 3, 178, 0.800000, 0.583953, 0.875000, 0.700000, 0.777778, 0.598275, 0.598858
3, 4, 162, 0.833333, 0.578294, 0.916667, 0.733333, 0.814815, 0.592485, 0.592944
3, 5, 94, 0.833333, 0.564904, 0.916667, 0.733333, 0.814815, 0.582111, 0.585470
4, 1, 64, 0.750000, 0.646031, 0.875000, 0.518519, 0.651163, 0.649548, 0.650374
4, 2, 77, 0.833333, 0.626128, 1.000000, 0.629630, 0.772727, 0.603481, 0.606532
4, 3, 42, 0.800000, 0.614925, 0.941176, 0.592593, 0.727273, 0.590671, 0.591958
4, 4, 32, 0.800000, 0.628393, 1.000000, 0.555556, 0.714286, 0.594319, 0.611683
4, 5, 62, 0.800000, 0.626813, 0.941176, 0.592593, 0.727273, 0.578990, 0.579363
5, 1, 8, 0.516667, 0.730436, 0.500000, 0.793103, 0.613333, 0.689980, 0.690648
5, 2, 102, 0.683333, 0.685540, 0.750000, 0.517241, 0.612245, 0.645528, 0.645528
5, 3, 198, 0.716667, 0.654221, 0.750000, 0.620690, 0.679245, 0.596827, 0.598420
5, 4, 46, 0.716667, 0.674684, 0.875000, 0.482759, 0.622222, 0.595599, 0.605960
5, 5, 86, 0.766667, 0.638191, 0.894737, 0.586207, 0.708333, 0.580290, 0.580290
