# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=full, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 28, 0.533333, 0.692934, 0.533333, 1.000000, 0.695652, 0.693008, 0.694054
2, 2, 90, 0.700000, 0.667594, 1.000000, 0.437500, 0.608696, 0.661366, 0.664116
2, 3, 172, 0.683333, 0.660922, 0.933333, 0.437500, 0.595745, 0.659330, 0.660367
2, 4, 27, 0.683333, 0.672282, 0.638298, 0.937500, 0.759494, 0.649264, 0.649403
2, 5, 124, 0.633333, 0.680291, 0.750000, 0.468750, 0.576923, 0.650096, 0.656314
3, 1, 1, 0.500000, 0.693460, 0.500000, 1.000000, 0.666667, 0.693147, 0.693272
3, 2, 122, 0.700000, 0.657370, 0.687500, 0.733333, 0.709677, 0.647691, 0.649377
3, 3, 24, 0.766667, 0.648372, 0.900000, 0.600000, 0.720000, 0.632441, 0.633928
3, 4, 68, 0.716667, 0.628321, 0.724138, 0.700000, 0.711864, 0.632003, 0.632390
3, 5, 12, 0.766667, 0.655383, 0.900000, 0.600000, 0.720000, 0.632711, 0.635306
4, 1, 2, 0.550000, 0.693147, 0.000000, 0.000000, 0.000000, 0.692835, 0.693211
4, 2, 172, 0.800000, 0.648840, 0.941176, 0.592593, 0.727273, 0.647833, 0.654430
4, 3, 53, 0.750000, 0.651949, 0.772727, 0.629630, 0.693878, 0.640745, 0.641961
4, 4, 73, 0.783333, 0.653530, 0.850000, 0.629630, 0.723404, 0.638260, 0.643446
4, 5, 52, 0.750000, 0.651399, 0.800000, 0.592593, 0.680851, 0.638776, 0.646913
5, 1, 1, 0.516667, 0.692626, 0.000000, 0.000000, 0.000000, 0.693112, 0.693144
5, 2, 161, 0.700000, 0.689027, 1.000000, 0.379310, 0.550000, 0.679051, 0.679952
5, 3, 85, 0.683333, 0.658106, 0.678571, 0.655172, 0.666667, 0.674296, 0.680599
5, 4, 180, 0.666667, 0.667351, 0.609756, 0.862069, 0.714286, 0.668899, 0.669117
5, 5, 100, 0.683333, 0.661754, 0.812500, 0.448276, 0.577778, 0.669817, 0.673904
