# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=pairwise, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 169, 0.633333, 0.696608, 0.692308, 0.562500, 0.620690, 0.686032, 0.691820
2, 2, 176, 0.850000, 0.665204, 0.828571, 0.906250, 0.865672, 0.665816, 0.665816
2, 3, 150, 0.783333, 0.650201, 0.720930, 0.968750, 0.826667, 0.632323, 0.633349
2, 4, 122, 0.766667, 0.648966, 0.695652, 1.000000, 0.820513, 0.629394, 0.629541
2, 5, 65, 0.800000, 0.650974, 0.763158, 0.906250, 0.828571, 0.629654, 0.634995
3, 1, 75, 0.733333, 0.666099, 0.937500, 0.500000, 0.652174, 0.660859, 0.663758
3, 2, 76, 0.783333, 0.631822, 0.947368, 0.600000, 0.734694, 0.613596, 0.613623
3, 3, 46, 0.783333, 0.621216, 0.904762, 0.633333, 0.745098, 0.612672, 0.616159
3, 4, 30, 0.783333, 0.630292, 0.904762, 0.633333, 0.745098, 0.612884, 0.625487
3, 5, 27, 0.783333, 0.621470, 0.904762, 0.633333, 0.745098, 0.612882, 0.619363
4, 1, 22, 0.766667, 0.648407, 1.000000, 0.481481, 0.650000, 0.649706, 0.651377
4, 2, 181, 0.783333, 0.628742, 0.888889, 0.592593, 0.711111, 0.609130, 0.614067
4, 3, 17, 0.783333, 0.635469, 1.000000, 0.518519, 0.682927, 0.610547, 0.616246
4, 4, 38, 0.783333, 0.625563, 1.000000, 0.518519, 0.682927, 0.609491, 0.613944
4, 5, 24, 0.783333, 0.630057, 1.000000, 0.518519, 0.682927, 0.609822, 0.612996
5, 1, 158, 0.566667, 0.732193, 0.531915, 0.862069, 0.657895, 0.690449, 0.690641
5, 2, 110, 0.650000, 0.677400, 0.722222, 0.448276, 0.553191, 0.633919, 0.635709
5, 3, 112, 0.733333, 0.653714, 0.809524, 0.586207, 0.680000, 0.618321, 0.622077
5, 4, 107, 0.733333, 0.656648, 0.809524, 0.586207, 0.680000, 0.618083, 0.632383
5, 5, 133, 0.733333, 0.656892, 0.809524, 0.586207, 0.680000, 0.618225, 0.626160
