# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=pairwise, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 24, 0.533333, 0.692805, 0.533333, 1.000000, 0.695652, 0.693008, 0.694953
2, 2, 51, 0.616667, 0.700701, 0.846154, 0.343750, 0.488889, 0.692675, 0.692709
2, 3, 27, 0.650000, 0.692645, 0.823529, 0.437500, 0.571429, 0.689880, 0.692690
2, 4, 165, 0.650000, 0.698356, 0.627907, 0.843750, 0.720000, 0.686102, 0.686225
2, 5, 91, 0.716667, 0.692102, 0.894737, 0.531250, 0.666667, 0.689868, 0.695104
3, 1, 1, 0.500000, 0.693460, 0.000000, 0.000000, 0.000000, 0.693147, 0.693202
3, 2, 179, 0.683333, 0.674559, 1.000000, 0.366667, 0.536585, 0.661062, 0.661069
3, 3, 131, 0.700000, 0.673330, 1.000000, 0.400000, 0.571429, 0.660982, 0.662770
3, 4, 25, 0.733333, 0.664607, 0.888889, 0.533333, 0.666667, 0.660877, 0.664170
3, 5, 81, 0.716667, 0.671345, 1.000000, 0.433333, 0.604651, 0.660862, 0.663679
4, 1, 55, 0.550000, 0.693031, 0.000000, 0.000000, 0.000000, 0.692835, 0.692847
4, 2, 122, 0.716667, 0.650802, 0.750000, 0.555556, 0.638298, 0.649626, 0.650652
4, 3, 163, 0.733333, 0.649380, 0.789474, 0.555556, 0.652174, 0.649570, 0.654020
4, 4, 9, 0.733333, 0.654065, 0.823529, 0.518519, 0.636364, 0.649659, 0.649659
4, 5, 63, 0.733333, 0.648875, 0.789474, 0.555556, 0.652174, 0.649565, 0.651963
5, 1, 21, 0.516667, 0.693000, 0.000000, 0.000000, 0.000000, 0.693112, 0.693596
5, 2, 173, 0.650000, 0.695595, 0.833333, 0.344828, 0.487805, 0.686895, 0.686964
5, 3, 18, 0.650000, 0.690906, 0.833333, 0.344828, 0.487805, 0.687289, 0.689302
5, 4, 53, 0.550000, 0.725176, 0.521739, 0.827586, 0.640000, 0.688469, 0.688469
5, 5, 139, 0.600000, 0.697106, 0.647059, 0.379310, 0.478261, 0.686817, 0.690958
