# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=ring, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 100, 0.833333, 0.661168, 0.761905, 1.000000, 0.864865, 0.671025, 0.672302
2, 2, 75, 0.833333, 0.637892, 0.775000, 0.968750, 0.861111, 0.626100, 0.627990
2, 3, 14, 0.833333, 0.658184, 0.775000, 0.968750, 0.861111, 0.624201, 0.625031
2, 4, 163, 0.850000, 0.627237, 0.960000, 0.750000, 0.842105, 0.618371, 0.624915
2, 5, 168, 0.716667, 0.647440, 1.000000, 0.468750, 0.638298, 0.615720, 0.619236
3, 1, 55, 0.783333, 0.614999, 0.869565, 0.666667, 0.754717, 0.625076, 0.625723
3, 2, 59, 0.833333, 0.617820, 0.916667, 0.733333, 0.814815, 0.615373, 0.615682
3, 3, 101, 0.833333, 0.603441, 0.916667, 0.733333, 0.814815, 0.602203, 0.602203
3, 4, 154, 0.816667, 0.573371, 0.913043, 0.700000, 0.792453, 0.590437, 0.597959
3, 5, 84, 0.816667, 0.585143, 0.880000, 0.733333, 0.800000, 0.590344, 0.591213
4, 1, 127, 0.683333, 0.656122, 0.666667, 0.592593, 0.627451, 0.617432, 0.620173
4, 2, 14, 0.800000, 0.625547, 1.000000, 0.555556, 0.714286, 0.594808, 0.595675
4, 3, 173, 0.800000, 0.612925, 0.941176, 0.592593, 0.727273, 0.595505, 0.598458
4, 4, 7, 0.800000, 0.619897, 1.000000, 0.555556, 0.714286, 0.590090, 0.594399
4, 5, 151, 0.800000, 0.616610, 0.941176, 0.592593, 0.727273, 0.594434, 0.596938
5, 1, 93, 0.650000, 0.672675, 0.666667, 0.551724, 0.603774, 0.610284, 0.610932
5, 2, 70, 0.716667, 0.663043, 0.700000, 0.724138, 0.711864, 0.608556, 0.610539
5, 3, 135, 0.700000, 0.663256, 0.761905, 0.551724, 0.640000, 0.607779, 0.611332
5, 4, 53, 0.733333, 0.658233, 0.842105, 0.551724, 0.666667, 0.608363, 0.611485
5, 5, 30, 0.716667, 0.660055, 0.700000, 0.724138, 0.711864, 0.608292, 0.613004
