# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=chain, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 13, 0.650000, 0.699108, 0.627907, 0.843750, 0.720000, 0.686073, 0.687756
2, 2, 23, 0.650000, 0.698947, 0.622222, 0.875000, 0.727273, 0.686073, 0.686577
2, 3, 141, 0.650000, 0.698908, 0.622222, 0.875000, 0.727273, 0.686073, 0.686114
2, 4, 79, 0.666667, 0.699086, 0.636364, 0.875000, 0.736842, 0.686073, 0.686924
2, 5, 23, 0.650000, 0.699003, 0.622222, 0.875000, 0.727273, 0.686073, 0.686106
3, 1, 27, 0.633333, 0.676844, 0.833333, 0.333333, 0.476190, 0.684501, 0.684502
3, 2, 18, 0.633333, 0.676876, 0.833333, 0.333333, 0.476190, 0.684501, 0.684658
3, 3, 144, 0.633333, 0.676770, 0.833333, 0.333333, 0.476190, 0.684501, 0.686933
3, 4, 63, 0.633333, 0.676803, 0.833333, 0.333333, 0.476190, 0.684505, 0.685862
3, 5, 114, 0.633333, 0.676710, 0.833333, 0.333333, 0.476190, 0.684501, 0.686756
4, 1, 21, 0.600000, 0.680062, 0.548387, 0.629630, 0.586207, 0.688225, 0.688230
4, 2, 23, 0.600000, 0.680053, 0.548387, 0.629630, 0.586207, 0.688225, 0.688890
4, 3, 17, 0.600000, 0.680143, 0.548387, 0.629630, 0.586207, 0.688225, 0.688501
4, 4, 163, 0.616667, 0.673547, 0.642857, 0.333333, 0.439024, 0.688225, 0.688810
4, 5, 19, 0.600000, 0.679930, 0.548387, 0.629630, 0.586207, 0.688225, 0.688284
5, 1, 98, 0.516667, 0.723655, 0.500000, 0.724138, 0.591549, 0.697068, 0.697078
5, 2, 16, 0.516667, 0.723325, 0.500000, 0.689655, 0.579710, 0.697068, 0.709976
5, 3, 77, 0.516667, 0.723597, 0.500000, 0.724138, 0.591549, 0.697068, 0.697524
5, 4, 20, 0.516667, 0.723142, 0.500000, 0.689655, 0.579710, 0.697068, 0.697607
5, 5, 20, 0.516667, 0.723653, 0.500000, 0.724138, 0.591549, 0.697070, 0.697957
