# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=chain, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 48, 0.666667, 0.699049, 0.636364, 0.875000, 0.736842, 0.686073, 0.686245
2, 2, 169, 0.650000, 0.698992, 0.622222, 0.875000, 0.727273, 0.686073, 0.686073
2, 3, 122, 0.633333, 0.699280, 0.619048, 0.812500, 0.702703, 0.686073, 0.686918
2, 4, 60, 0.666667, 0.699062, 0.636364, 0.875000, 0.736842, 0.686073, 0.690105
2, 5, 13, 0.666667, 0.699053, 0.636364, 0.875000, 0.736842, 0.686073, 0.686158
3, 1, 18, 0.633333, 0.676771, 0.833333, 0.333333, 0.476190, 0.684501, 0.687556
3, 2, 17, 0.633333, 0.676916, 0.833333, 0.333333, 0.476190, 0.684502, 0.684532
3, 3, 17, 0.633333, 0.677002, 0.833333, 0.333333, 0.476190, 0.684501, 0.687008
3, 4, 94, 0.633333, 0.677086, 0.833333, 0.333333, 0.476190, 0.684501, 0.685059
3, 5, 45, 0.633333, 0.676681, 0.833333, 0.333333, 0.476190, 0.684501, 0.686007
4, 1, 22, 0.600000, 0.680167, 0.548387, 0.629630, 0.586207, 0.688225, 0.689906
4, 2, 32, 0.600000, 0.675528, 0.588235, 0.370370, 0.454545, 0.688225, 0.688226
4, 3, 43, 0.600000, 0.680056, 0.548387, 0.629630, 0.586207, 0.688225, 0.688234
4, 4, 26, 0.600000, 0.680008, 0.548387, 0.629630, 0.586207, 0.688225, 0.688883
4, 5, 37, 0.600000, 0.680055, 0.548387, 0.629630, 0.586207, 0.688226, 0.688286
5, 1, 16, 0.516667, 0.723213, 0.500000, 0.689655, 0.579710, 0.697068, 0.697304
5, 2, 23, 0.516667, 0.723038, 0.500000, 0.689655, 0.579710, 0.697068, 0.699859
5, 3, 19, 0.516667, 0.723101, 0.500000, 0.689655, 0.579710, 0.697068, 0.698326
5, 4, 13, 0.516667, 0.723213, 0.500000, 0.689655, 0.579710, 0.697068, 0.698069
5, 5, 107, 0.516667, 0.723677, 0.500000, 0.724138, 0.591549, 0.697068, 0.697131
