# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=full, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 14, 0.666667, 0.699050, 0.636364, 0.875000, 0.736842, 0.686073, 0.686366
2, 2, 14, 0.650000, 0.698851, 0.622222, 0.875000, 0.727273, 0.686073, 0.686559
2, 3, 198, 0.666667, 0.699078, 0.636364, 0.875000, 0.736842, 0.686073, 0.687253
2, 4, 13, 0.650000, 0.698885, 0.622222, 0.875000, 0.727273, 0.686074, 0.686450
2, 5, 160, 0.666667, 0.699059, 0.636364, 0.875000, 0.736842, 0.686073, 0.690192
3, 1, 68, 0.633333, 0.676813, 0.833333, 0.333333, 0.476190, 0.684501, 0.686034
3, 2, 124, 0.633333, 0.677202, 0.833333, 0.333333, 0.476190, 0.684501, 0.688896
3, 3, 36, 0.633333, 0.676719, 0.833333, 0.333333, 0.476190, 0.684501, 0.684732
3, 4, 26, 0.633333, 0.676877, 0.833333, 0.333333, 0.476190, 0.684501, 0.684531
3, 5, 169, 0.633333, 0.676847, 0.833333, 0.333333, 0.476190, 0.684501, 0.684803
4, 1, 28, 0.600000, 0.675467, 0.588235, 0.370370, 0.454545, 0.688225, 0.688361
4, 2, 31, 0.600000, 0.680014, 0.548387, 0.629630, 0.586207, 0.688225, 0.688233
4, 3, 17, 0.600000, 0.679545, 0.551724, 0.592593, 0.571429, 0.688225, 0.688225
4, 4, 29, 0.600000, 0.679566, 0.551724, 0.592593, 0.571429, 0.688225, 0.688250
4, 5, 23, 0.600000, 0.680039, 0.548387, 0.629630, 0.586207, 0.688226, 0.690207
5, 1, 18, 0.516667, 0.723135, 0.500000, 0.689655, 0.579710, 0.697068, 0.698188
5, 2, 22, 0.516667, 0.723297, 0.500000, 0.689655, 0.579710, 0.697068, 0.697308
5, 3, 71, 0.516667, 0.723409, 0.500000, 0.689655, 0.579710, 0.697069, 0.697481
5, 4, 32, 0.516667, 0.723217, 0.500000, 0.689655, 0.579710, 0.697068, 0.697217
5, 5, 13, 0.516667, 0.723290, 0.500000, 0.689655, 0.579710, 0.697068, 0.699363
