# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=pairwise, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 170, 0.666667, 0.699086, 0.636364, 0.875000, 0.736842, 0.686074, 0.687705
2, 2, 15, 0.650000, 0.698849, 0.622222, 0.875000, 0.727273, 0.686073, 0.687749
2, 3, 13, 0.650000, 0.698979, 0.622222, 0.875000, 0.727273, 0.686073, 0.686888
2, 4, 23, 0.650000, 0.699011, 0.622222, 0.875000, 0.727273, 0.686073, 0.686081
2, 5, 94, 0.666667, 0.699050, 0.636364, 0.875000, 0.736842, 0.686073, 0.688493
3, 1, 17, 0.600000, 0.676924, 0.571429, 0.800000, 0.666667, 0.684501, 0.684667
3, 2, 34, 0.633333, 0.676799, 0.833333, 0.333333, 0.476190, 0.684501, 0.684618
3, 3, 167, 0.633333, 0.677236, 0.833333, 0.333333, 0.476190, 0.684501, 0.684673
3, 4, 22, 0.633333, 0.676866, 0.833333, 0.333333, 0.476190, 0.684501, 0.684623
3, 5, 30, 0.633333, 0.676857, 0.833333, 0.333333, 0.476190, 0.684501, 0.684523
4, 1, 25, 0.600000, 0.675255, 0.588235, 0.370370, 0.454545, 0.688225, 0.689214
4, 2, 28, 0.650000, 0.673436, 0.750000, 0.333333, 0.461538, 0.688225, 0.688361
4, 3, 22, 0.600000, 0.680197, 0.548387, 0.629630, 0.586207, 0.688225, 0.691195
4, 4, 90, 0.666667, 0.673354, 1.000000, 0.259259, 0.411765, 0.688225, 0.688247
4, 5, 18, 0.600000, 0.680165, 0.548387, 0.629630, 0.586207, 0.688225, 0.688493
5, 1, 17, 0.516667, 0.723574, 0.500000, 0.724138, 0.591549, 0.697068, 0.697295
5, 2, 59, 0.516667, 0.723168, 0.500000, 0.689655, 0.579710, 0.697068, 0.701603
5, 3, 87, 0.516667, 0.723211, 0.500000, 0.689655, 0.579710, 0.697068, 0.700520
5, 4, 17, 0.516667, 0.723126, 0.500000, 0.689655, 0.579710, 0.697068, 0.698561
5, 5, 13, 0.516667, 0.723248, 0.500000, 0.689655, 0.579710, 0.697068, 0.697993
