# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=pairwise, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 20, 0.666667, 0.699076, 0.636364, 0.875000, 0.736842, 0.686073, 0.686995
2, 2, 185, 0.666667, 0.699085, 0.636364, 0.875000, 0.736842, 0.686074, 0.687828
2, 3, 195, 0.666667, 0.699064, 0.636364, 0.875000, 0.736842, 0.686073, 0.687994
2, 4, 68, 0.666667, 0.699090, 0.636364, 0.875000, 0.736842, 0.686073, 0.688507
2, 5, 16, 0.650000, 0.698951, 0.622222, 0.875000, 0.727273, 0.686074, 0.686656
3, 1, 22, 0.633333, 0.676922, 0.833333, 0.333333, 0.476190, 0.684501, 0.685859
3, 2, 69, 0.633333, 0.676678, 0.833333, 0.333333, 0.476190, 0.684501, 0.686330
3, 3, 35, 0.633333, 0.676708, 0.833333, 0.333333, 0.476190, 0.684501, 0.686661
3, 4, 132, 0.633333, 0.676893, 0.833333, 0.333333, 0.476190, 0.684501, 0.684555
3, 5, 46, 0.633333, 0.677088, 0.833333, 0.333333, 0.476190, 0.684501, 0.685524
4, 1, 15, 0.600000, 0.679459, 0.551724, 0.592593, 0.571429, 0.688226, 0.692345
4, 2, 27, 0.600000, 0.675175, 0.588235, 0.370370, 0.454545, 0.688225, 0.688802
4, 3, 129, 0.650000, 0.673432, 0.750000, 0.333333, 0.461538, 0.688225, 0.692234
4, 4, 29, 0.600000, 0.679508, 0.551724, 0.592593, 0.571429, 0.688225, 0.688385
4, 5, 19, 0.600000, 0.680065, 0.548387, 0.629630, 0.586207, 0.688225, 0.689430
5, 1, 20, 0.516667, 0.723636, 0.500000, 0.724138, 0.591549, 0.697068, 0.697431
5, 2, 17, 0.516667, 0.723380, 0.500000, 0.689655, 0.579710, 0.697068, 0.697139
5, 3, 156, 0.500000, 0.722463, 0.485714, 0.586207, 0.531250, 0.697068, 0.697496
5, 4, 13, 0.516667, 0.723178, 0.500000, 0.689655, 0.579710, 0.697068, 0.700213
5, 5, 14, 0.516667, 0.723328, 0.500000, 0.689655, 0.579710, 0.697068, 0.697188
