# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=ring, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 75, 0.516667, 0.740650, 0.548387, 0.531250, 0.539683, 0.720858, 0.721317
2, 2, 88, 0.650000, 0.680075, 0.789474, 0.468750, 0.588235, 0.670455, 0.670456
2, 3, 6, 0.633333, 0.670168, 0.638889, 0.718750, 0.676471, 0.696276, 0.696748
2, 4, 69, 0.633333, 0.671982, 0.727273, 0.500000, 0.592593, 0.681190, 0.681614
2, 5, 26, 0.500000, 0.729126, 0.545455, 0.375000, 0.444444, 0.758841, 0.759014
3, 1, 35, 0.700000, 0.628754, 0.750000, 0.600000, 0.666667, 0.643423, 0.644233
3, 2, 6, 0.350000, 0.768725, 0.333333, 0.300000, 0.315789, 0.749224, 0.751816
3, 3, 6, 0.616667, 0.682317, 0.606061, 0.666667, 0.634921, 0.689851, 0.690062
3, 4, 32, 0.616667, 0.679220, 0.684211, 0.433333, 0.530612, 0.681377, 0.689338
3, 5, 178, 0.700000, 0.645117, 0.875000, 0.466667, 0.608696, 0.664783, 0.666024
4, 1, 11, 0.600000, 0.692187, 0.666667, 0.222222, 0.333333, 0.676321, 0.676369
4, 2, 28, 0.483333, 0.708845, 0.375000, 0.222222, 0.279070, 0.681446, 0.684361
4, 3, 5, 0.516667, 0.696596, 0.478261, 0.814815, 0.602740, 0.696892, 0.697450
4, 4, 2, 0.600000, 0.665579, 0.565217, 0.481481, 0.520000, 0.683259, 0.686878
4, 5, 1, 0.566667, 0.708916, 0.516129, 0.592593, 0.551724, 0.700829, 0.701580
5, 1, 123, 0.600000, 0.708718, 0.567568, 0.724138, 0.636364, 0.711361, 0.711362
5, 2, 3, 0.633333, 0.670625, 0.620690, 0.620690, 0.620690, 0.673288, 0.674788
5, 3, 5, 0.650000, 0.646214, 0.600000, 0.827586, 0.695652, 0.653196, 0.653745
5, 4, 29, 0.616667, 0.666508, 0.650000, 0.448276, 0.530612, 0.650234, 0.650473
5, 5, 4, 0.633333, 0.687659, 0.606061, 0.689655, 0.645161, 0.715683, 0.715792
