# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=ring, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 194, 0.633333, 0.678749, 0.750000, 0.468750, 0.576923, 0.675148, 0.676998
2, 2, 124, 0.616667, 0.679430, 0.714286, 0.468750, 0.566038, 0.664499, 0.664830
2, 3, 156, 0.650000, 0.677414, 0.761905, 0.500000, 0.603774, 0.641963, 0.644622
2, 4, 11, 0.616667, 0.690563, 0.588235, 0.937500, 0.722892, 0.634827, 0.635144
2, 5, 41, 0.650000, 0.675314, 0.720000, 0.562500, 0.631579, 0.640983, 0.642077
3, 1, 6, 0.783333, 0.623162, 0.947368, 0.600000, 0.734694, 0.632780, 0.633431
3, 2, 156, 0.766667, 0.623472, 0.863636, 0.633333, 0.730769, 0.636632, 0.638454
3, 3, 99, 0.800000, 0.606988, 0.950000, 0.633333, 0.760000, 0.604995, 0.608215
3, 4, 48, 0.783333, 0.633236, 0.757576, 0.833333, 0.793651, 0.635072, 0.636953
3, 5, 21, 0.800000, 0.607138, 0.821429, 0.766667, 0.793103, 0.602387, 0.604663
4, 1, 3, 0.650000, 0.657168, 0.875000, 0.259259, 0.400000, 0.622579, 0.624701
4, 2, 149, 0.783333, 0.665678, 0.937500, 0.555556, 0.697674, 0.651748, 0.653585
4, 3, 158, 0.766667, 0.642533, 0.882353, 0.555556, 0.681818, 0.618691, 0.618879
4, 4, 136, 0.766667, 0.662107, 0.740741, 0.740741, 0.740741, 0.650284, 0.651546
4, 5, 112, 0.766667, 0.643684, 0.882353, 0.555556, 0.681818, 0.618596, 0.619679
5, 1, 7, 0.666667, 0.682375, 0.655172, 0.655172, 0.655172, 0.622983, 0.626738
5, 2, 78, 0.650000, 0.711899, 0.900000, 0.310345, 0.461538, 0.658260, 0.662752
5, 3, 60, 0.733333, 0.649093, 0.709677, 0.758621, 0.733333, 0.605074, 0.605386
5, 4, 26, 0.683333, 0.696755, 1.000000, 0.344828, 0.512821, 0.655380, 0.655380
5, 5, 169, 0.750000, 0.655840, 0.769231, 0.689655, 0.727273, 0.604769, 0.605845
