# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=chain, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 30, 0.650000, 0.652439, 0.789474, 0.468750, 0.588235, 0.632431, 0.632733
2, 2, 10, 0.833333, 0.648321, 0.843750, 0.843750, 0.843750, 0.638743, 0.646583
2, 3, 165, 0.766667, 0.635621, 1.000000, 0.562500, 0.720000, 0.598865, 0.600296
2, 4, 95, 0.733333, 0.636921, 1.000000, 0.500000, 0.666667, 0.592769, 0.600108
2, 5, 172, 0.733333, 0.639677, 1.000000, 0.500000, 0.666667, 0.589497, 0.591700
3, 1, 54, 0.750000, 0.603133, 0.894737, 0.566667, 0.693878, 0.616818, 0.617335
3, 2, 187, 0.800000, 0.601352, 1.000000, 0.600000, 0.750000, 0.603595, 0.609468
3, 3, 32, 0.783333, 0.600076, 0.904762, 0.633333, 0.745098, 0.592861, 0.599893
3, 4, 71, 0.850000, 0.578644, 0.920000, 0.766667, 0.836364, 0.585929, 0.589409
3, 5, 101, 0.850000, 0.571324, 0.920000, 0.766667, 0.836364, 0.580471, 0.586280
4, 1, 78, 0.750000, 0.641608, 0.800000, 0.592593, 0.680851, 0.616952, 0.618227
4, 2, 156, 0.833333, 0.622835, 0.947368, 0.666667, 0.782609, 0.588783, 0.589812
4, 3, 90, 0.800000, 0.613086, 0.941176, 0.592593, 0.727273, 0.590934, 0.595550
4, 4, 118, 0.850000, 0.613863, 1.000000, 0.666667, 0.800000, 0.578904, 0.580481
4, 5, 51, 0.800000, 0.611950, 0.894737, 0.629630, 0.739130, 0.577011, 0.583019
5, 1, 42, 0.666667, 0.663742, 0.655172, 0.655172, 0.655172, 0.635598, 0.635863
5, 2, 171, 0.750000, 0.642987, 0.791667, 0.655172, 0.716981, 0.616309, 0.621434
5, 3, 28, 0.833333, 0.620571, 0.913043, 0.724138, 0.807692, 0.585641, 0.586208
5, 4, 139, 0.800000, 0.624854, 0.814815, 0.758621, 0.785714, 0.587389, 0.587451
5, 5, 23, 0.816667, 0.615673, 0.846154, 0.758621, 0.800000, 0.580582, 0.583660
