# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=full, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 50, 0.633333, 0.701244, 0.608696, 0.875000, 0.717949, 0.686020, 0.686106
2, 2, 195, 0.900000, 0.641184, 0.842105, 1.000000, 0.914286, 0.635621, 0.640348
2, 3, 112, 0.733333, 0.637504, 0.944444, 0.531250, 0.680000, 0.601717, 0.612912
2, 4, 167, 0.750000, 0.635075, 1.000000, 0.531250, 0.693878, 0.594137, 0.594137
2, 5, 106, 0.750000, 0.642381, 0.947368, 0.562500, 0.705882, 0.593291, 0.594493
3, 1, 61, 0.733333, 0.664641, 0.888889, 0.533333, 0.666667, 0.661186, 0.662662
3, 2, 79, 0.850000, 0.602153, 0.920000, 0.766667, 0.836364, 0.609684, 0.609853
3, 3, 92, 0.850000, 0.584703, 0.920000, 0.766667, 0.836364, 0.597665, 0.603106
3, 4, 41, 0.850000, 0.588113, 0.920000, 0.766667, 0.836364, 0.587326, 0.593908
3, 5, 160, 0.833333, 0.570820, 0.916667, 0.733333, 0.814815, 0.580794, 0.582728
4, 1, 35, 0.783333, 0.647351, 1.000000, 0.518519, 0.682927, 0.649552, 0.649655
4, 2, 177, 0.816667, 0.624632, 0.944444, 0.629630, 0.755556, 0.603736, 0.604815
4, 3, 144, 0.816667, 0.620719, 0.863636, 0.703704, 0.775510, 0.585843, 0.585843
4, 4, 54, 0.833333, 0.619893, 0.904762, 0.703704, 0.791667, 0.582725, 0.584678
4, 5, 80, 0.833333, 0.618523, 0.904762, 0.703704, 0.791667, 0.578855, 0.584264
5, 1, 9, 0.566667, 0.728159, 0.534884, 0.793103, 0.638889, 0.690136, 0.692119
5, 2, 153, 0.700000, 0.669597, 0.789474, 0.517241, 0.625000, 0.635144, 0.635906
5, 3, 79, 0.750000, 0.646689, 0.769231, 0.689655, 0.727273, 0.601060, 0.601060
5, 4, 196, 0.733333, 0.633294, 0.760000, 0.655172, 0.703704, 0.586768, 0.586768
5, 5, 167, 0.800000, 0.622540, 0.947368, 0.620690, 0.750000, 0.582765, 0.582989
