# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=full, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 107, 0.633333, 0.700955, 0.604167, 0.906250, 0.725000, 0.686033, 0.686068
2, 2, 84, 0.750000, 0.645994, 1.000000, 0.531250, 0.693878, 0.622363, 0.624259
2, 3, 77, 0.733333, 0.647508, 1.000000, 0.500000, 0.666667, 0.610948, 0.621108
2, 4, 78, 0.766667, 0.640138, 1.000000, 0.562500, 0.720000, 0.600230, 0.601135
2, 5, 96, 0.766667, 0.625746, 0.800000, 0.750000, 0.774194, 0.600207, 0.604285
3, 1, 52, 0.733333, 0.664340, 0.888889, 0.533333, 0.666667, 0.661057, 0.661302
3, 2, 106, 0.816667, 0.597861, 0.880000, 0.733333, 0.800000, 0.609462, 0.612629
3, 3, 61, 0.816667, 0.593510, 0.851852, 0.766667, 0.807018, 0.600758, 0.601516
3, 4, 53, 0.833333, 0.614086, 0.916667, 0.733333, 0.814815, 0.588933, 0.593881
3, 5, 148, 0.833333, 0.567958, 0.916667, 0.733333, 0.814815, 0.577021, 0.577021
4, 1, 14, 0.750000, 0.652647, 0.928571, 0.481481, 0.634146, 0.649618, 0.650091
4, 2, 54, 0.833333, 0.630886, 1.000000, 0.629630, 0.772727, 0.603353, 0.605185
4, 3, 37, 0.800000, 0.635805, 1.000000, 0.555556, 0.714286, 0.591431, 0.596428
4, 4, 25, 0.816667, 0.638652, 1.000000, 0.592593, 0.744186, 0.586817, 0.590843
4, 5, 90, 0.816667, 0.617518, 0.863636, 0.703704, 0.775510, 0.583567, 0.586591
5, 1, 8, 0.533333, 0.729135, 0.511111, 0.793103, 0.621622, 0.690820, 0.691640
5, 2, 116, 0.650000, 0.669249, 0.625000, 0.689655, 0.655738, 0.633791, 0.635481
5, 3, 42, 0.733333, 0.671388, 0.809524, 0.586207, 0.680000, 0.600374, 0.601195
5, 4, 148, 0.766667, 0.626963, 0.777778, 0.724138, 0.750000, 0.584072, 0.587660
5, 5, 166, 0.800000, 0.611635, 0.869565, 0.689655, 0.769231, 0.580715, 0.585935
