# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=pairwise, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 136, 0.650000, 0.699130, 0.622222, 0.875000, 0.727273, 0.686039, 0.686510
2, 2, 97, 0.766667, 0.653644, 0.695652, 1.000000, 0.820513, 0.632065, 0.632507
2, 3, 115, 0.766667, 0.651501, 0.695652, 1.000000, 0.820513, 0.629742, 0.630883
2, 4, 180, 0.766667, 0.645464, 0.725000, 0.906250, 0.805556, 0.630172, 0.633359
2, 5, 62, 0.883333, 0.654037, 0.820513, 1.000000, 0.901408, 0.629838, 0.641438
3, 1, 14, 0.733333, 0.664304, 0.888889, 0.533333, 0.666667, 0.660858, 0.671355
3, 2, 52, 0.783333, 0.629136, 0.947368, 0.600000, 0.734694, 0.614425, 0.615040
3, 3, 38, 0.783333, 0.623443, 0.904762, 0.633333, 0.745098, 0.613197, 0.615473
3, 4, 59, 0.783333, 0.608410, 0.904762, 0.633333, 0.745098, 0.613545, 0.621793
3, 5, 43, 0.783333, 0.608828, 0.904762, 0.633333, 0.745098, 0.613320, 0.621041
4, 1, 39, 0.783333, 0.646712, 1.000000, 0.518519, 0.682927, 0.649702, 0.649717
4, 2, 14, 0.783333, 0.635368, 1.000000, 0.518519, 0.682927, 0.609504, 0.609886
4, 3, 17, 0.783333, 0.631066, 1.000000, 0.518519, 0.682927, 0.609482, 0.616699
4, 4, 8, 0.783333, 0.632414, 1.000000, 0.518519, 0.682927, 0.610274, 0.612080
4, 5, 8, 0.783333, 0.630101, 1.000000, 0.518519, 0.682927, 0.609647, 0.625890
5, 1, 15, 0.566667, 0.727540, 0.534884, 0.793103, 0.638889, 0.690010, 0.691577
5, 2, 110, 0.650000, 0.668537, 0.617647, 0.724138, 0.666667, 0.636490, 0.639147
5, 3, 35, 0.683333, 0.659395, 0.727273, 0.551724, 0.627451, 0.618286, 0.629261
5, 4, 156, 0.700000, 0.650893, 0.739130, 0.586207, 0.653846, 0.618115, 0.619134
5, 5, 76, 0.733333, 0.651780, 0.809524, 0.586207, 0.680000, 0.618488, 0.626879
