# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=pairwise, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 52, 0.650000, 0.651173, 0.789474, 0.468750, 0.588235, 0.632431, 0.632616
2, 2, 8, 0.766667, 0.644137, 0.875000, 0.656250, 0.750000, 0.631170, 0.631606
2, 3, 127, 0.800000, 0.649786, 0.727273, 1.000000, 0.842105, 0.630505, 0.631125
2, 4, 171, 0.800000, 0.646248, 0.727273, 1.000000, 0.842105, 0.630471, 0.637244
2, 5, 5, 0.866667, 0.648259, 0.815789, 0.968750, 0.885714, 0.629891, 0.631798
3, 1, 46, 0.783333, 0.640885, 0.904762, 0.633333, 0.745098, 0.616857, 0.620296
3, 2, 42, 0.783333, 0.630352, 0.869565, 0.666667, 0.754717, 0.612759, 0.613676
3, 3, 41, 0.783333, 0.604645, 0.904762, 0.633333, 0.745098, 0.612871, 0.613600
3, 4, 28, 0.783333, 0.611229, 0.947368, 0.600000, 0.734694, 0.613473, 0.639030
3, 5, 46, 0.783333, 0.610357, 0.904762, 0.633333, 0.745098, 0.613319, 0.626055
4, 1, 48, 0.766667, 0.643405, 0.882353, 0.555556, 0.681818, 0.617047, 0.619469
4, 2, 115, 0.783333, 0.630181, 0.888889, 0.592593, 0.711111, 0.609518, 0.609931
4, 3, 7, 0.783333, 0.664803, 1.000000, 0.518519, 0.682927, 0.609715, 0.611400
4, 4, 22, 0.766667, 0.632734, 0.933333, 0.518519, 0.666667, 0.609669, 0.610914
4, 5, 126, 0.800000, 0.629325, 0.941176, 0.592593, 0.727273, 0.610635, 0.619316
5, 1, 41, 0.666667, 0.664950, 0.680000, 0.586207, 0.629630, 0.635302, 0.636180
5, 2, 80, 0.700000, 0.651624, 0.739130, 0.586207, 0.653846, 0.619109, 0.619933
5, 3, 152, 0.716667, 0.654220, 0.800000, 0.551724, 0.653061, 0.618487, 0.634230
5, 4, 89, 0.733333, 0.661413, 0.809524, 0.586207, 0.680000, 0.618553, 0.619383
5, 5, 104, 0.716667, 0.652104, 0.800000, 0.551724, 0.653061, 0.619291, 0.620228
