# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=ring, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 120, 0.716667, 0.654630, 0.941176, 0.500000, 0.653061, 0.653238, 0.653979
2, 2, 94, 0.733333, 0.629816, 1.000000, 0.500000, 0.666667, 0.603772, 0.611339
2, 3, 89, 0.733333, 0.630076, 0.944444, 0.531250, 0.680000, 0.598068, 0.605640
2, 4, 17, 0.850000, 0.654034, 0.848485, 0.875000, 0.861538, 0.594718, 0.595113
2, 5, 177, 0.783333, 0.621646, 0.880000, 0.687500, 0.771930, 0.587966, 0.599028
3, 1, 133, 0.766667, 0.625712, 0.735294, 0.833333, 0.781250, 0.634260, 0.635079
3, 2, 134, 0.833333, 0.593387, 0.916667, 0.733333, 0.814815, 0.601242, 0.601817
3, 3, 138, 0.833333, 0.573015, 0.916667, 0.733333, 0.814815, 0.585305, 0.586566
3, 4, 151, 0.816667, 0.580964, 0.880000, 0.733333, 0.800000, 0.582825, 0.582825
3, 5, 54, 0.833333, 0.568341, 0.916667, 0.733333, 0.814815, 0.572686, 0.579268
4, 1, 142, 0.783333, 0.646669, 0.937500, 0.555556, 0.697674, 0.623700, 0.635941
4, 2, 102, 0.766667, 0.636765, 0.842105, 0.592593, 0.695652, 0.601006, 0.602488
4, 3, 65, 0.800000, 0.608823, 1.000000, 0.555556, 0.714286, 0.588391, 0.590217
4, 4, 193, 0.816667, 0.611669, 0.900000, 0.666667, 0.765957, 0.578649, 0.579774
4, 5, 102, 0.800000, 0.613919, 0.826087, 0.703704, 0.760000, 0.580306, 0.596086
5, 1, 121, 0.683333, 0.669445, 0.857143, 0.413793, 0.558140, 0.647183, 0.650190
5, 2, 182, 0.716667, 0.649730, 0.875000, 0.482759, 0.622222, 0.599381, 0.602032
5, 3, 39, 0.800000, 0.632507, 0.814815, 0.758621, 0.785714, 0.580054, 0.582793
5, 4, 166, 0.783333, 0.620438, 0.863636, 0.655172, 0.745098, 0.581408, 0.590421
5, 5, 86, 0.816667, 0.614936, 0.909091, 0.689655, 0.784314, 0.582291, 0.586179
