# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=chain, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 87, 0.550000, 0.690787, 0.534884, 0.766667, 0.630137, 0.699647, 0.706203
2, 2, 84, 0.616667, 0.687347, 1.000000, 0.233333, 0.378378, 0.665282, 0.665282
2, 3, 84, 0.616667, 0.689456, 1.000000, 0.233333, 0.378378, 0.665107, 0.674000
2, 4, 12, 0.600000, 0.685936, 0.750000, 0.300000, 0.428571, 0.662170, 0.662514
2, 5, 171, 0.600000, 0.686931, 0.565217, 0.866667, 0.684211, 0.662240, 0.665237
3, 1, 200, 0.566667, 0.673910, 0.500000, 0.500000, 0.500000, 0.690933, 0.695514
3, 2, 49, 0.650000, 0.667038, 0.647059, 0.423077, 0.511628, 0.696742, 0.698741
3, 3, 23, 0.650000, 0.664034, 0.692308, 0.346154, 0.461538, 0.691873, 0.692454
3, 4, 108, 0.616667, 0.673685, 0.571429, 0.461538, 0.510638, 0.691128, 0.699186
3, 5, 150, 0.616667, 0.679780, 0.578947, 0.423077, 0.488889, 0.691150, 0.698804
4, 1, 43, 0.616667, 0.695604, 0.818182, 0.300000, 0.439024, 0.697821, 0.701334
4, 2, 87, 0.600000, 0.699109, 1.000000, 0.200000, 0.333333, 0.662738, 0.671509
4, 3, 60, 0.666667, 0.707797, 0.916667, 0.366667, 0.523810, 0.648395, 0.650823
4, 4, 14, 0.633333, 0.712758, 0.722222, 0.433333, 0.541667, 0.652747, 0.654344
4, 5, 23, 0.666667, 0.729887, 0.916667, 0.366667, 0.523810, 0.651282, 0.652966
5, 1, 70, 0.516667, 0.708261, 0.000000, 0.000000, 0.000000, 0.693622, 0.693961
5, 2, 125, 0.650000, 0.685343, 0.681818, 0.517241, 0.588235, 0.659825, 0.666430
5, 3, 150, 0.683333, 0.683156, 0.812500, 0.448276, 0.577778, 0.655660, 0.659426
5, 4, 34, 0.600000, 0.708942, 0.777778, 0.241379, 0.368421, 0.648328, 0.648653
5, 5, 141, 0.616667, 0.686692, 0.636364, 0.482759, 0.549020, 0.648475, 0.649773
6, 1, 196, 0.700000, 0.688654, 0.760000, 0.612903, 0.678571, 0.692027, 0.692263
6, 2, 127, 0.600000, 0.682726, 0.666667, 0.451613, 0.538462, 0.656508, 0.656777
6, 3, 59, 0.683333, 0.673146, 0.650000, 0.838710, 0.732394, 0.655674, 0.667416
6, 4, 113, 0.600000, 0.686701, 0.666667, 0.451613, 0.538462, 0.655450, 0.658213
6, 5, 46, 0.666667, 0.671050, 0.761905, 0.516129, 0.615385, 0.655372, 0.655393
7, 1, 87, 0.633333, 0.689163, 0.500000, 0.363636, 0.421053, 0.684295, 0.684776
7, 2, 83, 0.633333, 0.681186, 0.500000, 0.500000, 0.500000, 0.688116, 0.688116
7, 3, 21, 0.666667, 0.674036, 0.625000, 0.227273, 0.333333, 0.661570, 0.662788
7, 4, 10, 0.683333, 0.670955, 0.714286, 0.227273, 0.344828, 0.674138, 0.676483
7, 5, 43, 0.633333, 0.687182, 0.500000, 0.272727, 0.352941, 0.658885, 0.665333
8, 1, 31, 0.650000, 0.690191, 0.000000, 0.000000, 0.000000, 0.693663, 0.694105
8, 2, 29, 0.716667, 0.639057, 0.666667, 0.380952, 0.484848, 0.647890, 0.661122
8, 3, 140, 0.733333, 0.629218, 0.647059, 0.523810, 0.578947, 0.643940, 0.644177
8, 4, 154, 0.783333, 0.593377, 0.833333, 0.476190, 0.606061, 0.620736, 0.620828
8, 5, 12, 0.733333, 0.657843, 0.608696, 0.666667, 0.636364, 0.623258, 0.627766
9, 1, 188, 0.716667, 0.686549, 0.866667, 0.464286, 0.604651, 0.688529, 0.697456
9, 2, 68, 0.866667, 0.616517, 0.857143, 0.857143, 0.857143, 0.614891, 0.614914
9, 3, 75, 0.900000, 0.561553, 0.923077, 0.857143, 0.888889, 0.610887, 0.611835
9, 4, 186, 0.916667, 0.559709, 0.960000, 0.857143, 0.905660, 0.610903, 0.612756
9, 5, 41, 0.900000, 0.565744, 0.958333, 0.821429, 0.884615, 0.610797, 0.613916
10, 1, 16, 0.583333, 0.702559, 0.541667, 0.896552, 0.675325, 0.666808, 0.667292
10, 2, 100, 0.683333, 0.672084, 0.647059, 0.758621, 0.698413, 0.650017, 0.651284
10, 3, 112, 0.766667, 0.637189, 0.777778, 0.724138, 0.750000, 0.622751, 0.623496
10, 4, 76, 0.783333, 0.618153, 0.900000, 0.620690, 0.734694, 0.602704, 0.604252
10, 5, 59, 0.783333, 0.611308, 0.900000, 0.620690, 0.734694, 0.602536, 0.606084
