# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=chain, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 138, 0.550000, 0.690668, 0.531915, 0.833333, 0.649351, 0.697940, 0.708999
2, 2, 45, 0.600000, 0.694850, 0.562500, 0.900000, 0.692308, 0.680770, 0.694993
2, 3, 140, 0.566667, 0.694146, 1.000000, 0.133333, 0.235294, 0.681660, 0.681660
2, 4, 93, 0.566667, 0.691950, 1.000000, 0.133333, 0.235294, 0.679334, 0.681818
2, 5, 42, 0.600000, 0.704369, 0.557692, 0.966667, 0.707317, 0.675956, 0.679524
3, 1, 52, 0.650000, 0.664054, 0.692308, 0.346154, 0.461538, 0.690944, 0.696087
3, 2, 145, 0.633333, 0.677663, 0.583333, 0.538462, 0.560000, 0.684080, 0.692082
3, 3, 200, 0.633333, 0.681481, 0.576923, 0.576923, 0.576923, 0.677740, 0.685600
3, 4, 76, 0.600000, 0.673789, 0.529412, 0.692308, 0.600000, 0.677636, 0.684768
3, 5, 30, 0.633333, 0.708238, 0.571429, 0.615385, 0.592593, 0.682225, 0.685583
4, 1, 33, 0.616667, 0.695293, 0.818182, 0.300000, 0.439024, 0.697117, 0.701223
4, 2, 21, 0.583333, 0.700671, 0.571429, 0.666667, 0.615385, 0.684693, 0.685249
4, 3, 85, 0.583333, 0.697771, 1.000000, 0.166667, 0.285714, 0.682547, 0.698948
4, 4, 120, 0.716667, 0.681442, 0.809524, 0.566667, 0.666667, 0.657035, 0.657035
4, 5, 131, 0.733333, 0.661370, 0.937500, 0.500000, 0.652174, 0.655890, 0.655890
5, 1, 105, 0.516667, 0.708455, 0.000000, 0.000000, 0.000000, 0.700808, 0.712913
5, 2, 123, 0.583333, 0.707462, 0.547619, 0.793103, 0.647887, 0.681095, 0.681248
5, 3, 53, 0.533333, 0.711896, 1.000000, 0.034483, 0.066667, 0.679426, 0.680713
5, 4, 138, 0.516667, 0.740436, 0.500000, 0.206897, 0.292683, 0.675360, 0.681131
5, 5, 182, 0.600000, 0.715371, 0.553191, 0.896552, 0.684211, 0.679426, 0.690466
6, 1, 145, 0.733333, 0.683318, 0.741935, 0.741935, 0.741935, 0.690049, 0.702237
6, 2, 90, 0.700000, 0.648492, 0.696970, 0.741935, 0.718750, 0.668107, 0.669439
6, 3, 93, 0.716667, 0.643853, 0.694444, 0.806452, 0.746269, 0.669668, 0.671982
6, 4, 90, 0.716667, 0.646241, 0.937500, 0.483871, 0.638298, 0.641726, 0.641745
6, 5, 113, 0.716667, 0.633530, 1.000000, 0.451613, 0.622222, 0.641242, 0.653368
7, 1, 121, 0.633333, 0.687733, 0.500000, 0.363636, 0.421053, 0.684198, 0.686393
7, 2, 96, 0.650000, 0.671000, 1.000000, 0.045455, 0.086957, 0.687915, 0.701858
7, 3, 91, 0.650000, 0.692145, 0.515152, 0.772727, 0.618182, 0.670276, 0.671054
7, 4, 62, 0.700000, 0.685601, 0.666667, 0.363636, 0.470588, 0.661721, 0.663805
7, 5, 114, 0.683333, 0.681828, 0.666667, 0.272727, 0.387097, 0.664249, 0.675247
8, 1, 37, 0.650000, 0.689447, 0.000000, 0.000000, 0.000000, 0.693387, 0.700262
8, 2, 120, 0.783333, 0.674469, 0.785714, 0.523810, 0.628571, 0.678910, 0.678910
8, 3, 56, 0.683333, 0.679833, 0.550000, 0.523810, 0.536585, 0.676067, 0.676067
8, 4, 77, 0.700000, 0.669476, 1.000000, 0.142857, 0.250000, 0.669772, 0.694859
8, 5, 96, 0.683333, 0.650328, 1.000000, 0.095238, 0.173913, 0.647265, 0.649389
9, 1, 186, 0.716667, 0.684253, 0.866667, 0.464286, 0.604651, 0.685747, 0.685747
9, 2, 102, 0.683333, 0.678431, 0.909091, 0.357143, 0.512821, 0.662607, 0.663166
9, 3, 110, 0.700000, 0.674034, 0.857143, 0.428571, 0.571429, 0.662387, 0.667004
9, 4, 44, 0.683333, 0.682901, 1.000000, 0.321429, 0.486486, 0.660728, 0.662171
9, 5, 141, 0.716667, 0.645821, 1.000000, 0.392857, 0.564103, 0.657807, 0.661988
10, 1, 158, 0.600000, 0.699197, 0.567568, 0.724138, 0.636364, 0.666798, 0.677970
10, 2, 77, 0.750000, 0.653785, 0.705882, 0.827586, 0.761905, 0.630391, 0.632235
10, 3, 192, 0.800000, 0.623642, 0.904762, 0.655172, 0.760000, 0.603822, 0.604859
10, 4, 36, 0.766667, 0.626405, 0.894737, 0.586207, 0.708333, 0.603870, 0.606094
10, 5, 16, 0.750000, 0.649048, 0.705882, 0.827586, 0.761905, 0.599231, 0.604829
