# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=full, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 24, 0.550000, 0.690716, 0.534884, 0.766667, 0.630137, 0.697586, 0.719108
2, 2, 75, 0.616667, 0.683874, 0.818182, 0.300000, 0.439024, 0.665661, 0.665661
2, 3, 33, 0.616667, 0.697703, 1.000000, 0.233333, 0.378378, 0.662464, 0.671542
2, 4, 46, 0.616667, 0.688863, 1.000000, 0.233333, 0.378378, 0.663043, 0.670855
2, 5, 13, 0.616667, 0.688893, 0.818182, 0.300000, 0.439024, 0.662203, 0.662756
3, 1, 63, 0.666667, 0.669386, 0.750000, 0.346154, 0.473684, 0.690947, 0.694011
3, 2, 117, 0.600000, 0.683448, 0.527778, 0.730769, 0.612903, 0.691353, 0.693012
3, 3, 37, 0.650000, 0.692830, 0.580645, 0.692308, 0.631579, 0.692556, 0.698500
3, 4, 4, 0.533333, 0.690376, 0.477273, 0.807692, 0.600000, 0.697933, 0.714459
3, 5, 44, 0.600000, 0.674519, 0.533333, 0.615385, 0.571429, 0.695368, 0.699833
4, 1, 105, 0.616667, 0.695147, 0.888889, 0.266667, 0.410256, 0.697187, 0.705680
4, 2, 57, 0.616667, 0.696748, 0.888889, 0.266667, 0.410256, 0.695937, 0.702655
4, 3, 15, 0.650000, 0.714894, 0.846154, 0.366667, 0.511628, 0.648616, 0.648616
4, 4, 54, 0.633333, 0.716917, 0.722222, 0.433333, 0.541667, 0.652012, 0.657308
4, 5, 12, 0.633333, 0.713072, 0.722222, 0.433333, 0.541667, 0.651883, 0.656776
5, 1, 104, 0.533333, 0.691796, 1.000000, 0.034483, 0.066667, 0.692762, 0.694942
5, 2, 191, 0.583333, 0.697808, 0.540000, 0.931034, 0.683544, 0.675327, 0.682393
5, 3, 121, 0.633333, 0.682892, 0.666667, 0.482759, 0.560000, 0.655617, 0.656249
5, 4, 84, 0.566667, 0.684925, 0.555556, 0.517241, 0.535714, 0.648354, 0.649627
5, 5, 26, 0.633333, 0.686297, 0.684211, 0.448276, 0.541667, 0.648561, 0.688029
6, 1, 162, 0.733333, 0.666270, 0.777778, 0.677419, 0.724138, 0.688091, 0.688140
6, 2, 184, 0.650000, 0.693720, 0.625000, 0.806452, 0.704225, 0.668589, 0.675256
6, 3, 97, 0.666667, 0.676453, 0.627907, 0.870968, 0.729730, 0.655891, 0.657462
6, 4, 83, 0.650000, 0.687017, 0.708333, 0.548387, 0.618182, 0.655450, 0.655740
6, 5, 152, 0.650000, 0.673269, 0.727273, 0.516129, 0.603774, 0.655871, 0.660744
7, 1, 63, 0.616667, 0.692775, 0.400000, 0.090909, 0.148148, 0.683966, 0.684185
7, 2, 189, 0.633333, 0.684141, 0.500000, 0.227273, 0.312500, 0.662984, 0.668534
7, 3, 153, 0.650000, 0.683490, 0.538462, 0.318182, 0.400000, 0.661786, 0.669916
7, 4, 183, 0.650000, 0.675452, 0.538462, 0.318182, 0.400000, 0.662206, 0.673043
7, 5, 9, 0.700000, 0.659897, 1.000000, 0.181818, 0.307692, 0.658745, 0.662559
8, 1, 30, 0.650000, 0.690295, 0.000000, 0.000000, 0.000000, 0.693607, 0.697636
8, 2, 31, 0.683333, 0.682278, 0.583333, 0.333333, 0.424242, 0.667155, 0.667359
8, 3, 63, 0.683333, 0.664881, 0.555556, 0.476190, 0.512821, 0.662803, 0.671774
8, 4, 12, 0.733333, 0.634529, 0.619048, 0.619048, 0.619048, 0.621393, 0.624661
8, 5, 124, 0.766667, 0.593938, 0.769231, 0.476190, 0.588235, 0.620107, 0.620494
9, 1, 178, 0.716667, 0.688593, 0.823529, 0.500000, 0.622222, 0.688171, 0.689159
9, 2, 171, 0.883333, 0.601894, 0.956522, 0.785714, 0.862745, 0.627855, 0.631688
9, 3, 65, 0.900000, 0.562199, 0.923077, 0.857143, 0.888889, 0.611148, 0.613167
9, 4, 62, 0.900000, 0.564604, 0.958333, 0.821429, 0.884615, 0.611014, 0.611014
9, 5, 58, 0.900000, 0.570719, 0.923077, 0.857143, 0.888889, 0.610917, 0.612499
10, 1, 197, 0.600000, 0.699087, 0.567568, 0.724138, 0.636364, 0.666792, 0.667190
10, 2, 169, 0.766667, 0.650174, 0.941176, 0.551724, 0.695652, 0.644285, 0.649703
10, 3, 65, 0.816667, 0.627782, 0.909091, 0.689655, 0.784314, 0.617917, 0.619476
10, 4, 47, 0.783333, 0.616094, 0.900000, 0.620690, 0.734694, 0.602337, 0.603812
10, 5, 68, 0.783333, 0.621697, 0.863636, 0.655172, 0.745098, 0.602382, 0.604825
