# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=ring, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 5, 0.583333, 0.739581, 0.564103, 0.733333, 0.637681, 0.692983, 0.701752
2, 2, 108, 0.616667, 0.695235, 0.594595, 0.733333, 0.656716, 0.678219, 0.681732
2, 3, 21, 0.616667, 0.683180, 0.818182, 0.300000, 0.439024, 0.662124, 0.676882
2, 4, 14, 0.600000, 0.704412, 0.578947, 0.733333, 0.647059, 0.677835, 0.680788
2, 5, 1, 0.583333, 0.737047, 0.564103, 0.733333, 0.637681, 0.677490, 0.678069
3, 1, 94, 0.633333, 0.685841, 0.666667, 0.307692, 0.421053, 0.692895, 0.696901
3, 2, 23, 0.583333, 0.690893, 0.545455, 0.230769, 0.324324, 0.688835, 0.692612
3, 3, 77, 0.650000, 0.670673, 0.631579, 0.461538, 0.533333, 0.697762, 0.704691
3, 4, 122, 0.583333, 0.686536, 0.545455, 0.230769, 0.324324, 0.698365, 0.706218
3, 5, 38, 0.616667, 0.686093, 0.600000, 0.346154, 0.439024, 0.689498, 0.691968
4, 1, 84, 0.616667, 0.718225, 0.568627, 0.966667, 0.716049, 0.691942, 0.692263
4, 2, 6, 0.683333, 0.641715, 0.677419, 0.700000, 0.688525, 0.623682, 0.624515
4, 3, 9, 0.650000, 0.696314, 0.736842, 0.466667, 0.571429, 0.677313, 0.688022
4, 4, 47, 0.566667, 0.695908, 0.552632, 0.700000, 0.617647, 0.675566, 0.679651
4, 5, 39, 0.600000, 0.698141, 1.000000, 0.200000, 0.333333, 0.675697, 0.684241
5, 1, 170, 0.616667, 0.683246, 0.565217, 0.896552, 0.693333, 0.692020, 0.694830
5, 2, 43, 0.633333, 0.684568, 0.684211, 0.448276, 0.541667, 0.667194, 0.667613
5, 3, 23, 0.566667, 0.765307, 0.542857, 0.655172, 0.593750, 0.661683, 0.662479
5, 4, 197, 0.666667, 0.660710, 0.764706, 0.448276, 0.565217, 0.668287, 0.674637
5, 5, 198, 0.566667, 0.710812, 0.536585, 0.758621, 0.628571, 0.664965, 0.695635
6, 1, 54, 0.583333, 0.716166, 0.568182, 0.806452, 0.666667, 0.688340, 0.689832
6, 2, 131, 0.683333, 0.661306, 0.730769, 0.612903, 0.666667, 0.683624, 0.684394
6, 3, 133, 0.683333, 0.668895, 0.928571, 0.419355, 0.577778, 0.675869, 0.684458
6, 4, 105, 0.616667, 0.705939, 0.750000, 0.387097, 0.510638, 0.633668, 0.640273
6, 5, 180, 0.716667, 0.646789, 0.675000, 0.870968, 0.760563, 0.665711, 0.665711
7, 1, 1, 0.433333, 0.731079, 0.300000, 0.409091, 0.346154, 0.678584, 0.682666
7, 2, 80, 0.550000, 0.700872, 0.407407, 0.500000, 0.448980, 0.655022, 0.672169
7, 3, 200, 0.733333, 0.669269, 0.714286, 0.454545, 0.555556, 0.648817, 0.652843
7, 4, 165, 0.683333, 0.699379, 0.548387, 0.772727, 0.641509, 0.645614, 0.648624
7, 5, 181, 0.716667, 0.623726, 0.600000, 0.681818, 0.638298, 0.669551, 0.670136
8, 1, 84, 0.533333, 0.697160, 0.387097, 0.571429, 0.461538, 0.666979, 0.669394
8, 2, 151, 0.783333, 0.647901, 0.833333, 0.476190, 0.606061, 0.670710, 0.673157
8, 3, 114, 0.800000, 0.643485, 0.800000, 0.571429, 0.666667, 0.656887, 0.661953
8, 4, 47, 0.733333, 0.652977, 0.666667, 0.476190, 0.555556, 0.656342, 0.657671
8, 5, 2, 0.550000, 0.694556, 0.392857, 0.523810, 0.448980, 0.651001, 0.653587
9, 1, 176, 0.616667, 0.687404, 0.619048, 0.464286, 0.530612, 0.681136, 0.681818
9, 2, 152, 0.816667, 0.645586, 0.947368, 0.642857, 0.765957, 0.662271, 0.662271
9, 3, 43, 0.716667, 0.666030, 0.789474, 0.535714, 0.638298, 0.661393, 0.661393
9, 4, 118, 0.800000, 0.671654, 1.000000, 0.571429, 0.727273, 0.656456, 0.660524
9, 5, 106, 0.800000, 0.633512, 0.833333, 0.714286, 0.769231, 0.652670, 0.656254
10, 1, 18, 0.600000, 0.687404, 0.571429, 0.689655, 0.625000, 0.690073, 0.693938
10, 2, 110, 0.666667, 0.666611, 1.000000, 0.310345, 0.473684, 0.659890, 0.664027
10, 3, 101, 0.800000, 0.627737, 0.904762, 0.655172, 0.760000, 0.616983, 0.616983
10, 4, 39, 0.733333, 0.640616, 0.696970, 0.793103, 0.741935, 0.624959, 0.635706
10, 5, 134, 0.666667, 0.700853, 0.736842, 0.482759, 0.583333, 0.657393, 0.665820
