# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=ring, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 131, 0.683333, 0.703010, 0.677419, 0.700000, 0.688525, 0.692271, 0.704565
2, 2, 58, 0.533333, 0.690935, 0.522727, 0.766667, 0.621622, 0.695619, 0.695867
2, 3, 114, 0.683333, 0.702633, 0.677419, 0.700000, 0.688525, 0.691958, 0.693242
2, 4, 9, 0.533333, 0.691164, 0.521739, 0.800000, 0.631579, 0.695406, 0.697195
2, 5, 75, 0.616667, 0.698424, 0.581395, 0.833333, 0.684932, 0.691920, 0.697583
3, 1, 130, 0.600000, 0.687360, 0.562500, 0.346154, 0.428571, 0.691119, 0.691856
3, 2, 91, 0.650000, 0.687846, 0.727273, 0.307692, 0.432432, 0.690937, 0.691529
3, 3, 128, 0.650000, 0.674424, 0.727273, 0.307692, 0.432432, 0.692521, 0.752733
3, 4, 24, 0.616667, 0.678189, 0.578947, 0.423077, 0.488889, 0.690980, 0.694173
3, 5, 40, 0.633333, 0.677676, 0.750000, 0.230769, 0.352941, 0.691782, 0.703992
4, 1, 2, 0.583333, 0.741709, 0.666667, 0.333333, 0.444444, 0.680051, 0.684087
4, 2, 37, 0.616667, 0.694847, 0.888889, 0.266667, 0.410256, 0.696363, 0.708124
4, 3, 1, 0.566667, 0.735144, 0.625000, 0.333333, 0.434783, 0.680050, 0.685057
4, 4, 103, 0.633333, 0.693029, 1.000000, 0.266667, 0.421053, 0.692147, 0.712345
4, 5, 37, 0.583333, 0.714327, 0.666667, 0.333333, 0.444444, 0.680264, 0.686348
5, 1, 104, 0.600000, 0.696805, 0.564103, 0.758621, 0.647059, 0.680017, 0.680122
5, 2, 171, 0.516667, 0.696595, 0.000000, 0.000000, 0.000000, 0.692700, 0.694233
5, 3, 51, 0.583333, 0.696962, 0.538462, 0.965517, 0.691358, 0.680079, 0.680540
5, 4, 15, 0.516667, 0.701854, 0.000000, 0.000000, 0.000000, 0.693512, 0.696680
5, 5, 139, 0.583333, 0.692243, 0.552632, 0.724138, 0.626866, 0.680013, 0.688909
6, 1, 104, 0.583333, 0.676946, 0.625000, 0.483871, 0.545455, 0.665939, 0.666880
6, 2, 129, 0.733333, 0.677696, 0.758621, 0.709677, 0.733333, 0.689177, 0.692383
6, 3, 11, 0.650000, 0.680380, 0.600000, 0.967742, 0.740741, 0.665979, 0.677029
6, 4, 51, 0.733333, 0.651990, 0.777778, 0.677419, 0.724138, 0.687988, 0.692971
6, 5, 160, 0.583333, 0.676962, 0.625000, 0.483871, 0.545455, 0.665938, 0.668567
7, 1, 66, 0.650000, 0.681047, 0.571429, 0.181818, 0.275862, 0.662979, 0.667384
7, 2, 112, 0.550000, 0.700400, 0.407407, 0.500000, 0.448980, 0.684094, 0.684355
7, 3, 182, 0.650000, 0.681770, 0.571429, 0.181818, 0.275862, 0.662978, 0.675061
7, 4, 68, 0.616667, 0.697220, 0.476190, 0.454545, 0.465116, 0.683987, 0.684207
7, 5, 10, 0.600000, 0.705665, 0.464286, 0.590909, 0.520000, 0.662977, 0.663745
8, 1, 1, 0.666667, 0.646564, 0.533333, 0.380952, 0.444444, 0.673464, 0.676830
8, 2, 13, 0.650000, 0.691691, 0.000000, 0.000000, 0.000000, 0.692884, 0.695552
8, 3, 1, 0.666667, 0.653291, 0.529412, 0.428571, 0.473684, 0.674221, 0.682967
8, 4, 7, 0.650000, 0.691317, 0.000000, 0.000000, 0.000000, 0.692195, 0.695832
8, 5, 1, 0.666667, 0.646310, 0.533333, 0.380952, 0.444444, 0.673145, 0.675305
9, 1, 4, 0.833333, 0.570009, 0.950000, 0.678571, 0.791667, 0.623058, 0.625114
9, 2, 149, 0.700000, 0.683352, 0.812500, 0.464286, 0.590909, 0.682623, 0.690272
9, 3, 10, 0.833333, 0.594934, 0.950000, 0.678571, 0.791667, 0.623060, 0.623918
9, 4, 102, 0.716667, 0.669032, 0.866667, 0.464286, 0.604651, 0.668088, 0.669903
9, 5, 3, 0.833333, 0.590678, 0.950000, 0.678571, 0.791667, 0.623063, 0.624613
10, 1, 23, 0.800000, 0.629667, 0.840000, 0.724138, 0.777778, 0.629384, 0.629658
10, 2, 47, 0.600000, 0.698952, 0.567568, 0.724138, 0.636364, 0.666802, 0.674506
10, 3, 9, 0.800000, 0.628516, 0.840000, 0.724138, 0.777778, 0.629389, 0.634300
10, 4, 38, 0.600000, 0.698199, 0.567568, 0.724138, 0.636364, 0.666795, 0.668061
10, 5, 26, 0.800000, 0.625039, 0.814815, 0.758621, 0.785714, 0.629384, 0.630125
