# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=chain, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 156, 0.583333, 0.695605, 0.551020, 0.900000, 0.683544, 0.696827, 0.696893
2, 2, 131, 0.600000, 0.686407, 0.875000, 0.233333, 0.368421, 0.677015, 0.690165
2, 3, 114, 0.650000, 0.676005, 0.680000, 0.566667, 0.618182, 0.656065, 0.656201
2, 4, 62, 0.650000, 0.708802, 1.000000, 0.300000, 0.461538, 0.663060, 0.739334
2, 5, 166, 0.666667, 0.673423, 0.692308, 0.600000, 0.642857, 0.653422, 0.686044
3, 1, 197, 0.616667, 0.692389, 0.533333, 0.923077, 0.676056, 0.710566, 0.715918
3, 2, 24, 0.633333, 0.653078, 0.625000, 0.384615, 0.476190, 0.672481, 0.677321
3, 3, 101, 0.633333, 0.681657, 0.550000, 0.846154, 0.666667, 0.659633, 0.664048
3, 4, 82, 0.616667, 0.679134, 0.555556, 0.576923, 0.566038, 0.659244, 0.668174
3, 5, 98, 0.650000, 0.664946, 0.666667, 0.384615, 0.487805, 0.660790, 0.665691
4, 1, 182, 0.766667, 0.656648, 0.900000, 0.600000, 0.720000, 0.664229, 0.668994
4, 2, 47, 0.783333, 0.650607, 0.869565, 0.666667, 0.754717, 0.622470, 0.628578
4, 3, 20, 0.750000, 0.656538, 0.894737, 0.566667, 0.693878, 0.596084, 0.616253
4, 4, 54, 0.816667, 0.646581, 0.880000, 0.733333, 0.800000, 0.591700, 0.601161
4, 5, 151, 0.783333, 0.653745, 0.869565, 0.666667, 0.754717, 0.589379, 0.597570
5, 1, 51, 0.550000, 0.707437, 0.527778, 0.655172, 0.584615, 0.694637, 0.702041
5, 2, 129, 0.616667, 0.706663, 0.625000, 0.517241, 0.566038, 0.656895, 0.660382
5, 3, 90, 0.650000, 0.680777, 0.653846, 0.586207, 0.618182, 0.643761, 0.646949
5, 4, 92, 0.583333, 0.700421, 0.600000, 0.413793, 0.489796, 0.644367, 0.661205
5, 5, 33, 0.583333, 0.697035, 0.562500, 0.620690, 0.590164, 0.643143, 0.664583
6, 1, 147, 0.650000, 0.668493, 0.916667, 0.354839, 0.511628, 0.670627, 0.676493
6, 2, 175, 0.700000, 0.644757, 0.782609, 0.580645, 0.666667, 0.634900, 0.637566
6, 3, 138, 0.683333, 0.636927, 0.833333, 0.483871, 0.612245, 0.641181, 0.643726
6, 4, 161, 0.716667, 0.640375, 0.666667, 0.903226, 0.767123, 0.632177, 0.647045
6, 5, 86, 0.716667, 0.650545, 0.659091, 0.935484, 0.773333, 0.622609, 0.625816
7, 1, 137, 0.600000, 0.678951, 0.428571, 0.272727, 0.333333, 0.665990, 0.670181
7, 2, 159, 0.733333, 0.657133, 0.650000, 0.590909, 0.619048, 0.634467, 0.639683
7, 3, 122, 0.716667, 0.641549, 0.777778, 0.318182, 0.451613, 0.629180, 0.629180
7, 4, 54, 0.733333, 0.652418, 0.650000, 0.590909, 0.619048, 0.625018, 0.637652
7, 5, 173, 0.750000, 0.627027, 0.666667, 0.636364, 0.651163, 0.618728, 0.628119
8, 1, 21, 0.733333, 0.676245, 0.600000, 0.714286, 0.652174, 0.675578, 0.700536
8, 2, 29, 0.800000, 0.643763, 0.800000, 0.571429, 0.666667, 0.634476, 0.634476
8, 3, 40, 0.783333, 0.633483, 0.750000, 0.571429, 0.648649, 0.629034, 0.635367
8, 4, 17, 0.766667, 0.659237, 0.888889, 0.380952, 0.533333, 0.623902, 0.626159
8, 5, 147, 0.816667, 0.615924, 0.916667, 0.523810, 0.666667, 0.623831, 0.626547
9, 1, 151, 0.600000, 0.698102, 0.555556, 0.714286, 0.625000, 0.693020, 0.693020
9, 2, 102, 0.900000, 0.573954, 0.923077, 0.857143, 0.888889, 0.607212, 0.608601
9, 3, 122, 0.883333, 0.559767, 0.920000, 0.821429, 0.867925, 0.606570, 0.607369
9, 4, 90, 0.916667, 0.584951, 0.960000, 0.857143, 0.905660, 0.597516, 0.619112
9, 5, 182, 0.900000, 0.564111, 0.923077, 0.857143, 0.888889, 0.595539, 0.604964
10, 1, 99, 0.600000, 0.702231, 0.553191, 0.896552, 0.684211, 0.666222, 0.667123
10, 2, 67, 0.733333, 0.651083, 0.724138, 0.724138, 0.724138, 0.615163, 0.617087
10, 3, 166, 0.783333, 0.621714, 0.900000, 0.620690, 0.734694, 0.602243, 0.604111
10, 4, 172, 0.800000, 0.623696, 0.904762, 0.655172, 0.760000, 0.592377, 0.593823
10, 5, 137, 0.800000, 0.611015, 0.814815, 0.758621, 0.785714, 0.574261, 0.599393
