# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=full, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 43, 0.583333, 0.695245, 0.551020, 0.900000, 0.683544, 0.697521, 0.737287
2, 2, 159, 0.666667, 0.680830, 0.812500, 0.433333, 0.565217, 0.658578, 0.667594
2, 3, 196, 0.650000, 0.681765, 0.609756, 0.833333, 0.704225, 0.652481, 0.652854
2, 4, 119, 0.683333, 0.678901, 0.627907, 0.900000, 0.739726, 0.661495, 0.665585
2, 5, 183, 0.650000, 0.675686, 0.628571, 0.733333, 0.676923, 0.662229, 0.673296
3, 1, 167, 0.633333, 0.667065, 0.611111, 0.423077, 0.500000, 0.710437, 0.722526
3, 2, 199, 0.583333, 0.687816, 0.514286, 0.692308, 0.590164, 0.673356, 0.674236
3, 3, 95, 0.650000, 0.669805, 0.580645, 0.692308, 0.631579, 0.673836, 0.676055
3, 4, 79, 0.650000, 0.675423, 0.567568, 0.807692, 0.666667, 0.660113, 0.675730
3, 5, 6, 0.666667, 0.658541, 0.666667, 0.461538, 0.545455, 0.660696, 0.663236
4, 1, 75, 0.733333, 0.665510, 0.733333, 0.733333, 0.733333, 0.666902, 0.684846
4, 2, 30, 0.866667, 0.636677, 0.823529, 0.933333, 0.875000, 0.595848, 0.600381
4, 3, 73, 0.783333, 0.627686, 0.840000, 0.700000, 0.763636, 0.590482, 0.597808
4, 4, 194, 0.816667, 0.612680, 0.952381, 0.666667, 0.784314, 0.581727, 0.585928
4, 5, 30, 0.800000, 0.620693, 0.875000, 0.700000, 0.777778, 0.584478, 0.598469
5, 1, 111, 0.550000, 0.740208, 0.518519, 0.965517, 0.674699, 0.692881, 0.693133
5, 2, 92, 0.616667, 0.727733, 0.565217, 0.896552, 0.693333, 0.652514, 0.653835
5, 3, 179, 0.600000, 0.694093, 0.586207, 0.586207, 0.586207, 0.658057, 0.658057
5, 4, 39, 0.650000, 0.700451, 0.666667, 0.551724, 0.603774, 0.642309, 0.655323
5, 5, 173, 0.650000, 0.690247, 0.666667, 0.551724, 0.603774, 0.641829, 0.641829
6, 1, 130, 0.600000, 0.720656, 0.818182, 0.290323, 0.428571, 0.676154, 0.676160
6, 2, 160, 0.750000, 0.645581, 0.807692, 0.677419, 0.736842, 0.620337, 0.624101
6, 3, 160, 0.766667, 0.632062, 0.840000, 0.677419, 0.750000, 0.612332, 0.621969
6, 4, 191, 0.750000, 0.633057, 0.807692, 0.677419, 0.736842, 0.612630, 0.612887
6, 5, 49, 0.766667, 0.664604, 0.869565, 0.645161, 0.740741, 0.608761, 0.621619
7, 1, 83, 0.566667, 0.684569, 0.388889, 0.318182, 0.350000, 0.663386, 0.663386
7, 2, 156, 0.766667, 0.659170, 0.681818, 0.681818, 0.681818, 0.640526, 0.656864
7, 3, 131, 0.716667, 0.661283, 0.619048, 0.590909, 0.604651, 0.628685, 0.633477
7, 4, 150, 0.783333, 0.627958, 0.846154, 0.500000, 0.628571, 0.617276, 0.622336
7, 5, 75, 0.733333, 0.641717, 0.800000, 0.363636, 0.500000, 0.624753, 0.624753
8, 1, 21, 0.733333, 0.680745, 0.600000, 0.714286, 0.652174, 0.676219, 0.683169
8, 2, 140, 0.700000, 0.650670, 0.636364, 0.333333, 0.437500, 0.636768, 0.640930
8, 3, 177, 0.800000, 0.608665, 0.736842, 0.666667, 0.700000, 0.601791, 0.612123
8, 4, 167, 0.866667, 0.608274, 0.933333, 0.666667, 0.777778, 0.597277, 0.598507
8, 5, 109, 0.866667, 0.593435, 0.933333, 0.666667, 0.777778, 0.592052, 0.622169
9, 1, 1, 0.466667, 0.821092, 0.466667, 1.000000, 0.636364, 0.720831, 0.720951
9, 2, 185, 0.850000, 0.604447, 0.952381, 0.714286, 0.816327, 0.619053, 0.619053
9, 3, 124, 0.883333, 0.565241, 1.000000, 0.750000, 0.857143, 0.603994, 0.603994
9, 4, 93, 0.916667, 0.554826, 0.960000, 0.857143, 0.905660, 0.598158, 0.603076
9, 5, 72, 0.916667, 0.540717, 0.960000, 0.857143, 0.905660, 0.586933, 0.589845
10, 1, 42, 0.600000, 0.696402, 0.586207, 0.586207, 0.586207, 0.666184, 0.676982
10, 2, 123, 0.716667, 0.673698, 0.650000, 0.896552, 0.753623, 0.636178, 0.638758
10, 3, 167, 0.766667, 0.608335, 0.758621, 0.758621, 0.758621, 0.579653, 0.602491
10, 4, 141, 0.816667, 0.598350, 0.909091, 0.689655, 0.784314, 0.572043, 0.582230
10, 5, 115, 0.866667, 0.599773, 0.956522, 0.758621, 0.846154, 0.564643, 0.565830
