# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=full, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 28, 0.600000, 0.686862, 0.588235, 0.666667, 0.625000, 0.671040, 0.671040
2, 2, 85, 0.600000, 0.696050, 0.875000, 0.233333, 0.368421, 0.652402, 0.661461
2, 3, 141, 0.666667, 0.681049, 0.613636, 0.900000, 0.729730, 0.652762, 0.653044
2, 4, 171, 0.666667, 0.683588, 0.708333, 0.566667, 0.629630, 0.657572, 0.666118
2, 5, 44, 0.683333, 0.678994, 0.648649, 0.800000, 0.716418, 0.659167, 0.672834
3, 1, 181, 0.583333, 0.686560, 0.545455, 0.230769, 0.324324, 0.677254, 0.691027
3, 2, 186, 0.583333, 0.688696, 0.515152, 0.653846, 0.576271, 0.680461, 0.683289
3, 3, 175, 0.666667, 0.671498, 0.800000, 0.307692, 0.444444, 0.667215, 0.669222
3, 4, 38, 0.666667, 0.666902, 0.714286, 0.384615, 0.500000, 0.659359, 0.659359
3, 5, 137, 0.666667, 0.660557, 0.750000, 0.346154, 0.473684, 0.662385, 0.662385
4, 1, 11, 0.766667, 0.652018, 0.807692, 0.700000, 0.750000, 0.602573, 0.607858
4, 2, 13, 0.816667, 0.644656, 1.000000, 0.633333, 0.775510, 0.600840, 0.613335
4, 3, 23, 0.783333, 0.623475, 0.697674, 1.000000, 0.821918, 0.587140, 0.606487
4, 4, 155, 0.783333, 0.633253, 0.869565, 0.666667, 0.754717, 0.581234, 0.583127
4, 5, 199, 0.800000, 0.628171, 0.909091, 0.666667, 0.769231, 0.586631, 0.587558
5, 1, 1, 0.566667, 0.735908, 1.000000, 0.103448, 0.187500, 0.664958, 0.685849
5, 2, 39, 0.616667, 0.689430, 0.636364, 0.482759, 0.549020, 0.641002, 0.648229
5, 3, 89, 0.650000, 0.674959, 0.750000, 0.413793, 0.533333, 0.644230, 0.653585
5, 4, 32, 0.650000, 0.678825, 0.666667, 0.551724, 0.603774, 0.643441, 0.643441
5, 5, 99, 0.616667, 0.672175, 0.607143, 0.586207, 0.596491, 0.643494, 0.649711
6, 1, 12, 0.750000, 0.650355, 0.690476, 0.935484, 0.794521, 0.622245, 0.623577
6, 2, 64, 0.716667, 0.667717, 0.750000, 0.677419, 0.711864, 0.620618, 0.624773
6, 3, 35, 0.750000, 0.641621, 0.833333, 0.645161, 0.727273, 0.617004, 0.629540
6, 4, 92, 0.750000, 0.642083, 0.833333, 0.645161, 0.727273, 0.618727, 0.621030
6, 5, 55, 0.733333, 0.645370, 0.857143, 0.580645, 0.692308, 0.616945, 0.633347
7, 1, 11, 0.733333, 0.674862, 0.714286, 0.454545, 0.555556, 0.654035, 0.657038
7, 2, 109, 0.783333, 0.641918, 0.909091, 0.454545, 0.606061, 0.623651, 0.634655
7, 3, 189, 0.750000, 0.640391, 0.769231, 0.454545, 0.571429, 0.629442, 0.647174
7, 4, 59, 0.766667, 0.633686, 0.900000, 0.409091, 0.562500, 0.625441, 0.631015
7, 5, 124, 0.750000, 0.642737, 0.769231, 0.454545, 0.571429, 0.617288, 0.631382
8, 1, 20, 0.866667, 0.662029, 1.000000, 0.619048, 0.764706, 0.641507, 0.644196
8, 2, 62, 0.816667, 0.630711, 1.000000, 0.476190, 0.645161, 0.603812, 0.632079
8, 3, 8, 0.833333, 0.662533, 0.923077, 0.571429, 0.705882, 0.596324, 0.606545
8, 4, 49, 0.833333, 0.628106, 0.823529, 0.666667, 0.736842, 0.592479, 0.598696
8, 5, 26, 0.883333, 0.646309, 1.000000, 0.666667, 0.800000, 0.597073, 0.605032
9, 1, 130, 0.883333, 0.604729, 0.956522, 0.785714, 0.862745, 0.618535, 0.620347
9, 2, 97, 0.916667, 0.552563, 0.960000, 0.857143, 0.905660, 0.605345, 0.611727
9, 3, 128, 0.916667, 0.558120, 0.960000, 0.857143, 0.905660, 0.596736, 0.596736
9, 4, 182, 0.916667, 0.555318, 1.000000, 0.821429, 0.901961, 0.599915, 0.600654
9, 5, 54, 0.916667, 0.535386, 0.960000, 0.857143, 0.905660, 0.592298, 0.594481
10, 1, 177, 0.716667, 0.628094, 0.676471, 0.793103, 0.730159, 0.603972, 0.603972
10, 2, 175, 0.833333, 0.619135, 1.000000, 0.655172, 0.791667, 0.598336, 0.598336
10, 3, 163, 0.750000, 0.608911, 0.850000, 0.586207, 0.693878, 0.572827, 0.572956
10, 4, 95, 0.783333, 0.614759, 1.000000, 0.551724, 0.711111, 0.568949, 0.568949
10, 5, 78, 0.866667, 0.601827, 0.956522, 0.758621, 0.846154, 0.562920, 0.570213
