# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=pairwise, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 40, 0.583333, 0.694838, 0.551020, 0.900000, 0.683544, 0.697438, 0.700751
2, 2, 92, 0.666667, 0.680111, 0.812500, 0.433333, 0.565217, 0.653485, 0.655950
2, 3, 130, 0.650000, 0.692044, 1.000000, 0.300000, 0.461538, 0.664521, 0.666424
2, 4, 55, 0.683333, 0.676904, 0.641026, 0.833333, 0.724638, 0.655886, 0.660328
2, 5, 132, 0.666667, 0.684338, 0.625000, 0.833333, 0.714286, 0.652654, 0.660337
3, 1, 107, 0.583333, 0.661275, 0.520000, 0.500000, 0.509804, 0.712327, 0.714345
3, 2, 79, 0.600000, 0.708243, 0.521739, 0.923077, 0.666667, 0.674829, 0.676607
3, 3, 67, 0.633333, 0.682720, 0.558824, 0.730769, 0.633333, 0.657412, 0.658434
3, 4, 66, 0.650000, 0.673324, 0.564103, 0.846154, 0.676923, 0.661892, 0.680737
3, 5, 187, 0.666667, 0.670307, 0.714286, 0.384615, 0.500000, 0.679443, 0.681577
4, 1, 122, 0.750000, 0.660823, 0.800000, 0.666667, 0.727273, 0.665130, 0.666880
4, 2, 25, 0.783333, 0.654534, 0.814815, 0.733333, 0.771930, 0.623308, 0.625265
4, 3, 57, 0.783333, 0.653258, 0.904762, 0.633333, 0.745098, 0.622382, 0.623788
4, 4, 89, 0.716667, 0.649061, 0.709677, 0.733333, 0.721311, 0.622150, 0.623578
4, 5, 27, 0.783333, 0.651039, 0.814815, 0.733333, 0.771930, 0.622195, 0.626739
5, 1, 142, 0.550000, 0.695347, 0.531250, 0.586207, 0.557377, 0.692613, 0.693325
5, 2, 106, 0.600000, 0.706536, 0.575758, 0.655172, 0.612903, 0.656481, 0.657617
5, 3, 167, 0.683333, 0.687979, 1.000000, 0.344828, 0.512821, 0.648217, 0.652364
5, 4, 19, 0.600000, 0.684785, 0.592593, 0.551724, 0.571429, 0.652891, 0.655004
5, 5, 83, 0.633333, 0.682230, 0.652174, 0.517241, 0.576923, 0.647670, 0.662959
6, 1, 153, 0.600000, 0.697411, 0.769231, 0.322581, 0.454545, 0.677555, 0.696210
6, 2, 164, 0.700000, 0.634364, 0.760000, 0.612903, 0.678571, 0.635354, 0.635392
6, 3, 79, 0.733333, 0.636323, 0.800000, 0.645161, 0.714286, 0.632963, 0.651805
6, 4, 75, 0.733333, 0.644109, 0.800000, 0.645161, 0.714286, 0.632911, 0.652051
6, 5, 81, 0.766667, 0.632582, 0.717949, 0.903226, 0.800000, 0.633989, 0.658490
7, 1, 41, 0.566667, 0.691577, 0.409091, 0.409091, 0.409091, 0.662649, 0.664032
7, 2, 173, 0.750000, 0.650075, 0.769231, 0.454545, 0.571429, 0.635485, 0.639595
7, 3, 139, 0.716667, 0.648463, 0.647059, 0.500000, 0.564103, 0.635023, 0.636003
7, 4, 70, 0.716667, 0.643920, 0.857143, 0.272727, 0.413793, 0.635048, 0.635048
7, 5, 156, 0.716667, 0.646533, 0.727273, 0.363636, 0.484848, 0.634706, 0.635238
8, 1, 24, 0.733333, 0.679595, 0.600000, 0.714286, 0.652174, 0.675408, 0.692296
8, 2, 75, 0.766667, 0.625181, 0.733333, 0.523810, 0.611111, 0.635864, 0.664040
8, 3, 49, 0.783333, 0.665686, 0.785714, 0.523810, 0.628571, 0.638306, 0.642596
8, 4, 111, 0.766667, 0.606741, 0.733333, 0.523810, 0.611111, 0.633354, 0.642451
8, 5, 26, 0.800000, 0.638881, 0.736842, 0.666667, 0.700000, 0.636966, 0.640553
9, 1, 172, 0.633333, 0.692021, 0.578947, 0.785714, 0.666667, 0.694751, 0.703806
9, 2, 176, 0.900000, 0.571911, 0.923077, 0.857143, 0.888889, 0.606969, 0.611031
9, 3, 81, 0.900000, 0.582323, 0.923077, 0.857143, 0.888889, 0.607041, 0.607177
9, 4, 100, 0.900000, 0.560830, 0.923077, 0.857143, 0.888889, 0.606637, 0.612073
9, 5, 69, 0.900000, 0.593511, 0.923077, 0.857143, 0.888889, 0.608656, 0.610287
10, 1, 130, 0.600000, 0.696700, 0.586207, 0.586207, 0.586207, 0.666182, 0.667322
10, 2, 154, 0.750000, 0.644031, 0.750000, 0.724138, 0.736842, 0.616432, 0.616432
10, 3, 171, 0.733333, 0.646760, 0.740741, 0.689655, 0.714286, 0.618717, 0.618717
10, 4, 134, 0.750000, 0.646077, 0.937500, 0.517241, 0.666667, 0.618015, 0.628805
10, 5, 74, 0.750000, 0.645611, 0.937500, 0.517241, 0.666667, 0.615144, 0.621949
