# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=ring, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 60, 0.583333, 0.694966, 0.551020, 0.900000, 0.683544, 0.697696, 0.702547
2, 2, 34, 0.583333, 0.698042, 0.551020, 0.900000, 0.683544, 0.695587, 0.696124
2, 3, 174, 0.583333, 0.694656, 0.551020, 0.900000, 0.683544, 0.696299, 0.707760
2, 4, 69, 0.566667, 0.696102, 0.540000, 0.900000, 0.675000, 0.692235, 0.694835
2, 5, 59, 0.583333, 0.696288, 0.551020, 0.900000, 0.683544, 0.694768, 0.696172
3, 1, 195, 0.600000, 0.686101, 0.522727, 0.884615, 0.657143, 0.711391, 0.711391
3, 2, 150, 0.666667, 0.665018, 0.687500, 0.423077, 0.523810, 0.693283, 0.693283
3, 3, 150, 0.600000, 0.677444, 0.533333, 0.615385, 0.571429, 0.690482, 0.693937
3, 4, 27, 0.633333, 0.673515, 0.600000, 0.461538, 0.521739, 0.692652, 0.703874
3, 5, 105, 0.616667, 0.669002, 0.565217, 0.500000, 0.530612, 0.697223, 0.720388
4, 1, 181, 0.750000, 0.659333, 0.800000, 0.666667, 0.727273, 0.666268, 0.666268
4, 2, 24, 0.766667, 0.648891, 0.735294, 0.833333, 0.781250, 0.596133, 0.603199
4, 3, 16, 0.766667, 0.660048, 0.807692, 0.700000, 0.750000, 0.588916, 0.593182
4, 4, 160, 0.783333, 0.650877, 0.904762, 0.633333, 0.745098, 0.589748, 0.603380
4, 5, 163, 0.783333, 0.641366, 0.869565, 0.666667, 0.754717, 0.583772, 0.585600
5, 1, 51, 0.533333, 0.706421, 0.515152, 0.586207, 0.548387, 0.693062, 0.699467
5, 2, 124, 0.583333, 0.731496, 0.543478, 0.862069, 0.666667, 0.659720, 0.659720
5, 3, 180, 0.583333, 0.688364, 0.600000, 0.413793, 0.489796, 0.649273, 0.650618
5, 4, 71, 0.650000, 0.689190, 0.666667, 0.551724, 0.603774, 0.649261, 0.661801
5, 5, 142, 0.616667, 0.694618, 0.607143, 0.586207, 0.596491, 0.644289, 0.656178
6, 1, 199, 0.633333, 0.683164, 0.846154, 0.354839, 0.500000, 0.674450, 0.674450
6, 2, 110, 0.733333, 0.647341, 0.777778, 0.677419, 0.724138, 0.621671, 0.625977
6, 3, 111, 0.733333, 0.651365, 0.826087, 0.612903, 0.703704, 0.618686, 0.630089
6, 4, 86, 0.733333, 0.632922, 0.857143, 0.580645, 0.692308, 0.620036, 0.629476
6, 5, 138, 0.750000, 0.648996, 0.833333, 0.645161, 0.727273, 0.617624, 0.640525
7, 1, 68, 0.600000, 0.677643, 0.437500, 0.318182, 0.368421, 0.668989, 0.668989
7, 2, 133, 0.733333, 0.644459, 0.800000, 0.363636, 0.500000, 0.642782, 0.654103
7, 3, 42, 0.666667, 0.641641, 0.625000, 0.227273, 0.333333, 0.644783, 0.644961
7, 4, 16, 0.700000, 0.660267, 0.750000, 0.272727, 0.400000, 0.649689, 0.659181
7, 5, 112, 0.766667, 0.629187, 0.900000, 0.409091, 0.562500, 0.616136, 0.617185
8, 1, 21, 0.733333, 0.678455, 0.600000, 0.714286, 0.652174, 0.674873, 0.677475
8, 2, 38, 0.783333, 0.642476, 0.700000, 0.666667, 0.682927, 0.653404, 0.653404
8, 3, 69, 0.683333, 0.664468, 0.527778, 0.904762, 0.666667, 0.635591, 0.638938
8, 4, 21, 0.716667, 0.640763, 0.600000, 0.571429, 0.585366, 0.632840, 0.633413
8, 5, 160, 0.700000, 0.637453, 0.560000, 0.666667, 0.608696, 0.608319, 0.621934
9, 1, 114, 0.600000, 0.700348, 0.558824, 0.678571, 0.612903, 0.696159, 0.698529
9, 2, 115, 0.866667, 0.587954, 1.000000, 0.714286, 0.833333, 0.622552, 0.622552
9, 3, 78, 0.866667, 0.570156, 0.954545, 0.750000, 0.840000, 0.604647, 0.607010
9, 4, 166, 0.883333, 0.555576, 0.920000, 0.821429, 0.867925, 0.599844, 0.605444
9, 5, 62, 0.866667, 0.580258, 0.954545, 0.750000, 0.840000, 0.601882, 0.603628
10, 1, 19, 0.600000, 0.696223, 0.586207, 0.586207, 0.586207, 0.666191, 0.672358
10, 2, 178, 0.800000, 0.627951, 0.904762, 0.655172, 0.760000, 0.610175, 0.611962
10, 3, 191, 0.833333, 0.615459, 0.880000, 0.758621, 0.814815, 0.592467, 0.599510
10, 4, 59, 0.850000, 0.619465, 0.916667, 0.758621, 0.830189, 0.581018, 0.598289
10, 5, 83, 0.833333, 0.609072, 1.000000, 0.655172, 0.791667, 0.569598, 0.569598
