# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=chain, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 80, 0.583333, 0.696271, 0.551020, 0.900000, 0.683544, 0.695970, 0.697377
2, 2, 92, 0.633333, 0.678063, 0.642857, 0.600000, 0.620690, 0.658058, 0.664927
2, 3, 148, 0.666667, 0.674830, 0.692308, 0.600000, 0.642857, 0.654843, 0.676709
2, 4, 106, 0.666667, 0.682903, 0.812500, 0.433333, 0.565217, 0.652190, 0.654331
2, 5, 40, 0.650000, 0.717755, 0.909091, 0.333333, 0.487805, 0.659280, 0.659280
3, 1, 161, 0.616667, 0.659280, 0.588235, 0.384615, 0.465116, 0.710679, 0.710731
3, 2, 70, 0.666667, 0.655832, 0.636364, 0.538462, 0.583333, 0.675997, 0.680629
3, 3, 146, 0.633333, 0.676929, 0.558824, 0.730769, 0.633333, 0.671898, 0.674022
3, 4, 178, 0.700000, 0.661045, 0.900000, 0.346154, 0.500000, 0.657119, 0.657119
3, 5, 134, 0.616667, 0.665983, 0.548387, 0.653846, 0.596491, 0.663044, 0.683287
4, 1, 178, 0.766667, 0.662579, 0.807692, 0.700000, 0.750000, 0.668591, 0.668591
4, 2, 108, 0.783333, 0.646477, 0.814815, 0.733333, 0.771930, 0.622808, 0.622812
4, 3, 15, 0.766667, 0.653291, 0.900000, 0.600000, 0.720000, 0.624500, 0.637728
4, 4, 152, 0.766667, 0.650476, 0.863636, 0.633333, 0.730769, 0.590741, 0.593841
4, 5, 160, 0.766667, 0.658091, 0.833333, 0.666667, 0.740741, 0.591382, 0.592793
5, 1, 70, 0.550000, 0.707100, 0.527778, 0.655172, 0.584615, 0.694776, 0.710683
5, 2, 72, 0.583333, 0.710723, 0.555556, 0.689655, 0.615385, 0.657053, 0.676048
5, 3, 182, 0.600000, 0.680634, 0.600000, 0.517241, 0.555556, 0.647030, 0.665843
5, 4, 14, 0.566667, 0.699979, 0.540541, 0.689655, 0.606061, 0.645472, 0.672068
5, 5, 25, 0.633333, 0.664460, 0.818182, 0.310345, 0.450000, 0.643581, 0.677069
6, 1, 199, 0.616667, 0.689361, 0.833333, 0.322581, 0.465116, 0.676338, 0.676656
6, 2, 147, 0.716667, 0.644257, 0.769231, 0.645161, 0.701754, 0.635135, 0.654298
6, 3, 118, 0.683333, 0.633940, 0.666667, 0.774194, 0.716418, 0.636252, 0.641928
6, 4, 196, 0.716667, 0.638682, 0.718750, 0.741935, 0.730159, 0.636528, 0.640987
6, 5, 126, 0.716667, 0.650720, 0.769231, 0.645161, 0.701754, 0.629879, 0.629879
7, 1, 43, 0.566667, 0.691650, 0.409091, 0.409091, 0.409091, 0.670008, 0.670008
7, 2, 76, 0.683333, 0.653127, 0.588235, 0.454545, 0.512821, 0.634742, 0.635249
7, 3, 76, 0.716667, 0.639736, 0.692308, 0.409091, 0.514286, 0.626630, 0.628366
7, 4, 90, 0.766667, 0.638664, 0.900000, 0.409091, 0.562500, 0.619843, 0.624954
7, 5, 110, 0.733333, 0.648734, 0.636364, 0.636364, 0.636364, 0.618589, 0.640472
8, 1, 28, 0.733333, 0.680087, 0.600000, 0.714286, 0.652174, 0.675768, 0.681575
8, 2, 27, 0.816667, 0.640241, 0.777778, 0.666667, 0.717949, 0.636339, 0.645396
8, 3, 33, 0.766667, 0.647066, 0.705882, 0.571429, 0.631579, 0.631372, 0.631634
8, 4, 81, 0.833333, 0.633226, 0.789474, 0.714286, 0.750000, 0.618288, 0.619458
8, 5, 18, 0.816667, 0.642405, 0.812500, 0.619048, 0.702703, 0.623255, 0.627522
9, 1, 171, 0.616667, 0.692340, 0.560976, 0.821429, 0.666667, 0.691767, 0.692171
9, 2, 146, 0.900000, 0.569410, 0.923077, 0.857143, 0.888889, 0.606582, 0.610794
9, 3, 147, 0.883333, 0.563132, 0.920000, 0.821429, 0.867925, 0.606256, 0.609618
9, 4, 121, 0.900000, 0.581601, 0.923077, 0.857143, 0.888889, 0.596401, 0.604117
9, 5, 126, 0.883333, 0.552679, 0.920000, 0.821429, 0.867925, 0.594926, 0.598991
10, 1, 40, 0.600000, 0.696090, 0.586207, 0.586207, 0.586207, 0.666212, 0.667581
10, 2, 48, 0.733333, 0.654055, 0.724138, 0.724138, 0.724138, 0.615197, 0.618285
10, 3, 68, 0.750000, 0.643362, 0.694444, 0.862069, 0.769231, 0.602955, 0.603328
10, 4, 75, 0.783333, 0.620970, 0.863636, 0.655172, 0.745098, 0.590884, 0.591075
10, 5, 103, 0.816667, 0.621899, 0.950000, 0.655172, 0.775510, 0.592085, 0.596412
