# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=chain, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 1, 0.500000, 0.693460, 0.500000, 1.000000, 0.666667, 0.693147, 0.693151
2, 2, 62, 0.600000, 0.701776, 0.750000, 0.300000, 0.428571, 0.689506, 0.691067
2, 3, 96, 0.566667, 0.695206, 0.540000, 0.900000, 0.675000, 0.690912, 0.694834
2, 4, 10, 0.566667, 0.698489, 0.540000, 0.900000, 0.675000, 0.693974, 0.702955
2, 5, 172, 0.583333, 0.695217, 0.692308, 0.300000, 0.418605, 0.691021, 0.691165
3, 1, 1, 0.566667, 0.690126, 0.000000, 0.000000, 0.000000, 0.692592, 0.693371
3, 2, 179, 0.616667, 0.670662, 0.615385, 0.307692, 0.410256, 0.690702, 0.692617
3, 3, 185, 0.616667, 0.689872, 0.578947, 0.423077, 0.488889, 0.690737, 0.691637
3, 4, 67, 0.666667, 0.664888, 0.750000, 0.346154, 0.473684, 0.690720, 0.695919
3, 5, 191, 0.616667, 0.683618, 0.636364, 0.269231, 0.378378, 0.690154, 0.693038
4, 1, 1, 0.500000, 0.693460, 0.500000, 1.000000, 0.666667, 0.693147, 0.696527
4, 2, 22, 0.800000, 0.665121, 0.909091, 0.666667, 0.769231, 0.656680, 0.656908
4, 3, 30, 0.816667, 0.659954, 0.913043, 0.700000, 0.792453, 0.655141, 0.656317
4, 4, 88, 0.783333, 0.660644, 0.840000, 0.700000, 0.763636, 0.656119, 0.687546
4, 5, 37, 0.766667, 0.661469, 0.900000, 0.600000, 0.720000, 0.655363, 0.655522
5, 1, 143, 0.516667, 0.692939, 0.000000, 0.000000, 0.000000, 0.693112, 0.713832
5, 2, 31, 0.583333, 0.703877, 0.590909, 0.448276, 0.509804, 0.652930, 0.655306
5, 3, 2, 0.583333, 0.692147, 0.833333, 0.172414, 0.285714, 0.654758, 0.655118
5, 4, 196, 0.600000, 0.712822, 0.580645, 0.620690, 0.600000, 0.652459, 0.655190
5, 5, 91, 0.600000, 0.709152, 0.619048, 0.448276, 0.520000, 0.652708, 0.657822
6, 1, 10, 0.516667, 0.693080, 0.516667, 1.000000, 0.681319, 0.693113, 0.698655
6, 2, 125, 0.733333, 0.651062, 0.857143, 0.580645, 0.692308, 0.662937, 0.671754
6, 3, 162, 0.683333, 0.654498, 0.928571, 0.419355, 0.577778, 0.672073, 0.676977
6, 4, 111, 0.716667, 0.655874, 0.850000, 0.548387, 0.666667, 0.663285, 0.665815
6, 5, 169, 0.716667, 0.651218, 0.791667, 0.612903, 0.690909, 0.665016, 0.670159
7, 1, 1, 0.633333, 0.686793, 0.000000, 0.000000, 0.000000, 0.690923, 0.691232
7, 2, 53, 0.766667, 0.655134, 0.642857, 0.818182, 0.720000, 0.644202, 0.648634
7, 3, 126, 0.766667, 0.654806, 0.666667, 0.727273, 0.695652, 0.644636, 0.644636
7, 4, 57, 0.783333, 0.621003, 0.714286, 0.681818, 0.697674, 0.644020, 0.646124
7, 5, 171, 0.700000, 0.643862, 0.576923, 0.681818, 0.625000, 0.644316, 0.646709
8, 1, 1, 0.650000, 0.685960, 0.000000, 0.000000, 0.000000, 0.690332, 0.690466
8, 2, 23, 0.783333, 0.657640, 0.833333, 0.476190, 0.606061, 0.664866, 0.666488
8, 3, 5, 0.733333, 0.688662, 0.600000, 0.714286, 0.652174, 0.670702, 0.706056
8, 4, 74, 0.733333, 0.646681, 1.000000, 0.238095, 0.384615, 0.666184, 0.670487
8, 5, 178, 0.766667, 0.643475, 0.888889, 0.380952, 0.533333, 0.664843, 0.672922
9, 1, 1, 0.533333, 0.691793, 0.000000, 0.000000, 0.000000, 0.693009, 0.694176
9, 2, 36, 0.833333, 0.649108, 0.846154, 0.785714, 0.814815, 0.653397, 0.654102
9, 3, 129, 0.783333, 0.671919, 0.894737, 0.607143, 0.723404, 0.676600, 0.687206
9, 4, 129, 0.783333, 0.655546, 0.800000, 0.714286, 0.754717, 0.654478, 0.655456
9, 5, 189, 0.783333, 0.657896, 0.758621, 0.785714, 0.771930, 0.660558, 0.662235
10, 1, 1, 0.516667, 0.692626, 0.000000, 0.000000, 0.000000, 0.693112, 0.694860
10, 2, 195, 0.766667, 0.625330, 0.758621, 0.758621, 0.758621, 0.626417, 0.626819
10, 3, 32, 0.600000, 0.690980, 0.619048, 0.448276, 0.520000, 0.670580, 0.671534
10, 4, 82, 0.750000, 0.633185, 0.733333, 0.758621, 0.745763, 0.626059, 0.626899
10, 5, 86, 0.750000, 0.631170, 0.733333, 0.758621, 0.745763, 0.626991, 0.628383
