# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=full, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 23, 0.583333, 0.696592, 0.551020, 0.900000, 0.683544, 0.696309, 0.701692
2, 2, 125, 0.666667, 0.677317, 0.692308, 0.600000, 0.642857, 0.653377, 0.653452
2, 3, 113, 0.666667, 0.677385, 0.727273, 0.533333, 0.615385, 0.655847, 0.657742
2, 4, 132, 0.666667, 0.683805, 0.727273, 0.533333, 0.615385, 0.651953, 0.666899
2, 5, 138, 0.666667, 0.679258, 0.692308, 0.600000, 0.642857, 0.653043, 0.653815
3, 1, 157, 0.566667, 0.658730, 0.500000, 0.461538, 0.480000, 0.712017, 0.712017
3, 2, 184, 0.616667, 0.687904, 0.548387, 0.653846, 0.596491, 0.673572, 0.673983
3, 3, 150, 0.616667, 0.685876, 0.555556, 0.576923, 0.566038, 0.659032, 0.659032
3, 4, 103, 0.583333, 0.698628, 0.538462, 0.269231, 0.358974, 0.672888, 0.685261
3, 5, 126, 0.633333, 0.677476, 0.611111, 0.423077, 0.500000, 0.658151, 0.664538
4, 1, 159, 0.750000, 0.661231, 0.800000, 0.666667, 0.727273, 0.666227, 0.666227
4, 2, 66, 0.750000, 0.621296, 0.894737, 0.566667, 0.693878, 0.596834, 0.606031
4, 3, 97, 0.783333, 0.628047, 0.840000, 0.700000, 0.763636, 0.593749, 0.595550
4, 4, 84, 0.800000, 0.621157, 0.875000, 0.700000, 0.777778, 0.582065, 0.584971
4, 5, 59, 0.816667, 0.624681, 0.952381, 0.666667, 0.784314, 0.581224, 0.598720
5, 1, 32, 0.566667, 0.711848, 0.714286, 0.172414, 0.277778, 0.693847, 0.699657
5, 2, 154, 0.583333, 0.717624, 0.600000, 0.413793, 0.489796, 0.658539, 0.669355
5, 3, 113, 0.650000, 0.690961, 0.653846, 0.586207, 0.618182, 0.646053, 0.647886
5, 4, 84, 0.633333, 0.702124, 0.652174, 0.517241, 0.576923, 0.645819, 0.651844
5, 5, 39, 0.750000, 0.675955, 0.937500, 0.517241, 0.666667, 0.641787, 0.641787
6, 1, 168, 0.583333, 0.726184, 0.800000, 0.258065, 0.390244, 0.683460, 0.683460
6, 2, 158, 0.733333, 0.639997, 0.800000, 0.645161, 0.714286, 0.620144, 0.622863
6, 3, 148, 0.716667, 0.632567, 0.850000, 0.548387, 0.666667, 0.610600, 0.612457
6, 4, 93, 0.750000, 0.640765, 0.807692, 0.677419, 0.736842, 0.609113, 0.613196
6, 5, 107, 0.750000, 0.638677, 0.807692, 0.677419, 0.736842, 0.607886, 0.612988
7, 1, 141, 0.583333, 0.678083, 0.384615, 0.227273, 0.285714, 0.663647, 0.663726
7, 2, 173, 0.716667, 0.640620, 0.777778, 0.318182, 0.451613, 0.645390, 0.646826
7, 3, 152, 0.750000, 0.646724, 0.705882, 0.545455, 0.615385, 0.633717, 0.642636
7, 4, 125, 0.783333, 0.613109, 0.736842, 0.636364, 0.682927, 0.623934, 0.627298
7, 5, 166, 0.816667, 0.603516, 0.923077, 0.545455, 0.685714, 0.612079, 0.616468
8, 1, 100, 0.733333, 0.677263, 0.600000, 0.714286, 0.652174, 0.677262, 0.678112
8, 2, 37, 0.816667, 0.641005, 0.777778, 0.666667, 0.717949, 0.639488, 0.645612
8, 3, 200, 0.783333, 0.638434, 0.700000, 0.666667, 0.682927, 0.611866, 0.622385
8, 4, 154, 0.883333, 0.583481, 1.000000, 0.666667, 0.800000, 0.590272, 0.590614
8, 5, 88, 0.816667, 0.601944, 0.777778, 0.666667, 0.717949, 0.591410, 0.594594
9, 1, 167, 0.616667, 0.691499, 0.567568, 0.750000, 0.646154, 0.691350, 0.691350
9, 2, 151, 0.800000, 0.611672, 0.944444, 0.607143, 0.739130, 0.619682, 0.620690
9, 3, 189, 0.916667, 0.544323, 0.960000, 0.857143, 0.905660, 0.599624, 0.604145
9, 4, 36, 0.916667, 0.565848, 0.960000, 0.857143, 0.905660, 0.598726, 0.611835
9, 5, 44, 0.916667, 0.537941, 0.960000, 0.857143, 0.905660, 0.587586, 0.590544
10, 1, 51, 0.600000, 0.696091, 0.586207, 0.586207, 0.586207, 0.666188, 0.666691
10, 2, 197, 0.716667, 0.643368, 0.657895, 0.862069, 0.746269, 0.605248, 0.606691
10, 3, 113, 0.750000, 0.624200, 1.000000, 0.482759, 0.651163, 0.581214, 0.582638
10, 4, 23, 0.833333, 0.608730, 1.000000, 0.655172, 0.791667, 0.570098, 0.576881
10, 5, 65, 0.866667, 0.599441, 0.956522, 0.758621, 0.846154, 0.566898, 0.571700
