# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=pairwise, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 1, 0.500000, 0.693460, 0.000000, 0.000000, 0.000000, 0.693149, 0.694081
2, 2, 95, 0.583333, 0.702849, 0.545455, 1.000000, 0.705882, 0.689429, 0.700701
2, 3, 191, 0.583333, 0.695110, 0.549020, 0.933333, 0.691358, 0.690692, 0.691535
2, 4, 92, 0.583333, 0.695577, 0.551020, 0.900000, 0.683544, 0.694893, 0.730449
2, 5, 52, 0.566667, 0.698356, 0.540000, 0.900000, 0.675000, 0.691077, 0.691425
3, 1, 94, 0.566667, 0.692848, 0.000000, 0.000000, 0.000000, 0.692592, 0.693973
3, 2, 161, 0.616667, 0.681956, 0.565217, 0.500000, 0.530612, 0.690165, 0.693425
3, 3, 16, 0.616667, 0.691843, 0.533333, 0.923077, 0.676056, 0.690799, 0.721178
3, 4, 95, 0.616667, 0.672158, 0.560000, 0.538462, 0.549020, 0.690564, 0.704649
3, 5, 76, 0.633333, 0.683191, 0.611111, 0.423077, 0.500000, 0.690073, 0.692057
4, 1, 1, 0.500000, 0.693460, 0.500000, 1.000000, 0.666667, 0.693147, 0.697265
4, 2, 133, 0.816667, 0.658219, 0.880000, 0.733333, 0.800000, 0.661983, 0.665440
4, 3, 122, 0.800000, 0.654739, 0.909091, 0.666667, 0.769231, 0.661027, 0.661734
4, 4, 93, 0.750000, 0.658433, 0.894737, 0.566667, 0.693878, 0.663024, 0.688667
4, 5, 136, 0.816667, 0.655112, 0.913043, 0.700000, 0.792453, 0.661237, 0.665124
5, 1, 39, 0.516667, 0.692925, 0.000000, 0.000000, 0.000000, 0.693113, 0.697750
5, 2, 3, 0.583333, 0.701630, 0.700000, 0.241379, 0.358974, 0.688472, 0.690335
5, 3, 43, 0.616667, 0.688930, 0.714286, 0.344828, 0.465116, 0.687740, 0.689732
5, 4, 139, 0.616667, 0.690451, 0.687500, 0.379310, 0.488889, 0.687908, 0.711880
5, 5, 37, 0.616667, 0.689344, 0.714286, 0.344828, 0.465116, 0.687959, 0.688038
6, 1, 20, 0.516667, 0.693001, 0.516667, 1.000000, 0.681319, 0.693112, 0.698529
6, 2, 34, 0.683333, 0.658811, 1.000000, 0.387097, 0.558140, 0.670623, 0.672596
6, 3, 77, 0.700000, 0.672806, 0.933333, 0.451613, 0.608696, 0.673015, 0.676338
6, 4, 141, 0.666667, 0.657332, 0.739130, 0.548387, 0.629630, 0.672013, 0.672393
6, 5, 150, 0.716667, 0.644595, 0.675000, 0.870968, 0.760563, 0.670883, 0.670889
7, 1, 1, 0.633333, 0.686793, 0.000000, 0.000000, 0.000000, 0.690924, 0.690983
7, 2, 1, 0.566667, 0.699878, 0.416667, 0.454545, 0.434783, 0.662432, 0.662432
7, 3, 18, 0.650000, 0.676232, 0.600000, 0.136364, 0.222222, 0.663143, 0.667739
7, 4, 28, 0.566667, 0.682687, 0.388889, 0.318182, 0.350000, 0.663866, 0.664529
7, 5, 23, 0.600000, 0.672261, 0.375000, 0.136364, 0.200000, 0.662333, 0.665724
8, 1, 1, 0.650000, 0.685960, 0.000000, 0.000000, 0.000000, 0.690334, 0.691241
8, 2, 19, 0.750000, 0.689306, 0.615385, 0.761905, 0.680851, 0.671188, 0.674059
8, 3, 12, 0.733333, 0.681657, 0.600000, 0.714286, 0.652174, 0.671116, 0.671116
8, 4, 21, 0.733333, 0.674044, 0.600000, 0.714286, 0.652174, 0.673279, 0.675923
8, 5, 64, 0.733333, 0.671496, 0.600000, 0.714286, 0.652174, 0.671115, 0.671115
9, 1, 61, 0.533333, 0.692784, 0.000000, 0.000000, 0.000000, 0.693008, 0.693081
9, 2, 109, 0.766667, 0.654092, 1.000000, 0.500000, 0.666667, 0.666993, 0.672229
9, 3, 134, 0.783333, 0.677718, 1.000000, 0.535714, 0.697674, 0.676584, 0.682008
9, 4, 186, 0.766667, 0.662837, 0.818182, 0.642857, 0.720000, 0.674005, 0.674005
9, 5, 163, 0.766667, 0.665286, 1.000000, 0.500000, 0.666667, 0.673790, 0.689916
10, 1, 1, 0.516667, 0.692626, 0.000000, 0.000000, 0.000000, 0.693113, 0.698820
10, 2, 177, 0.583333, 0.693369, 0.576923, 0.517241, 0.545455, 0.671998, 0.672367
10, 3, 37, 0.600000, 0.691283, 0.727273, 0.275862, 0.400000, 0.667102, 0.667274
10, 4, 117, 0.616667, 0.701330, 0.565217, 0.896552, 0.693333, 0.666308, 0.671127
10, 5, 153, 0.616667, 0.700972, 0.565217, 0.896552, 0.693333, 0.666889, 0.675179
