# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=ring, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 49, 0.583333, 0.698158, 0.857143, 0.200000, 0.324324, 0.697883, 0.702714
2, 2, 29, 0.583333, 0.695348, 0.551020, 0.900000, 0.683544, 0.696600, 0.700103
2, 3, 11, 0.566667, 0.702722, 0.540000, 0.900000, 0.675000, 0.692307, 0.695902
2, 4, 72, 0.583333, 0.703678, 0.631579, 0.400000, 0.489796, 0.699512, 0.702348
2, 5, 10, 0.566667, 0.704137, 0.540000, 0.900000, 0.675000, 0.692528, 0.712408
3, 1, 58, 0.616667, 0.659165, 0.565217, 0.500000, 0.530612, 0.710480, 0.722762
3, 2, 26, 0.533333, 0.731663, 0.479167, 0.884615, 0.621622, 0.714414, 0.724750
3, 3, 162, 0.616667, 0.693026, 0.571429, 0.461538, 0.510638, 0.710533, 0.711624
3, 4, 8, 0.666667, 0.663158, 0.687500, 0.423077, 0.523810, 0.710437, 0.735078
3, 5, 115, 0.633333, 0.671598, 0.600000, 0.461538, 0.521739, 0.710444, 0.714670
4, 1, 162, 0.766667, 0.656947, 0.900000, 0.600000, 0.720000, 0.664394, 0.672852
4, 2, 196, 0.766667, 0.620125, 0.944444, 0.566667, 0.708333, 0.597578, 0.601125
4, 3, 61, 0.783333, 0.634822, 0.869565, 0.666667, 0.754717, 0.588690, 0.598520
4, 4, 158, 0.816667, 0.631857, 0.952381, 0.666667, 0.784314, 0.588014, 0.590412
4, 5, 46, 0.750000, 0.636131, 0.941176, 0.533333, 0.680851, 0.589266, 0.593080
5, 1, 34, 0.533333, 0.737550, 0.509804, 0.896552, 0.650000, 0.694236, 0.697726
5, 2, 28, 0.633333, 0.681234, 0.640000, 0.551724, 0.592593, 0.662113, 0.662113
5, 3, 103, 0.566667, 0.699920, 0.551724, 0.551724, 0.551724, 0.642529, 0.653619
5, 4, 139, 0.600000, 0.693827, 0.600000, 0.517241, 0.555556, 0.642202, 0.646273
5, 5, 65, 0.650000, 0.706371, 0.590909, 0.896552, 0.712329, 0.647384, 0.653518
6, 1, 186, 0.616667, 0.692267, 0.833333, 0.322581, 0.465116, 0.677065, 0.679185
6, 2, 67, 0.700000, 0.655888, 0.842105, 0.516129, 0.640000, 0.621398, 0.631050
6, 3, 163, 0.666667, 0.671190, 0.739130, 0.548387, 0.629630, 0.618454, 0.619199
6, 4, 70, 0.733333, 0.645851, 0.826087, 0.612903, 0.703704, 0.615962, 0.627076
6, 5, 53, 0.733333, 0.646065, 0.826087, 0.612903, 0.703704, 0.617152, 0.639555
7, 1, 12, 0.566667, 0.682721, 0.400000, 0.363636, 0.380952, 0.664583, 0.664583
7, 2, 177, 0.733333, 0.629544, 1.000000, 0.272727, 0.428571, 0.641158, 0.641158
7, 3, 169, 0.683333, 0.640439, 0.588235, 0.454545, 0.512821, 0.618812, 0.627992
7, 4, 186, 0.783333, 0.634519, 0.736842, 0.636364, 0.682927, 0.623663, 0.629946
7, 5, 150, 0.733333, 0.623982, 0.714286, 0.454545, 0.555556, 0.617284, 0.625342
8, 1, 36, 0.733333, 0.675004, 0.600000, 0.714286, 0.652174, 0.674762, 0.674762
8, 2, 200, 0.766667, 0.641252, 0.705882, 0.571429, 0.631579, 0.672811, 0.680292
8, 3, 79, 0.766667, 0.645753, 0.652174, 0.714286, 0.681818, 0.634202, 0.635072
8, 4, 38, 0.650000, 0.674245, 0.500000, 0.857143, 0.631579, 0.628843, 0.630632
8, 5, 18, 0.700000, 0.632582, 0.666667, 0.285714, 0.400000, 0.628377, 0.638286
9, 1, 159, 0.616667, 0.687615, 0.567568, 0.750000, 0.646154, 0.691282, 0.691282
9, 2, 177, 0.733333, 0.671908, 0.676471, 0.821429, 0.741935, 0.667504, 0.671623
9, 3, 131, 0.866667, 0.551874, 0.954545, 0.750000, 0.840000, 0.605931, 0.613457
9, 4, 73, 0.850000, 0.611033, 0.880000, 0.785714, 0.830189, 0.599049, 0.608920
9, 5, 122, 0.883333, 0.553058, 0.920000, 0.821429, 0.867925, 0.603511, 0.611935
10, 1, 37, 0.600000, 0.696566, 0.586207, 0.586207, 0.586207, 0.666239, 0.668640
10, 2, 152, 0.750000, 0.639110, 0.769231, 0.689655, 0.727273, 0.612362, 0.628311
10, 3, 133, 0.850000, 0.609147, 0.916667, 0.758621, 0.830189, 0.591043, 0.594349
10, 4, 109, 0.816667, 0.605404, 0.846154, 0.758621, 0.800000, 0.583591, 0.613067
10, 5, 114, 0.833333, 0.600586, 0.952381, 0.689655, 0.800000, 0.582771, 0.592595
