# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=chain, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 91, 0.550000, 0.691064, 0.533333, 0.800000, 0.640000, 0.703001, 0.703717
2, 2, 158, 0.550000, 0.691151, 0.534884, 0.766667, 0.630137, 0.703001, 0.703149
2, 3, 46, 0.550000, 0.691136, 0.530612, 0.866667, 0.658228, 0.703001, 0.717559
2, 4, 142, 0.550000, 0.691142, 0.530612, 0.866667, 0.658228, 0.703001, 0.711524
2, 5, 47, 0.550000, 0.691066, 0.533333, 0.800000, 0.640000, 0.703001, 0.703001
3, 1, 66, 0.583333, 0.667590, 0.518519, 0.538462, 0.528302, 0.714869, 0.714883
3, 2, 26, 0.583333, 0.667699, 0.518519, 0.538462, 0.528302, 0.714869, 0.715001
3, 3, 88, 0.550000, 0.679361, 0.488372, 0.807692, 0.608696, 0.714870, 0.717110
3, 4, 25, 0.550000, 0.679228, 0.488372, 0.807692, 0.608696, 0.714869, 0.715618
3, 5, 6, 0.550000, 0.679026, 0.488372, 0.807692, 0.608696, 0.714869, 0.716246
4, 1, 50, 0.616667, 0.696544, 0.769231, 0.333333, 0.465116, 0.699687, 0.700769
4, 2, 65, 0.550000, 0.696277, 0.545455, 0.600000, 0.571429, 0.699685, 0.699729
4, 3, 40, 0.616667, 0.696601, 0.818182, 0.300000, 0.439024, 0.699685, 0.700583
4, 4, 55, 0.616667, 0.696702, 0.888889, 0.266667, 0.410256, 0.699685, 0.699740
4, 5, 154, 0.616667, 0.696710, 0.888889, 0.266667, 0.410256, 0.699686, 0.702508
5, 1, 62, 0.500000, 0.737299, 0.488372, 0.724138, 0.583333, 0.709373, 0.715191
5, 2, 2, 0.500000, 0.787972, 0.491228, 0.965517, 0.651163, 0.709373, 0.711746
5, 3, 46, 0.500000, 0.736755, 0.488372, 0.724138, 0.583333, 0.709372, 0.711375
5, 4, 95, 0.500000, 0.736969, 0.488372, 0.724138, 0.583333, 0.709372, 0.709883
5, 5, 2, 0.500000, 0.790142, 0.491228, 0.965517, 0.651163, 0.709372, 0.710090
6, 1, 23, 0.516667, 0.774528, 0.600000, 0.193548, 0.292683, 0.716229, 0.719891
6, 2, 138, 0.533333, 0.774366, 0.636364, 0.225806, 0.333333, 0.716229, 0.717702
6, 3, 62, 0.516667, 0.774664, 0.600000, 0.193548, 0.292683, 0.716229, 0.717178
6, 4, 39, 0.500000, 0.769382, 0.533333, 0.258065, 0.347826, 0.716230, 0.716663
6, 5, 69, 0.500000, 0.769314, 0.533333, 0.258065, 0.347826, 0.716229, 0.716908
7, 1, 141, 0.583333, 0.683451, 0.421053, 0.363636, 0.390244, 0.716318, 0.717682
7, 2, 192, 0.583333, 0.683564, 0.421053, 0.363636, 0.390244, 0.716318, 0.724117
7, 3, 105, 0.583333, 0.682443, 0.421053, 0.363636, 0.390244, 0.716320, 0.731260
7, 4, 112, 0.533333, 0.691847, 0.384615, 0.454545, 0.416667, 0.716318, 0.717854
7, 5, 45, 0.550000, 0.688062, 0.391304, 0.409091, 0.400000, 0.716319, 0.718388
8, 1, 58, 0.650000, 0.689623, 0.000000, 0.000000, 0.000000, 0.694414, 0.697286
8, 2, 64, 0.650000, 0.690158, 0.000000, 0.000000, 0.000000, 0.694414, 0.696439
8, 3, 59, 0.400000, 0.701745, 0.363636, 0.952381, 0.526316, 0.694413, 0.694750
8, 4, 1, 0.350000, 0.932798, 0.350000, 1.000000, 0.518519, 0.694413, 0.695325
8, 5, 191, 0.650000, 0.689537, 0.000000, 0.000000, 0.000000, 0.694413, 0.709409
9, 1, 1, 0.466667, 0.820631, 0.466667, 1.000000, 0.636364, 0.727344, 0.730051
9, 2, 1, 0.466667, 0.820631, 0.466667, 1.000000, 0.636364, 0.727344, 0.727546
9, 3, 96, 0.533333, 0.733107, 0.000000, 0.000000, 0.000000, 0.727344, 0.737073
9, 4, 1, 0.466667, 0.820631, 0.466667, 1.000000, 0.636364, 0.727344, 0.733811
9, 5, 1, 0.466667, 0.820631, 0.466667, 1.000000, 0.636364, 0.727349, 0.727768
10, 1, 24, 0.583333, 0.704010, 0.541667, 0.896552, 0.675325, 0.666792, 0.676850
10, 2, 32, 0.583333, 0.703906, 0.541667, 0.896552, 0.675325, 0.666793, 0.669032
10, 3, 16, 0.583333, 0.705474, 0.540000, 0.931034, 0.683544, 0.666792, 0.671711
10, 4, 46, 0.600000, 0.699277, 0.567568, 0.724138, 0.636364, 0.666795, 0.672935
10, 5, 42, 0.600000, 0.699205, 0.567568, 0.724138, 0.636364, 0.666792, 0.667222
