# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=full, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 81, 0.550000, 0.691147, 0.534884, 0.766667, 0.630137, 0.703001, 0.715116
2, 2, 47, 0.550000, 0.691140, 0.530612, 0.866667, 0.658228, 0.703001, 0.709911
2, 3, 41, 0.550000, 0.691064, 0.533333, 0.800000, 0.640000, 0.703001, 0.707446
2, 4, 37, 0.550000, 0.691154, 0.534884, 0.766667, 0.630137, 0.703001, 0.719117
2, 5, 78, 0.550000, 0.691075, 0.531915, 0.833333, 0.649351, 0.703001, 0.712337
3, 1, 96, 0.583333, 0.667614, 0.518519, 0.538462, 0.528302, 0.714869, 0.717022
3, 2, 144, 0.550000, 0.679432, 0.488372, 0.807692, 0.608696, 0.714870, 0.716616
3, 3, 97, 0.583333, 0.667352, 0.518519, 0.538462, 0.528302, 0.714872, 0.717597
3, 4, 45, 0.550000, 0.679728, 0.488372, 0.807692, 0.608696, 0.714871, 0.715898
3, 5, 16, 0.550000, 0.680015, 0.488372, 0.807692, 0.608696, 0.714869, 0.717078
4, 1, 56, 0.616667, 0.696588, 0.818182, 0.300000, 0.439024, 0.699686, 0.701243
4, 2, 156, 0.616667, 0.696586, 0.818182, 0.300000, 0.439024, 0.699686, 0.701521
4, 3, 58, 0.616667, 0.696717, 0.888889, 0.266667, 0.410256, 0.699696, 0.703331
4, 4, 107, 0.616667, 0.696558, 0.769231, 0.333333, 0.465116, 0.699685, 0.701985
4, 5, 63, 0.616667, 0.696706, 0.888889, 0.266667, 0.410256, 0.699686, 0.699729
5, 1, 12, 0.500000, 0.735773, 0.487805, 0.689655, 0.571429, 0.709372, 0.712449
5, 2, 31, 0.500000, 0.737268, 0.488372, 0.724138, 0.583333, 0.709372, 0.714118
5, 3, 18, 0.500000, 0.736999, 0.488372, 0.724138, 0.583333, 0.709373, 0.710294
5, 4, 2, 0.500000, 0.789236, 0.491228, 0.965517, 0.651163, 0.709372, 0.709536
5, 5, 13, 0.500000, 0.736381, 0.488372, 0.724138, 0.583333, 0.709372, 0.709697
6, 1, 180, 0.500000, 0.769352, 0.533333, 0.258065, 0.347826, 0.716229, 0.717497
6, 2, 35, 0.466667, 0.767522, 0.470588, 0.258065, 0.333333, 0.716229, 0.716242
6, 3, 183, 0.516667, 0.774530, 0.600000, 0.193548, 0.292683, 0.716229, 0.724457
6, 4, 39, 0.466667, 0.767218, 0.470588, 0.258065, 0.333333, 0.716229, 0.719666
6, 5, 131, 0.533333, 0.774353, 0.636364, 0.225806, 0.333333, 0.716232, 0.720979
7, 1, 189, 0.600000, 0.679634, 0.444444, 0.363636, 0.400000, 0.716319, 0.724190
7, 2, 87, 0.600000, 0.680040, 0.444444, 0.363636, 0.400000, 0.716322, 0.718180
7, 3, 1, 0.466667, 0.704307, 0.352941, 0.545455, 0.428571, 0.716320, 0.718175
7, 4, 12, 0.633333, 0.675535, 0.500000, 0.363636, 0.421053, 0.716319, 0.716345
7, 5, 132, 0.550000, 0.684772, 0.380952, 0.363636, 0.372093, 0.716319, 0.718662
8, 1, 46, 0.400000, 0.702602, 0.363636, 0.952381, 0.526316, 0.694413, 0.694493
8, 2, 39, 0.400000, 0.702584, 0.363636, 0.952381, 0.526316, 0.694416, 0.694437
8, 3, 115, 0.650000, 0.690831, 0.000000, 0.000000, 0.000000, 0.694414, 0.695158
8, 4, 156, 0.650000, 0.687343, 0.000000, 0.000000, 0.000000, 0.694414, 0.695204
8, 5, 172, 0.650000, 0.689394, 0.000000, 0.000000, 0.000000, 0.694414, 0.697314
9, 1, 1, 0.466667, 0.820631, 0.466667, 1.000000, 0.636364, 0.727344, 0.729272
9, 2, 128, 0.533333, 0.733271, 0.000000, 0.000000, 0.000000, 0.727344, 0.730259
9, 3, 1, 0.466667, 0.842106, 0.466667, 1.000000, 0.636364, 0.727344, 0.728458
9, 4, 1, 0.466667, 0.842106, 0.466667, 1.000000, 0.636364, 0.727344, 0.727617
9, 5, 1, 0.466667, 0.842106, 0.466667, 1.000000, 0.636364, 0.727344, 0.727956
10, 1, 97, 0.600000, 0.699235, 0.567568, 0.724138, 0.636364, 0.666792, 0.673394
10, 2, 108, 0.600000, 0.699245, 0.567568, 0.724138, 0.636364, 0.666792, 0.668817
10, 3, 135, 0.600000, 0.699219, 0.567568, 0.724138, 0.636364, 0.666792, 0.667174
10, 4, 34, 0.583333, 0.705253, 0.540000, 0.931034, 0.683544, 0.666796, 0.666905
10, 5, 16, 0.583333, 0.705557, 0.540000, 0.931034, 0.683544, 0.666792, 0.670719
