# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=full, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 103, 0.566667, 0.687689, 0.590909, 0.433333, 0.500000, 0.677912, 0.679667
2, 2, 60, 0.583333, 0.697682, 0.567568, 0.700000, 0.626866, 0.678173, 0.689273
2, 3, 4, 0.600000, 0.692528, 0.650000, 0.433333, 0.520000, 0.675360, 0.685462
2, 4, 21, 0.633333, 0.696715, 0.611111, 0.733333, 0.666667, 0.680187, 0.692193
2, 5, 61, 0.616667, 0.693577, 0.612903, 0.633333, 0.622951, 0.676859, 0.691081
3, 1, 34, 0.616667, 0.693444, 0.615385, 0.307692, 0.410256, 0.680109, 0.690168
3, 2, 100, 0.600000, 0.702324, 0.541667, 0.500000, 0.520000, 0.679774, 0.690036
3, 3, 177, 0.533333, 0.746511, 0.480000, 0.923077, 0.631579, 0.677621, 0.681283
3, 4, 10, 0.633333, 0.661935, 0.590909, 0.500000, 0.541667, 0.681304, 0.681304
3, 5, 86, 0.616667, 0.678738, 0.560000, 0.538462, 0.549020, 0.678343, 0.691003
4, 1, 2, 0.583333, 0.739662, 0.666667, 0.333333, 0.444444, 0.679777, 0.685471
4, 2, 34, 0.616667, 0.693510, 0.581395, 0.833333, 0.684932, 0.663293, 0.663293
4, 3, 108, 0.733333, 0.665602, 0.937500, 0.500000, 0.652174, 0.640158, 0.658131
4, 4, 38, 0.716667, 0.687615, 0.740741, 0.666667, 0.701754, 0.642245, 0.642245
4, 5, 102, 0.733333, 0.667215, 0.937500, 0.500000, 0.652174, 0.640608, 0.666024
5, 1, 1, 0.566667, 0.722336, 1.000000, 0.103448, 0.187500, 0.679366, 0.679833
5, 2, 52, 0.566667, 0.716059, 0.578947, 0.379310, 0.458333, 0.659648, 0.668461
5, 3, 1, 0.566667, 0.722084, 1.000000, 0.103448, 0.187500, 0.658723, 0.686782
5, 4, 23, 0.566667, 0.756338, 1.000000, 0.103448, 0.187500, 0.658103, 0.659027
5, 5, 63, 0.650000, 0.694302, 0.590909, 0.896552, 0.712329, 0.658502, 0.666479
6, 1, 182, 0.583333, 0.685639, 0.650000, 0.419355, 0.509804, 0.664156, 0.666375
6, 2, 52, 0.583333, 0.708406, 0.666667, 0.387097, 0.489796, 0.643772, 0.645938
6, 3, 177, 0.700000, 0.654213, 0.760000, 0.612903, 0.678571, 0.639452, 0.652521
6, 4, 65, 0.700000, 0.661234, 0.724138, 0.677419, 0.700000, 0.637222, 0.638188
6, 5, 126, 0.700000, 0.656231, 0.740741, 0.645161, 0.689655, 0.643975, 0.646762
7, 1, 7, 0.616667, 0.686366, 0.454545, 0.227273, 0.303030, 0.653978, 0.654357
7, 2, 48, 0.733333, 0.658583, 0.750000, 0.409091, 0.529412, 0.637837, 0.649582
7, 3, 161, 0.750000, 0.652234, 1.000000, 0.318182, 0.482759, 0.635671, 0.638100
7, 4, 51, 0.766667, 0.645045, 1.000000, 0.363636, 0.533333, 0.636325, 0.636325
7, 5, 115, 0.716667, 0.658479, 0.692308, 0.409091, 0.514286, 0.631414, 0.633162
8, 1, 54, 0.733333, 0.669976, 0.600000, 0.714286, 0.652174, 0.670741, 0.672547
8, 2, 21, 0.766667, 0.674635, 0.769231, 0.476190, 0.588235, 0.652801, 0.669743
8, 3, 107, 0.766667, 0.642657, 0.888889, 0.380952, 0.533333, 0.652920, 0.654865
8, 4, 29, 0.716667, 0.652295, 0.833333, 0.238095, 0.370370, 0.652523, 0.652523
8, 5, 47, 0.766667, 0.647020, 1.000000, 0.333333, 0.500000, 0.654574, 0.659720
9, 1, 12, 0.600000, 0.685799, 0.566667, 0.607143, 0.586207, 0.680550, 0.684547
9, 2, 64, 0.816667, 0.662531, 0.774194, 0.857143, 0.813559, 0.660281, 0.677868
9, 3, 125, 0.733333, 0.655332, 0.750000, 0.642857, 0.692308, 0.663420, 0.666314
9, 4, 130, 0.783333, 0.640678, 0.727273, 0.857143, 0.786885, 0.663609, 0.673623
9, 5, 193, 0.783333, 0.649406, 0.741935, 0.821429, 0.779661, 0.662314, 0.663353
10, 1, 10, 0.600000, 0.681474, 0.857143, 0.206897, 0.333333, 0.657260, 0.657652
10, 2, 137, 0.633333, 0.677236, 1.000000, 0.241379, 0.388889, 0.625752, 0.638516
10, 3, 61, 0.766667, 0.655239, 1.000000, 0.517241, 0.681818, 0.618401, 0.623345
10, 4, 143, 0.650000, 0.661069, 0.653846, 0.586207, 0.618182, 0.612938, 0.612938
10, 5, 38, 0.633333, 0.693858, 0.594595, 0.758621, 0.666667, 0.613001, 0.613001
