# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=pairwise, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 37, 0.550000, 0.691143, 0.530612, 0.866667, 0.658228, 0.703002, 0.707254
2, 2, 118, 0.550000, 0.691133, 0.534884, 0.766667, 0.630137, 0.703001, 0.703067
2, 3, 40, 0.550000, 0.691137, 0.530612, 0.866667, 0.658228, 0.703002, 0.711872
2, 4, 39, 0.550000, 0.691137, 0.534884, 0.766667, 0.630137, 0.703001, 0.703118
2, 5, 120, 0.550000, 0.691144, 0.534884, 0.766667, 0.630137, 0.703001, 0.704028
3, 1, 145, 0.550000, 0.679757, 0.488372, 0.807692, 0.608696, 0.714869, 0.715891
3, 2, 13, 0.550000, 0.678937, 0.488372, 0.807692, 0.608696, 0.714869, 0.717089
3, 3, 141, 0.550000, 0.679168, 0.488372, 0.807692, 0.608696, 0.714869, 0.714935
3, 4, 24, 0.550000, 0.679364, 0.488372, 0.807692, 0.608696, 0.714870, 0.715665
3, 5, 47, 0.550000, 0.680000, 0.488372, 0.807692, 0.608696, 0.714869, 0.714878
4, 1, 91, 0.616667, 0.696513, 0.705882, 0.400000, 0.510638, 0.699685, 0.714904
4, 2, 79, 0.616667, 0.696510, 0.705882, 0.400000, 0.510638, 0.699685, 0.718359
4, 3, 36, 0.616667, 0.696697, 0.888889, 0.266667, 0.410256, 0.699685, 0.699913
4, 4, 163, 0.616667, 0.696612, 0.818182, 0.300000, 0.439024, 0.699685, 0.708353
4, 5, 190, 0.616667, 0.696590, 0.818182, 0.300000, 0.439024, 0.699685, 0.699757
5, 1, 31, 0.500000, 0.736243, 0.488372, 0.724138, 0.583333, 0.709372, 0.709479
5, 2, 17, 0.500000, 0.736319, 0.488372, 0.724138, 0.583333, 0.709372, 0.711727
5, 3, 27, 0.500000, 0.736933, 0.488372, 0.724138, 0.583333, 0.709372, 0.710567
5, 4, 22, 0.500000, 0.736709, 0.488372, 0.724138, 0.583333, 0.709372, 0.710172
5, 5, 21, 0.500000, 0.737246, 0.488372, 0.724138, 0.583333, 0.709372, 0.710318
6, 1, 41, 0.516667, 0.777135, 0.666667, 0.129032, 0.216216, 0.716229, 0.716469
6, 2, 31, 0.366667, 0.760102, 0.418605, 0.580645, 0.486486, 0.716232, 0.716434
6, 3, 117, 0.516667, 0.774647, 0.600000, 0.193548, 0.292683, 0.716229, 0.716997
6, 4, 143, 0.516667, 0.774468, 0.600000, 0.193548, 0.292683, 0.716229, 0.717652
6, 5, 150, 0.516667, 0.774801, 0.600000, 0.193548, 0.292683, 0.716229, 0.716624
7, 1, 111, 0.516667, 0.696728, 0.379310, 0.500000, 0.431373, 0.716318, 0.716328
7, 2, 55, 0.550000, 0.685224, 0.380952, 0.363636, 0.372093, 0.716318, 0.716319
7, 3, 103, 0.516667, 0.696728, 0.379310, 0.500000, 0.431373, 0.716319, 0.720369
7, 4, 46, 0.550000, 0.685963, 0.380952, 0.363636, 0.372093, 0.716318, 0.716685
7, 5, 193, 0.633333, 0.676033, 0.500000, 0.363636, 0.421053, 0.716318, 0.727511
8, 1, 52, 0.650000, 0.689084, 0.000000, 0.000000, 0.000000, 0.694413, 0.696986
8, 2, 158, 0.416667, 0.693703, 0.230769, 0.285714, 0.255319, 0.694413, 0.694413
8, 3, 113, 0.650000, 0.689658, 0.000000, 0.000000, 0.000000, 0.694414, 0.709193
8, 4, 78, 0.650000, 0.690570, 0.000000, 0.000000, 0.000000, 0.694413, 0.696327
8, 5, 75, 0.650000, 0.690815, 0.000000, 0.000000, 0.000000, 0.694413, 0.699089
9, 1, 51, 0.533333, 0.733118, 0.000000, 0.000000, 0.000000, 0.727344, 0.727388
9, 2, 1, 0.466667, 0.820631, 0.466667, 1.000000, 0.636364, 0.727345, 0.728196
9, 3, 1, 0.466667, 0.820631, 0.466667, 1.000000, 0.636364, 0.727344, 0.734096
9, 4, 1, 0.466667, 0.820631, 0.466667, 1.000000, 0.636364, 0.727344, 0.729730
9, 5, 72, 0.533333, 0.733061, 0.000000, 0.000000, 0.000000, 0.727344, 0.734961
10, 1, 127, 0.600000, 0.699271, 0.567568, 0.724138, 0.636364, 0.666792, 0.696156
10, 2, 191, 0.600000, 0.699194, 0.567568, 0.724138, 0.636364, 0.666792, 0.672289
10, 3, 12, 0.583333, 0.705238, 0.540000, 0.931034, 0.683544, 0.666792, 0.670917
10, 4, 12, 0.583333, 0.703785, 0.541667, 0.896552, 0.675325, 0.666792, 0.669212
10, 5, 93, 0.600000, 0.699231, 0.567568, 0.724138, 0.636364, 0.666792, 0.667450
