# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=pairwise, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 61, 0.550000, 0.691064, 0.533333, 0.800000, 0.640000, 0.703001, 0.703115
2, 2, 119, 0.550000, 0.691140, 0.534884, 0.766667, 0.630137, 0.703001, 0.707293
2, 3, 43, 0.550000, 0.691142, 0.534884, 0.766667, 0.630137, 0.703001, 0.709192
2, 4, 23, 0.550000, 0.691138, 0.530612, 0.866667, 0.658228, 0.703001, 0.703856
2, 5, 33, 0.550000, 0.691133, 0.534884, 0.766667, 0.630137, 0.703001, 0.703201
3, 1, 30, 0.550000, 0.679972, 0.488372, 0.807692, 0.608696, 0.714869, 0.716152
3, 2, 62, 0.533333, 0.690396, 0.477273, 0.807692, 0.600000, 0.714869, 0.715559
3, 3, 7, 0.550000, 0.751937, 0.489796, 0.923077, 0.640000, 0.714869, 0.715237
3, 4, 10, 0.550000, 0.677113, 0.487805, 0.769231, 0.597015, 0.714869, 0.716342
3, 5, 59, 0.550000, 0.677408, 0.487805, 0.769231, 0.597015, 0.714869, 0.718124
4, 1, 130, 0.616667, 0.696508, 0.705882, 0.400000, 0.510638, 0.699686, 0.704031
4, 2, 112, 0.616667, 0.696615, 0.818182, 0.300000, 0.439024, 0.699685, 0.708435
4, 3, 198, 0.616667, 0.696694, 0.888889, 0.266667, 0.410256, 0.699685, 0.700535
4, 4, 93, 0.600000, 0.696569, 0.750000, 0.300000, 0.428571, 0.699685, 0.701026
4, 5, 54, 0.616667, 0.696516, 0.705882, 0.400000, 0.510638, 0.699685, 0.702605
5, 1, 44, 0.500000, 0.736245, 0.488372, 0.724138, 0.583333, 0.709372, 0.709622
5, 2, 41, 0.500000, 0.737187, 0.488372, 0.724138, 0.583333, 0.709372, 0.709372
5, 3, 121, 0.500000, 0.736853, 0.488372, 0.724138, 0.583333, 0.709372, 0.709530
5, 4, 12, 0.500000, 0.736686, 0.488372, 0.724138, 0.583333, 0.709372, 0.709619
5, 5, 23, 0.500000, 0.737123, 0.488372, 0.724138, 0.583333, 0.709372, 0.711769
6, 1, 104, 0.383333, 0.763706, 0.363636, 0.258065, 0.301887, 0.716229, 0.716231
6, 2, 46, 0.516667, 0.774833, 0.600000, 0.193548, 0.292683, 0.716230, 0.720623
6, 3, 90, 0.516667, 0.774732, 0.600000, 0.193548, 0.292683, 0.716229, 0.723587
6, 4, 89, 0.450000, 0.766137, 0.444444, 0.258065, 0.326531, 0.716229, 0.716293
6, 5, 95, 0.500000, 0.769490, 0.533333, 0.258065, 0.347826, 0.716230, 0.716337
7, 1, 136, 0.550000, 0.685735, 0.380952, 0.363636, 0.372093, 0.716318, 0.716327
7, 2, 1, 0.466667, 0.704307, 0.352941, 0.545455, 0.428571, 0.716318, 0.716433
7, 3, 63, 0.550000, 0.688019, 0.391304, 0.409091, 0.400000, 0.716318, 0.717235
7, 4, 22, 0.683333, 0.669851, 0.666667, 0.272727, 0.387097, 0.716321, 0.719692
7, 5, 41, 0.583333, 0.682613, 0.421053, 0.363636, 0.390244, 0.716322, 0.716387
8, 1, 168, 0.650000, 0.689514, 0.000000, 0.000000, 0.000000, 0.694413, 0.695821
8, 2, 105, 0.650000, 0.690956, 0.000000, 0.000000, 0.000000, 0.694413, 0.696858
8, 3, 151, 0.400000, 0.702355, 0.363636, 0.952381, 0.526316, 0.694413, 0.694459
8, 4, 131, 0.650000, 0.687709, 0.000000, 0.000000, 0.000000, 0.694413, 0.695712
8, 5, 46, 0.650000, 0.690866, 0.000000, 0.000000, 0.000000, 0.694413, 0.694425
9, 1, 1, 0.466667, 0.820631, 0.466667, 1.000000, 0.636364, 0.727344, 0.727348
9, 2, 1, 0.466667, 0.820631, 0.466667, 1.000000, 0.636364, 0.727344, 0.737903
9, 3, 1, 0.466667, 0.820631, 0.466667, 1.000000, 0.636364, 0.727344, 0.731500
9, 4, 46, 0.533333, 0.733154, 0.000000, 0.000000, 0.000000, 0.727344, 0.728793
9, 5, 1, 0.466667, 0.820631, 0.466667, 1.000000, 0.636364, 0.727344, 0.734932
10, 1, 61, 0.600000, 0.699192, 0.567568, 0.724138, 0.636364, 0.666793, 0.668455
10, 2, 19, 0.583333, 0.703623, 0.541667, 0.896552, 0.675325, 0.666792, 0.675322
10, 3, 194, 0.600000, 0.699248, 0.567568, 0.724138, 0.636364, 0.666792, 0.674167
10, 4, 114, 0.600000, 0.699223, 0.567568, 0.724138, 0.636364, 0.666792, 0.668017
10, 5, 96, 0.600000, 0.699196, 0.567568, 0.724138, 0.636364, 0.666792, 0.668699
