# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=chain, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 49, 0.583333, 0.700476, 0.857143, 0.200000, 0.324324, 0.697152, 0.698389
2, 2, 99, 0.650000, 0.675374, 0.680000, 0.566667, 0.618182, 0.654326, 0.654326
2, 3, 74, 0.650000, 0.675127, 0.695652, 0.533333, 0.603774, 0.655845, 0.655845
2, 4, 76, 0.666667, 0.677830, 0.638889, 0.766667, 0.696970, 0.655631, 0.657715
2, 5, 98, 0.650000, 0.676983, 0.714286, 0.500000, 0.588235, 0.652604, 0.673546
3, 1, 194, 0.600000, 0.672612, 0.533333, 0.615385, 0.571429, 0.705322, 0.705743
3, 2, 23, 0.616667, 0.668759, 0.600000, 0.346154, 0.439024, 0.671752, 0.672785
3, 3, 135, 0.650000, 0.684439, 0.567568, 0.807692, 0.666667, 0.673054, 0.679673
3, 4, 51, 0.683333, 0.651907, 0.666667, 0.538462, 0.595745, 0.674491, 0.675297
3, 5, 91, 0.650000, 0.661811, 0.631579, 0.461538, 0.533333, 0.662545, 0.679178
4, 1, 141, 0.750000, 0.662189, 0.800000, 0.666667, 0.727273, 0.667007, 0.681269
4, 2, 15, 0.800000, 0.653735, 0.909091, 0.666667, 0.769231, 0.622618, 0.626308
4, 3, 30, 0.866667, 0.622947, 0.789474, 1.000000, 0.882353, 0.590235, 0.617240
4, 4, 99, 0.783333, 0.621200, 0.904762, 0.633333, 0.745098, 0.584638, 0.585365
4, 5, 67, 0.800000, 0.634485, 0.950000, 0.633333, 0.760000, 0.581220, 0.587294
5, 1, 106, 0.633333, 0.694700, 0.769231, 0.344828, 0.476190, 0.689413, 0.699356
5, 2, 143, 0.600000, 0.705370, 0.600000, 0.517241, 0.555556, 0.657431, 0.660856
5, 3, 89, 0.600000, 0.686857, 0.619048, 0.448276, 0.520000, 0.652595, 0.678593
5, 4, 156, 0.600000, 0.686753, 0.608696, 0.482759, 0.538462, 0.646033, 0.664285
5, 5, 49, 0.633333, 0.682584, 0.585366, 0.827586, 0.685714, 0.646396, 0.654483
6, 1, 164, 0.616667, 0.691070, 0.833333, 0.322581, 0.465116, 0.676744, 0.678258
6, 2, 91, 0.700000, 0.641133, 0.740741, 0.645161, 0.689655, 0.636028, 0.642044
6, 3, 193, 0.733333, 0.661586, 0.800000, 0.645161, 0.714286, 0.619895, 0.620119
6, 4, 162, 0.783333, 0.633825, 0.875000, 0.677419, 0.763636, 0.609849, 0.633616
6, 5, 71, 0.783333, 0.635246, 0.875000, 0.677419, 0.763636, 0.608115, 0.634046
7, 1, 21, 0.633333, 0.669951, 0.500000, 0.318182, 0.388889, 0.665203, 0.666726
7, 2, 125, 0.700000, 0.648391, 0.625000, 0.454545, 0.526316, 0.637041, 0.643734
7, 3, 181, 0.716667, 0.673181, 0.619048, 0.590909, 0.604651, 0.628139, 0.643084
7, 4, 131, 0.783333, 0.637456, 0.800000, 0.545455, 0.648649, 0.628294, 0.629060
7, 5, 22, 0.733333, 0.635628, 0.800000, 0.363636, 0.500000, 0.615973, 0.619672
8, 1, 26, 0.733333, 0.676621, 0.600000, 0.714286, 0.652174, 0.675967, 0.677528
8, 2, 21, 0.800000, 0.642225, 0.764706, 0.619048, 0.684211, 0.634709, 0.657577
8, 3, 27, 0.800000, 0.645402, 1.000000, 0.428571, 0.600000, 0.623065, 0.632410
8, 4, 182, 0.833333, 0.617205, 0.789474, 0.714286, 0.750000, 0.600908, 0.600908
8, 5, 101, 0.850000, 0.594142, 1.000000, 0.571429, 0.727273, 0.601781, 0.606840
9, 1, 172, 0.650000, 0.674017, 0.620690, 0.642857, 0.631579, 0.684307, 0.691823
9, 2, 79, 0.900000, 0.588430, 0.923077, 0.857143, 0.888889, 0.606739, 0.607452
9, 3, 55, 0.900000, 0.551386, 0.958333, 0.821429, 0.884615, 0.599855, 0.606571
9, 4, 71, 0.933333, 0.590128, 1.000000, 0.857143, 0.923077, 0.598404, 0.599753
