# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=chain, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 157, 0.683333, 0.688322, 0.823529, 0.466667, 0.595745, 0.660073, 0.660073
2, 2, 140, 0.600000, 0.690525, 0.583333, 0.700000, 0.636364, 0.655951, 0.673774
2, 3, 99, 0.633333, 0.688596, 0.785714, 0.366667, 0.500000, 0.660356, 0.686932
2, 4, 63, 0.650000, 0.678396, 0.621622, 0.766667, 0.686567, 0.654070, 0.654070
2, 5, 58, 0.650000, 0.720505, 0.909091, 0.333333, 0.487805, 0.653017, 0.674852
3, 1, 3, 0.583333, 0.682055, 0.600000, 0.115385, 0.193548, 0.674538, 0.677470
3, 2, 59, 0.583333, 0.721373, 0.517241, 0.576923, 0.545455, 0.674318, 0.674318
3, 3, 186, 0.716667, 0.661727, 0.846154, 0.423077, 0.564103, 0.661896, 0.663593
3, 4, 102, 0.650000, 0.656323, 1.000000, 0.192308, 0.322581, 0.656547, 0.662834
3, 5, 153, 0.666667, 0.655109, 0.687500, 0.423077, 0.523810, 0.658041, 0.666491
4, 1, 12, 0.833333, 0.667361, 0.916667, 0.733333, 0.814815, 0.631010, 0.638639
4, 2, 66, 0.750000, 0.651155, 0.800000, 0.666667, 0.727273, 0.597298, 0.597991
4, 3, 146, 0.800000, 0.655298, 1.000000, 0.600000, 0.750000, 0.590011, 0.594550
4, 4, 97, 0.766667, 0.641350, 0.900000, 0.600000, 0.720000, 0.593686, 0.616342
4, 5, 77, 0.783333, 0.646785, 0.869565, 0.666667, 0.754717, 0.585736, 0.616571
5, 1, 125, 0.616667, 0.673531, 0.714286, 0.344828, 0.465116, 0.664099, 0.665112
5, 2, 4, 0.566667, 0.732445, 0.714286, 0.172414, 0.277778, 0.658680, 0.678781
5, 3, 12, 0.633333, 0.668790, 0.733333, 0.379310, 0.500000, 0.648085, 0.648085
5, 4, 134, 0.650000, 0.696121, 0.666667, 0.551724, 0.603774, 0.641753, 0.655771
5, 5, 101, 0.650000, 0.696026, 0.666667, 0.551724, 0.603774, 0.647656, 0.656147
6, 1, 83, 0.750000, 0.651312, 0.863636, 0.612903, 0.716981, 0.635314, 0.637869
6, 2, 50, 0.750000, 0.651578, 0.807692, 0.677419, 0.736842, 0.617636, 0.623099
6, 3, 76, 0.750000, 0.650882, 0.863636, 0.612903, 0.716981, 0.621999, 0.622482
6, 4, 186, 0.733333, 0.652219, 0.777778, 0.677419, 0.724138, 0.620468, 0.665509
6, 5, 118, 0.733333, 0.662441, 0.857143, 0.580645, 0.692308, 0.614643, 0.628745
7, 1, 128, 0.733333, 0.641143, 0.687500, 0.500000, 0.578947, 0.637253, 0.637807
7, 2, 68, 0.733333, 0.659661, 0.650000, 0.590909, 0.619048, 0.630299, 0.652689
7, 3, 116, 0.766667, 0.652169, 0.700000, 0.636364, 0.666667, 0.624850, 0.627750
7, 4, 199, 0.733333, 0.633924, 0.666667, 0.545455, 0.600000, 0.616135, 0.632991
7, 5, 149, 0.750000, 0.645237, 0.769231, 0.454545, 0.571429, 0.625944, 0.738538
8, 1, 53, 0.766667, 0.641671, 0.666667, 0.666667, 0.666667, 0.636501, 0.640115
8, 2, 69, 0.800000, 0.619494, 0.800000, 0.571429, 0.666667, 0.626170, 0.642295
8, 3, 199, 0.866667, 0.598641, 1.000000, 0.619048, 0.764706, 0.614594, 0.624434
8, 4, 73, 0.733333, 0.634812, 0.631579, 0.571429, 0.600000, 0.603803, 0.605043
8, 5, 139, 0.883333, 0.590436, 1.000000, 0.666667, 0.800000, 0.598626, 0.615869
9, 1, 73, 0.900000, 0.568253, 0.923077, 0.857143, 0.888889, 0.606591, 0.612310
9, 2, 134, 0.900000, 0.561244, 0.923077, 0.857143, 0.888889, 0.606149, 0.626517
9, 3, 142, 0.883333, 0.564673, 0.888889, 0.857143, 0.872727, 0.600409, 0.605605
