# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=full, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 25, 0.583333, 0.694538, 0.551020, 0.900000, 0.683544, 0.697345, 0.706068
2, 2, 182, 0.650000, 0.682055, 0.800000, 0.400000, 0.533333, 0.666351, 0.667737
2, 3, 91, 0.650000, 0.681728, 0.736842, 0.466667, 0.571429, 0.658267, 0.666087
2, 4, 132, 0.650000, 0.679644, 0.714286, 0.500000, 0.588235, 0.656040, 0.675900
2, 5, 166, 0.650000, 0.678803, 0.645161, 0.666667, 0.655738, 0.652526, 0.718487
3, 1, 184, 0.550000, 0.674530, 0.487805, 0.769231, 0.597015, 0.700717, 0.700717
3, 2, 135, 0.650000, 0.669281, 1.000000, 0.192308, 0.322581, 0.674656, 0.680352
3, 3, 57, 0.650000, 0.650237, 0.631579, 0.461538, 0.533333, 0.671252, 0.671252
3, 4, 70, 0.633333, 0.679884, 0.583333, 0.538462, 0.560000, 0.673630, 0.677787
3, 5, 71, 0.666667, 0.655711, 0.800000, 0.307692, 0.444444, 0.662283, 0.663365
4, 1, 73, 0.750000, 0.663494, 0.800000, 0.666667, 0.727273, 0.666671, 0.678880
4, 2, 21, 0.900000, 0.643112, 0.900000, 0.900000, 0.900000, 0.597413, 0.610717
4, 3, 70, 0.800000, 0.614202, 0.714286, 1.000000, 0.833333, 0.593738, 0.597704
4, 4, 153, 0.816667, 0.620583, 0.952381, 0.666667, 0.784314, 0.582788, 0.602903
4, 5, 61, 0.816667, 0.617770, 1.000000, 0.633333, 0.775510, 0.580706, 0.597095
5, 1, 38, 0.533333, 0.729202, 0.510204, 0.862069, 0.641026, 0.691816, 0.691816
5, 2, 121, 0.600000, 0.724146, 0.547170, 1.000000, 0.707317, 0.658037, 0.727007
5, 3, 96, 0.550000, 0.707166, 0.541667, 0.448276, 0.490566, 0.643088, 0.650603
5, 4, 92, 0.583333, 0.709217, 0.600000, 0.413793, 0.489796, 0.647785, 0.649470
5, 5, 108, 0.633333, 0.690333, 0.652174, 0.517241, 0.576923, 0.643924, 0.735863
6, 1, 180, 0.633333, 0.682673, 0.800000, 0.387097, 0.521739, 0.674488, 0.674488
6, 2, 158, 0.733333, 0.644245, 0.857143, 0.580645, 0.692308, 0.620304, 0.624805
6, 3, 80, 0.733333, 0.643203, 0.777778, 0.677419, 0.724138, 0.610776, 0.615528
6, 4, 71, 0.766667, 0.641472, 0.869565, 0.645161, 0.740741, 0.612770, 0.621937
6, 5, 61, 0.750000, 0.640259, 0.807692, 0.677419, 0.736842, 0.608659, 0.644242
7, 1, 113, 0.583333, 0.680578, 0.400000, 0.272727, 0.324324, 0.666909, 0.666909
7, 2, 179, 0.716667, 0.645887, 0.647059, 0.500000, 0.564103, 0.640208, 0.641749
7, 3, 164, 0.733333, 0.631546, 0.750000, 0.409091, 0.529412, 0.617777, 0.617782
7, 4, 150, 0.766667, 0.636340, 0.900000, 0.409091, 0.562500, 0.627344, 0.635771
7, 5, 146, 0.766667, 0.649290, 0.750000, 0.545455, 0.631579, 0.617422, 0.617422
8, 1, 78, 0.733333, 0.676430, 0.600000, 0.714286, 0.652174, 0.676014, 0.676089
8, 2, 32, 0.766667, 0.665604, 0.606061, 0.952381, 0.740741, 0.639033, 0.642499
8, 3, 80, 0.850000, 0.627288, 0.833333, 0.714286, 0.769231, 0.602319, 0.605371
8, 4, 86, 0.816667, 0.597754, 0.812500, 0.619048, 0.702703, 0.598193, 0.606890
8, 5, 200, 0.800000, 0.597064, 0.736842, 0.666667, 0.700000, 0.590490, 0.598128
9, 1, 184, 0.600000, 0.693982, 0.562500, 0.642857, 0.600000, 0.698651, 0.701701
9, 2, 200, 0.883333, 0.611597, 0.888889, 0.857143, 0.872727, 0.623405, 0.624456
9, 3, 187, 0.933333, 0.548790, 1.000000, 0.857143, 0.923077, 0.596339, 0.599536
9, 4, 51, 0.900000, 0.547244, 0.923077, 0.857143, 0.888889, 0.592470, 0.597880
9, 5, 89, 0.933333, 0.526873, 1.000000, 0.857143, 0.923077, 0.591414, 0.591414
10, 1, 17, 0.600000, 0.696467, 0.586207, 0.586207, 0.586207, 0.666185, 0.670756
10, 2, 161, 0.733333, 0.632104, 0.882353, 0.517241, 0.652174, 0.602800, 0.616632
10, 3, 137, 0.800000, 0.614149, 1.000000, 0.586207, 0.739130, 0.578857, 0.580509
10, 4, 119, 0.833333, 0.591467, 0.880000, 0.758621, 0.814815, 0.571972, 0.578795
10, 5, 9, 0.783333, 0.624412, 0.785714, 0.758621, 0.771930, 0.568836, 0.584711
