# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=full, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 108, 0.583333, 0.695650, 0.551020, 0.900000, 0.683544, 0.696977, 0.698532
2, 2, 145, 0.666667, 0.677804, 0.692308, 0.600000, 0.642857, 0.652517, 0.652659
2, 3, 200, 0.650000, 0.678568, 0.628571, 0.733333, 0.676923, 0.660105, 0.661938
2, 4, 176, 0.650000, 0.682985, 0.800000, 0.400000, 0.533333, 0.662286, 0.673136
2, 5, 91, 0.650000, 0.702472, 0.909091, 0.333333, 0.487805, 0.671629, 0.685647
3, 1, 126, 0.616667, 0.674720, 0.578947, 0.423077, 0.488889, 0.690627, 0.700184
3, 2, 27, 0.733333, 0.651452, 0.812500, 0.500000, 0.619048, 0.673116, 0.683554
3, 3, 107, 0.600000, 0.668658, 0.545455, 0.461538, 0.500000, 0.672920, 0.672958
3, 4, 82, 0.650000, 0.657299, 0.631579, 0.461538, 0.533333, 0.670711, 0.686164
3, 5, 51, 0.716667, 0.657337, 0.800000, 0.461538, 0.585366, 0.661043, 0.681074
4, 1, 108, 0.750000, 0.661260, 0.800000, 0.666667, 0.727273, 0.666930, 0.672000
4, 2, 19, 0.766667, 0.654630, 0.700000, 0.933333, 0.800000, 0.596541, 0.601044
4, 3, 148, 0.783333, 0.641033, 0.869565, 0.666667, 0.754717, 0.589346, 0.606430
4, 4, 10, 0.766667, 0.662270, 0.710526, 0.900000, 0.794118, 0.589319, 0.598829
4, 5, 160, 0.800000, 0.641906, 0.909091, 0.666667, 0.769231, 0.588219, 0.592493
5, 1, 99, 0.616667, 0.694975, 0.750000, 0.310345, 0.439024, 0.688446, 0.689993
5, 2, 71, 0.516667, 0.741056, 0.500000, 0.103448, 0.171429, 0.657903, 0.657903
5, 3, 153, 0.616667, 0.697074, 0.615385, 0.551724, 0.581818, 0.647306, 0.658586
5, 4, 176, 0.666667, 0.687080, 0.680000, 0.586207, 0.629630, 0.643438, 0.666100
5, 5, 59, 0.650000, 0.683449, 0.681818, 0.517241, 0.588235, 0.646721, 0.646721
6, 1, 178, 0.616667, 0.693834, 0.833333, 0.322581, 0.465116, 0.677861, 0.687894
6, 2, 183, 0.700000, 0.654779, 0.782609, 0.580645, 0.666667, 0.624299, 0.627122
6, 3, 55, 0.716667, 0.651713, 0.818182, 0.580645, 0.679245, 0.618167, 0.627866
6, 4, 138, 0.733333, 0.658596, 0.800000, 0.645161, 0.714286, 0.631136, 0.645054
6, 5, 86, 0.733333, 0.654557, 0.777778, 0.677419, 0.724138, 0.618226, 0.630124
7, 1, 157, 0.583333, 0.681740, 0.400000, 0.272727, 0.324324, 0.666130, 0.666322
7, 2, 198, 0.600000, 0.663859, 0.458333, 0.500000, 0.478261, 0.642306, 0.646148
7, 3, 135, 0.800000, 0.643443, 0.812500, 0.590909, 0.684211, 0.621962, 0.627463
7, 4, 135, 0.766667, 0.652801, 1.000000, 0.363636, 0.533333, 0.629407, 0.638390
7, 5, 91, 0.750000, 0.643259, 0.666667, 0.636364, 0.651163, 0.619072, 0.622121
8, 1, 31, 0.733333, 0.676769, 0.600000, 0.714286, 0.652174, 0.677130, 0.691844
8, 2, 28, 0.666667, 0.680127, 0.516129, 0.761905, 0.615385, 0.639045, 0.656609
8, 3, 80, 0.833333, 0.609141, 0.823529, 0.666667, 0.736842, 0.603596, 0.619048
8, 4, 112, 0.850000, 0.607697, 0.928571, 0.619048, 0.742857, 0.597302, 0.602328
8, 5, 151, 0.833333, 0.609080, 1.000000, 0.523810, 0.687500, 0.597409, 0.602544
9, 1, 189, 0.583333, 0.693884, 0.548387, 0.607143, 0.576271, 0.695724, 0.698254
9, 2, 155, 0.800000, 0.617150, 0.944444, 0.607143, 0.739130, 0.625515, 0.625515
9, 3, 146, 0.900000, 0.534572, 0.923077, 0.857143, 0.888889, 0.604247, 0.615178
9, 4, 64, 0.866667, 0.552452, 0.954545, 0.750000, 0.840000, 0.601222, 0.601222
9, 5, 99, 0.900000, 0.547724, 0.923077, 0.857143, 0.888889, 0.598450, 0.602266
10, 1, 28, 0.600000, 0.696123, 0.586207, 0.586207, 0.586207, 0.666241, 0.670576
10, 2, 189, 0.716667, 0.657371, 0.657895, 0.862069, 0.746269, 0.609281, 0.611025
10, 3, 130, 0.833333, 0.625616, 1.000000, 0.655172, 0.791667, 0.586107, 0.598485
10, 4, 183, 0.883333, 0.588771, 1.000000, 0.758621, 0.862745, 0.573616, 0.582407
10, 5, 118, 0.866667, 0.582813, 0.956522, 0.758621, 0.846154, 0.573453, 0.586911
