# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=full, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 168, 0.633333, 0.680853, 0.633333, 0.633333, 0.633333, 0.657796, 0.663885
2, 2, 61, 0.650000, 0.703580, 1.000000, 0.300000, 0.461538, 0.653049, 0.673406
2, 3, 113, 0.633333, 0.704130, 0.900000, 0.300000, 0.450000, 0.654381, 0.660228
2, 4, 76, 0.650000, 0.673141, 0.655172, 0.633333, 0.644068, 0.653978, 0.694386
2, 5, 100, 0.683333, 0.678461, 0.648649, 0.800000, 0.716418, 0.651863, 0.684619
3, 1, 25, 0.600000, 0.690387, 0.750000, 0.115385, 0.200000, 0.677070, 0.681933
3, 2, 113, 0.600000, 0.671293, 0.538462, 0.538462, 0.538462, 0.663229, 0.663229
3, 3, 147, 0.633333, 0.662445, 0.590909, 0.500000, 0.541667, 0.665455, 0.686218
3, 4, 8, 0.700000, 0.655519, 0.722222, 0.500000, 0.590909, 0.662932, 0.663100
3, 5, 91, 0.683333, 0.670479, 1.000000, 0.269231, 0.424242, 0.661378, 0.679126
4, 1, 17, 0.783333, 0.641715, 0.947368, 0.600000, 0.734694, 0.603263, 0.624335
4, 2, 165, 0.750000, 0.621540, 0.702703, 0.866667, 0.776119, 0.598967, 0.608759
4, 3, 146, 0.800000, 0.640776, 0.909091, 0.666667, 0.769231, 0.589785, 0.592256
4, 4, 19, 0.833333, 0.634814, 1.000000, 0.666667, 0.800000, 0.585889, 0.608050
4, 5, 21, 0.783333, 0.626610, 1.000000, 0.566667, 0.723404, 0.586492, 0.600130
5, 1, 88, 0.600000, 0.715942, 0.619048, 0.448276, 0.520000, 0.656772, 0.659558
5, 2, 52, 0.633333, 0.672631, 0.640000, 0.551724, 0.592593, 0.647243, 0.648008
5, 3, 15, 0.616667, 0.674652, 0.583333, 0.724138, 0.646154, 0.646661, 0.654375
5, 4, 102, 0.633333, 0.672796, 0.652174, 0.517241, 0.576923, 0.646704, 0.658871
5, 5, 95, 0.650000, 0.679085, 0.785714, 0.379310, 0.511628, 0.641838, 0.651224
6, 1, 185, 0.733333, 0.646131, 0.800000, 0.645161, 0.714286, 0.619571, 0.619599
6, 2, 121, 0.733333, 0.645628, 0.800000, 0.645161, 0.714286, 0.621027, 0.633581
6, 3, 45, 0.733333, 0.648468, 0.800000, 0.645161, 0.714286, 0.623243, 0.629051
6, 4, 94, 0.700000, 0.643750, 0.658537, 0.870968, 0.750000, 0.617629, 0.632799
6, 5, 137, 0.733333, 0.643358, 0.826087, 0.612903, 0.703704, 0.618530, 0.626537
7, 1, 168, 0.750000, 0.667899, 0.705882, 0.545455, 0.615385, 0.647196, 0.657223
7, 2, 186, 0.733333, 0.637414, 0.666667, 0.545455, 0.600000, 0.625295, 0.629469
7, 3, 176, 0.750000, 0.648062, 0.818182, 0.409091, 0.545455, 0.617571, 0.620582
7, 4, 50, 0.750000, 0.640417, 0.666667, 0.636364, 0.651163, 0.616734, 0.623951
7, 5, 156, 0.816667, 0.646986, 0.789474, 0.681818, 0.731707, 0.613401, 0.626373
8, 1, 43, 0.766667, 0.640392, 0.705882, 0.571429, 0.631579, 0.643430, 0.648114
8, 2, 187, 0.850000, 0.603041, 0.875000, 0.666667, 0.756757, 0.609476, 0.613735
8, 3, 40, 0.816667, 0.626399, 0.750000, 0.714286, 0.731707, 0.596215, 0.596215
8, 4, 25, 0.783333, 0.622545, 0.681818, 0.714286, 0.697674, 0.596814, 0.597920
8, 5, 47, 0.866667, 0.616767, 0.933333, 0.666667, 0.777778, 0.601703, 0.604128
9, 1, 129, 0.883333, 0.603700, 0.956522, 0.785714, 0.862745, 0.619938, 0.625131
9, 2, 62, 0.916667, 0.563075, 0.960000, 0.857143, 0.905660, 0.605413, 0.611697
9, 3, 171, 0.916667, 0.572625, 1.000000, 0.821429, 0.901961, 0.610797, 0.620303
9, 4, 53, 0.916667, 0.560949, 0.960000, 0.857143, 0.905660, 0.595671, 0.598833
9, 5, 133, 0.900000, 0.542868, 0.923077, 0.857143, 0.888889, 0.591565, 0.607513
10, 1, 25, 0.766667, 0.638678, 0.941176, 0.551724, 0.695652, 0.602108, 0.602234
10, 2, 49, 0.833333, 0.609952, 0.913043, 0.724138, 0.807692, 0.576928, 0.578422
10, 3, 165, 0.816667, 0.616043, 0.846154, 0.758621, 0.800000, 0.574642, 0.576642
10, 4, 71, 0.850000, 0.605276, 0.954545, 0.724138, 0.823529, 0.569686, 0.569686
10, 5, 100, 0.833333, 0.621924, 1.000000, 0.655172, 0.791667, 0.567770, 0.578016
