# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=pairwise, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 78, 0.583333, 0.690889, 0.553191, 0.866667, 0.675325, 0.702241, 0.719233
2, 2, 164, 0.666667, 0.677673, 0.727273, 0.533333, 0.615385, 0.654219, 0.660086
2, 3, 157, 0.666667, 0.677670, 0.692308, 0.600000, 0.642857, 0.652385, 0.652868
2, 4, 162, 0.666667, 0.677986, 0.692308, 0.600000, 0.642857, 0.653072, 0.664757
2, 5, 129, 0.666667, 0.675146, 0.692308, 0.600000, 0.642857, 0.653483, 0.672592
3, 1, 114, 0.616667, 0.659402, 0.565217, 0.500000, 0.530612, 0.694989, 0.701863
3, 2, 123, 0.633333, 0.666923, 0.700000, 0.269231, 0.388889, 0.676189, 0.677544
3, 3, 37, 0.600000, 0.695798, 0.521739, 0.923077, 0.666667, 0.674509, 0.708945
3, 4, 22, 0.650000, 0.653785, 0.647059, 0.423077, 0.511628, 0.676734, 0.688900
3, 5, 184, 0.650000, 0.679689, 0.647059, 0.423077, 0.511628, 0.657762, 0.661501
4, 1, 180, 0.750000, 0.659440, 0.777778, 0.700000, 0.736842, 0.666283, 0.668578
4, 2, 24, 0.800000, 0.653125, 0.909091, 0.666667, 0.769231, 0.623962, 0.625935
4, 3, 16, 0.766667, 0.650821, 0.785714, 0.733333, 0.758621, 0.622571, 0.624914
4, 4, 12, 0.750000, 0.646552, 0.800000, 0.666667, 0.727273, 0.622508, 0.629444
4, 5, 9, 0.783333, 0.648414, 0.814815, 0.733333, 0.771930, 0.622417, 0.650906
5, 1, 7, 0.500000, 0.736004, 0.488889, 0.758621, 0.594595, 0.700535, 0.703764
5, 2, 161, 0.583333, 0.715505, 0.566667, 0.586207, 0.576271, 0.656483, 0.656592
5, 3, 139, 0.633333, 0.681969, 0.652174, 0.517241, 0.576923, 0.650826, 0.652763
5, 4, 40, 0.600000, 0.707529, 0.600000, 0.517241, 0.555556, 0.651784, 0.660064
5, 5, 168, 0.683333, 0.662938, 0.750000, 0.517241, 0.612245, 0.651090, 0.665302
6, 1, 180, 0.650000, 0.659558, 0.708333, 0.548387, 0.618182, 0.671070, 0.671851
6, 2, 145, 0.700000, 0.646658, 0.760000, 0.612903, 0.678571, 0.638670, 0.638670
6, 3, 153, 0.716667, 0.636958, 0.769231, 0.645161, 0.701754, 0.632657, 0.640763
6, 4, 168, 0.733333, 0.647368, 0.826087, 0.612903, 0.703704, 0.633563, 0.649315
6, 5, 177, 0.750000, 0.634667, 0.833333, 0.645161, 0.727273, 0.632652, 0.634573
7, 1, 10, 0.633333, 0.669893, 0.500000, 0.272727, 0.352941, 0.666779, 0.667148
7, 2, 8, 0.716667, 0.655405, 0.857143, 0.272727, 0.413793, 0.633842, 0.635084
7, 3, 167, 0.716667, 0.656468, 0.727273, 0.363636, 0.484848, 0.645123, 0.666654
7, 4, 185, 0.716667, 0.653680, 0.647059, 0.500000, 0.564103, 0.634636, 0.634698
7, 5, 140, 0.750000, 0.655100, 0.733333, 0.500000, 0.594595, 0.636897, 0.659582
8, 1, 31, 0.733333, 0.681806, 0.600000, 0.714286, 0.652174, 0.675772, 0.675772
8, 2, 28, 0.783333, 0.626886, 0.785714, 0.523810, 0.628571, 0.633360, 0.633360
8, 3, 28, 0.766667, 0.626238, 0.733333, 0.523810, 0.611111, 0.637136, 0.639095
8, 4, 101, 0.783333, 0.637528, 0.700000, 0.666667, 0.682927, 0.636046, 0.642224
8, 5, 19, 0.783333, 0.625873, 0.750000, 0.571429, 0.648649, 0.634886, 0.634886
9, 1, 159, 0.533333, 0.717452, 0.000000, 0.000000, 0.000000, 0.720863, 0.720863
9, 2, 98, 0.900000, 0.572242, 0.923077, 0.857143, 0.888889, 0.608420, 0.611480
9, 3, 184, 0.900000, 0.566500, 0.923077, 0.857143, 0.888889, 0.606366, 0.607887
9, 4, 84, 0.900000, 0.571844, 0.958333, 0.821429, 0.884615, 0.607383, 0.608464
9, 5, 159, 0.900000, 0.561389, 0.923077, 0.857143, 0.888889, 0.607233, 0.609393
10, 1, 22, 0.600000, 0.696407, 0.586207, 0.586207, 0.586207, 0.666195, 0.666527
10, 2, 99, 0.750000, 0.645162, 0.750000, 0.724138, 0.736842, 0.615662, 0.622438
10, 3, 58, 0.733333, 0.652703, 0.724138, 0.724138, 0.724138, 0.616256, 0.620221
10, 4, 16, 0.733333, 0.641843, 0.724138, 0.724138, 0.724138, 0.617292, 0.623936
10, 5, 191, 0.750000, 0.646235, 0.750000, 0.724138, 0.736842, 0.615717, 0.617092
