# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=pairwise, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 77, 0.583333, 0.695667, 0.551020, 0.900000, 0.683544, 0.696633, 0.698632
2, 2, 130, 0.650000, 0.677748, 0.680000, 0.566667, 0.618182, 0.653555, 0.658213
2, 3, 69, 0.666667, 0.680399, 0.812500, 0.433333, 0.565217, 0.661523, 0.681586
2, 4, 148, 0.666667, 0.676699, 0.692308, 0.600000, 0.642857, 0.655230, 0.656971
2, 5, 185, 0.650000, 0.678720, 0.666667, 0.600000, 0.631579, 0.652378, 0.652847
3, 1, 68, 0.683333, 0.662875, 0.733333, 0.423077, 0.536585, 0.690377, 0.690567
3, 2, 71, 0.650000, 0.702485, 0.567568, 0.807692, 0.666667, 0.677279, 0.688519
3, 3, 51, 0.650000, 0.674113, 0.586207, 0.653846, 0.618182, 0.662273, 0.671893
3, 4, 22, 0.616667, 0.678935, 0.540541, 0.769231, 0.634921, 0.677404, 0.703658
3, 5, 96, 0.666667, 0.672959, 0.607143, 0.653846, 0.629630, 0.668545, 0.677303
4, 1, 181, 0.766667, 0.656629, 0.900000, 0.600000, 0.720000, 0.663685, 0.664289
4, 2, 77, 0.783333, 0.646597, 0.814815, 0.733333, 0.771930, 0.622380, 0.644983
4, 3, 21, 0.783333, 0.657258, 0.840000, 0.700000, 0.763636, 0.623641, 0.628230
4, 4, 119, 0.766667, 0.648641, 0.785714, 0.733333, 0.758621, 0.623593, 0.633963
4, 5, 44, 0.816667, 0.654507, 0.880000, 0.733333, 0.800000, 0.629567, 0.638592
5, 1, 116, 0.516667, 0.728933, 0.500000, 0.896552, 0.641975, 0.692640, 0.694087
5, 2, 95, 0.583333, 0.698119, 0.600000, 0.413793, 0.489796, 0.658521, 0.664869
5, 3, 126, 0.583333, 0.690190, 0.576923, 0.517241, 0.545455, 0.647533, 0.652874
5, 4, 153, 0.616667, 0.669081, 0.625000, 0.517241, 0.566038, 0.647201, 0.647201
5, 5, 186, 0.633333, 0.656246, 0.652174, 0.517241, 0.576923, 0.646858, 0.658616
6, 1, 131, 0.550000, 0.736974, 0.750000, 0.193548, 0.307692, 0.683696, 0.683696
6, 2, 132, 0.700000, 0.644222, 0.782609, 0.580645, 0.666667, 0.634969, 0.638657
6, 3, 123, 0.716667, 0.639734, 0.791667, 0.612903, 0.690909, 0.634186, 0.638050
6, 4, 116, 0.733333, 0.644723, 0.800000, 0.645161, 0.714286, 0.632069, 0.632708
6, 5, 184, 0.716667, 0.642786, 0.769231, 0.645161, 0.701754, 0.634168, 0.634444
7, 1, 67, 0.583333, 0.679405, 0.411765, 0.318182, 0.358974, 0.666258, 0.666268
7, 2, 194, 0.733333, 0.657856, 0.650000, 0.590909, 0.619048, 0.634366, 0.635121
7, 3, 69, 0.716667, 0.640703, 0.777778, 0.318182, 0.451613, 0.636383, 0.646074
7, 4, 139, 0.716667, 0.665903, 0.619048, 0.590909, 0.604651, 0.633865, 0.634357
7, 5, 74, 0.716667, 0.650563, 0.666667, 0.454545, 0.540541, 0.635502, 0.636699
8, 1, 22, 0.733333, 0.680117, 0.600000, 0.714286, 0.652174, 0.675748, 0.675785
8, 2, 23, 0.783333, 0.629066, 1.000000, 0.380952, 0.551724, 0.637282, 0.637447
8, 3, 40, 0.783333, 0.637176, 0.722222, 0.619048, 0.666667, 0.635126, 0.635390
8, 4, 11, 0.800000, 0.645354, 0.764706, 0.619048, 0.684211, 0.634492, 0.663199
8, 5, 12, 0.800000, 0.597640, 1.000000, 0.428571, 0.600000, 0.634843, 0.634843
9, 1, 81, 0.583333, 0.712941, 0.545455, 0.642857, 0.590164, 0.697196, 0.701196
9, 2, 107, 0.900000, 0.578439, 0.923077, 0.857143, 0.888889, 0.606666, 0.607430
9, 3, 38, 0.900000, 0.597103, 0.923077, 0.857143, 0.888889, 0.606367, 0.618973
9, 4, 133, 0.900000, 0.561442, 0.923077, 0.857143, 0.888889, 0.606268, 0.607527
9, 5, 86, 0.900000, 0.578148, 0.923077, 0.857143, 0.888889, 0.606409, 0.619999
10, 1, 100, 0.600000, 0.702243, 0.553191, 0.896552, 0.684211, 0.666213, 0.667676
10, 2, 118, 0.733333, 0.641887, 0.809524, 0.586207, 0.680000, 0.615349, 0.617033
10, 3, 70, 0.716667, 0.658627, 0.687500, 0.758621, 0.721311, 0.615992, 0.619349
10, 4, 53, 0.750000, 0.648217, 0.937500, 0.517241, 0.666667, 0.614561, 0.615958
10, 5, 49, 0.750000, 0.647048, 0.937500, 0.517241, 0.666667, 0.613856, 0.630957
