# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=ring, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 83, 0.600000, 0.679106, 0.687500, 0.366667, 0.478261, 0.659371, 0.660137
2, 2, 176, 0.683333, 0.689146, 0.789474, 0.500000, 0.612245, 0.654994, 0.658191
2, 3, 41, 0.650000, 0.681882, 0.595745, 0.933333, 0.727273, 0.653522, 0.654752
2, 4, 47, 0.633333, 0.689792, 0.785714, 0.366667, 0.500000, 0.657426, 0.657714
2, 5, 137, 0.666667, 0.683799, 0.638889, 0.766667, 0.696970, 0.652241, 0.653086
3, 1, 91, 0.566667, 0.680012, 0.500000, 0.807692, 0.617647, 0.664271, 0.673331
3, 2, 94, 0.583333, 0.677605, 0.520000, 0.500000, 0.509804, 0.671512, 0.677933
3, 3, 159, 0.650000, 0.675829, 0.600000, 0.576923, 0.588235, 0.660834, 0.663424
3, 4, 106, 0.666667, 0.659136, 0.714286, 0.384615, 0.500000, 0.656274, 0.659455
3, 5, 191, 0.666667, 0.667251, 0.875000, 0.269231, 0.411765, 0.667661, 0.676996
4, 1, 169, 0.766667, 0.655517, 0.863636, 0.633333, 0.730769, 0.608768, 0.609641
4, 2, 158, 0.766667, 0.670150, 1.000000, 0.533333, 0.695652, 0.596679, 0.604295
4, 3, 157, 0.766667, 0.630252, 0.863636, 0.633333, 0.730769, 0.584706, 0.584706
4, 4, 56, 0.783333, 0.637187, 0.869565, 0.666667, 0.754717, 0.578888, 0.586113
4, 5, 72, 0.766667, 0.637768, 0.863636, 0.633333, 0.730769, 0.584926, 0.585438
5, 1, 167, 0.650000, 0.702930, 0.900000, 0.310345, 0.461538, 0.671627, 0.671627
5, 2, 85, 0.700000, 0.662834, 0.789474, 0.517241, 0.625000, 0.644798, 0.671809
5, 3, 44, 0.616667, 0.669593, 0.607143, 0.586207, 0.596491, 0.640186, 0.644830
5, 4, 12, 0.683333, 0.680856, 0.708333, 0.586207, 0.641509, 0.649818, 0.652218
5, 5, 185, 0.633333, 0.670135, 0.640000, 0.551724, 0.592593, 0.643393, 0.643512
6, 1, 117, 0.700000, 0.678563, 0.842105, 0.516129, 0.640000, 0.619271, 0.625573
6, 2, 113, 0.716667, 0.653079, 0.769231, 0.645161, 0.701754, 0.628448, 0.654628
6, 3, 143, 0.716667, 0.655591, 0.818182, 0.580645, 0.679245, 0.617419, 0.634951
6, 4, 126, 0.733333, 0.646814, 0.800000, 0.645161, 0.714286, 0.611682, 0.641212
6, 5, 81, 0.783333, 0.645591, 0.875000, 0.677419, 0.763636, 0.613526, 0.622636
7, 1, 186, 0.633333, 0.678478, 0.500000, 0.454545, 0.476190, 0.652281, 0.659886
7, 2, 21, 0.733333, 0.628891, 0.750000, 0.409091, 0.529412, 0.629378, 0.631786
7, 3, 135, 0.816667, 0.604155, 0.923077, 0.545455, 0.685714, 0.613117, 0.640499
7, 4, 28, 0.733333, 0.646532, 0.714286, 0.454545, 0.555556, 0.611904, 0.616426
7, 5, 158, 0.800000, 0.637419, 0.857143, 0.545455, 0.666667, 0.613031, 0.614682
8, 1, 3, 0.616667, 0.693657, 0.437500, 0.333333, 0.378378, 0.644866, 0.648512
8, 2, 52, 0.783333, 0.629356, 0.833333, 0.476190, 0.606061, 0.599617, 0.599617
