# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=ring, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 82, 0.616667, 0.709653, 0.620690, 0.600000, 0.610169, 0.689677, 0.692210
2, 2, 12, 0.583333, 0.697655, 0.551020, 0.900000, 0.683544, 0.696436, 0.705067
2, 3, 55, 0.600000, 0.703658, 0.750000, 0.300000, 0.428571, 0.689636, 0.693558
2, 4, 16, 0.583333, 0.697116, 0.551020, 0.900000, 0.683544, 0.695887, 0.706864
2, 5, 68, 0.616667, 0.699414, 0.769231, 0.333333, 0.465116, 0.689613, 0.716939
3, 1, 193, 0.566667, 0.700301, 0.500000, 0.961538, 0.657895, 0.696130, 0.697061
3, 2, 48, 0.666667, 0.664414, 0.687500, 0.423077, 0.523810, 0.691854, 0.691854
3, 3, 166, 0.666667, 0.672747, 0.714286, 0.384615, 0.500000, 0.690450, 0.692822
3, 4, 158, 0.666667, 0.670139, 0.687500, 0.423077, 0.523810, 0.690400, 0.713777
3, 5, 183, 0.616667, 0.686095, 0.533333, 0.923077, 0.676056, 0.690783, 0.712210
4, 1, 50, 0.783333, 0.639637, 0.869565, 0.666667, 0.754717, 0.603537, 0.605908
4, 2, 32, 0.750000, 0.659690, 1.000000, 0.500000, 0.666667, 0.606111, 0.615738
4, 3, 9, 0.816667, 0.636419, 0.952381, 0.666667, 0.784314, 0.593267, 0.594734
4, 4, 86, 0.800000, 0.627836, 0.950000, 0.633333, 0.760000, 0.582068, 0.595975
4, 5, 68, 0.783333, 0.639198, 1.000000, 0.566667, 0.723404, 0.586654, 0.617303
5, 1, 116, 0.566667, 0.712768, 0.666667, 0.206897, 0.315789, 0.656393, 0.656393
5, 2, 14, 0.633333, 0.687019, 0.652174, 0.517241, 0.576923, 0.642845, 0.680080
5, 3, 72, 0.633333, 0.682823, 0.705882, 0.413793, 0.521739, 0.644601, 0.649979
5, 4, 143, 0.683333, 0.674954, 0.750000, 0.517241, 0.612245, 0.646971, 0.652600
5, 5, 90, 0.600000, 0.697505, 0.560976, 0.793103, 0.657143, 0.644229, 0.649601
6, 1, 6, 0.750000, 0.659184, 0.690476, 0.935484, 0.794521, 0.620535, 0.624806
6, 2, 182, 0.750000, 0.642529, 0.863636, 0.612903, 0.716981, 0.620594, 0.633689
6, 3, 24, 0.733333, 0.651271, 0.674419, 0.935484, 0.783784, 0.620209, 0.648276
6, 4, 149, 0.750000, 0.645914, 0.807692, 0.677419, 0.736842, 0.622860, 0.630346
6, 5, 93, 0.750000, 0.649060, 0.863636, 0.612903, 0.716981, 0.618535, 0.637881
7, 1, 23, 0.733333, 0.668532, 0.714286, 0.454545, 0.555556, 0.648975, 0.652748
7, 2, 152, 0.716667, 0.631132, 0.631579, 0.545455, 0.585366, 0.626239, 0.628665
7, 3, 144, 0.750000, 0.625352, 0.666667, 0.636364, 0.651163, 0.622890, 0.685814
7, 4, 120, 0.783333, 0.642118, 0.764706, 0.590909, 0.666667, 0.616075, 0.628389
7, 5, 151, 0.716667, 0.651850, 0.619048, 0.590909, 0.604651, 0.618772, 0.689438
8, 1, 35, 0.716667, 0.662048, 0.583333, 0.666667, 0.622222, 0.656053, 0.659271
8, 2, 84, 0.800000, 0.626184, 0.714286, 0.714286, 0.714286, 0.603058, 0.611705
8, 3, 60, 0.750000, 0.640049, 0.625000, 0.714286, 0.666667, 0.602845, 0.603116
8, 4, 143, 0.850000, 0.583084, 0.928571, 0.619048, 0.742857, 0.593412, 0.635094
8, 5, 152, 0.833333, 0.584939, 1.000000, 0.523810, 0.687500, 0.601110, 0.601891
9, 1, 20, 0.883333, 0.573180, 1.000000, 0.750000, 0.857143, 0.622081, 0.624384
9, 2, 78, 0.850000, 0.602529, 0.913043, 0.750000, 0.823529, 0.614574, 0.614574
9, 3, 7, 0.900000, 0.559789, 1.000000, 0.785714, 0.880000, 0.604518, 0.613293
9, 4, 75, 0.916667, 0.541801, 0.960000, 0.857143, 0.905660, 0.592765, 0.607260
9, 5, 129, 0.900000, 0.542254, 0.923077, 0.857143, 0.888889, 0.592314, 0.600132
10, 1, 129, 0.800000, 0.624989, 0.904762, 0.655172, 0.760000, 0.614556, 0.622012
10, 2, 72, 0.850000, 0.614297, 0.916667, 0.758621, 0.830189, 0.584083, 0.584083
10, 3, 196, 0.883333, 0.589016, 1.000000, 0.758621, 0.862745, 0.569643, 0.578251
10, 4, 192, 0.883333, 0.582390, 1.000000, 0.758621, 0.862745, 0.561375, 0.570234
10, 5, 80, 0.883333, 0.609496, 1.000000, 0.758621, 0.862745, 0.558349, 0.612864
