# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=chain, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 141, 0.666667, 0.699043, 0.636364, 0.875000, 0.736842, 0.686094, 0.686357
2, 2, 20, 0.616667, 0.694678, 0.591837, 0.906250, 0.716049, 0.673901, 0.674629
2, 3, 75, 0.650000, 0.685096, 0.603774, 1.000000, 0.752941, 0.673003, 0.673897
2, 4, 127, 0.616667, 0.692178, 0.714286, 0.468750, 0.566038, 0.668468, 0.672072
2, 5, 137, 0.683333, 0.680083, 0.638298, 0.937500, 0.759494, 0.668654, 0.672097
3, 1, 103, 0.633333, 0.676834, 0.833333, 0.333333, 0.476190, 0.684502, 0.684547
3, 2, 65, 0.766667, 0.619429, 0.944444, 0.566667, 0.708333, 0.620840, 0.622500
3, 3, 76, 0.766667, 0.607773, 0.944444, 0.566667, 0.708333, 0.619897, 0.619916
3, 4, 138, 0.783333, 0.602986, 0.904762, 0.633333, 0.745098, 0.616907, 0.619448
3, 5, 90, 0.783333, 0.602830, 0.947368, 0.600000, 0.734694, 0.616925, 0.618474
4, 1, 45, 0.666667, 0.674420, 1.000000, 0.259259, 0.411765, 0.688227, 0.688293
4, 2, 19, 0.783333, 0.662738, 0.937500, 0.555556, 0.697674, 0.620094, 0.624096
4, 3, 29, 0.766667, 0.651224, 0.882353, 0.555556, 0.681818, 0.613334, 0.614013
4, 4, 9, 0.783333, 0.651173, 0.937500, 0.555556, 0.697674, 0.602585, 0.603891
4, 5, 23, 0.750000, 0.644450, 0.833333, 0.555556, 0.666667, 0.602592, 0.605668
5, 1, 78, 0.516667, 0.718194, 0.500000, 0.724138, 0.591549, 0.695298, 0.702387
5, 2, 66, 0.566667, 0.709808, 0.571429, 0.413793, 0.480000, 0.655751, 0.659236
5, 3, 87, 0.700000, 0.670776, 0.689655, 0.689655, 0.689655, 0.619609, 0.621844
5, 4, 113, 0.650000, 0.674573, 0.653846, 0.586207, 0.618182, 0.613771, 0.613987
5, 5, 146, 0.683333, 0.671080, 0.666667, 0.689655, 0.677966, 0.613852, 0.616992
