# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=chain, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 137, 0.666667, 0.699073, 0.636364, 0.875000, 0.736842, 0.686073, 0.686168
2, 2, 73, 0.716667, 0.656993, 0.653061, 1.000000, 0.790123, 0.632060, 0.636567
2, 3, 99, 0.666667, 0.653541, 0.657895, 0.781250, 0.714286, 0.631701, 0.635379
2, 4, 85, 0.733333, 0.651356, 0.666667, 1.000000, 0.800000, 0.628859, 0.630024
2, 5, 96, 0.716667, 0.655445, 0.653061, 1.000000, 0.790123, 0.628533, 0.629760
3, 1, 23, 0.633333, 0.678330, 0.833333, 0.333333, 0.476190, 0.684501, 0.684502
3, 2, 124, 0.683333, 0.651815, 0.634146, 0.866667, 0.732394, 0.659431, 0.666193
3, 3, 121, 0.700000, 0.653084, 0.657895, 0.833333, 0.735294, 0.661023, 0.672687
3, 4, 77, 0.750000, 0.631185, 0.894737, 0.566667, 0.693878, 0.645526, 0.646336
3, 5, 126, 0.783333, 0.623786, 0.904762, 0.633333, 0.745098, 0.644380, 0.649078
4, 1, 22, 0.666667, 0.676073, 1.000000, 0.259259, 0.411765, 0.688251, 0.688301
4, 2, 26, 0.650000, 0.666540, 0.714286, 0.370370, 0.487805, 0.677160, 0.677270
4, 3, 196, 0.716667, 0.668316, 1.000000, 0.370370, 0.540541, 0.676722, 0.677994
4, 4, 15, 0.716667, 0.664330, 1.000000, 0.370370, 0.540541, 0.657165, 0.657705
4, 5, 193, 0.733333, 0.637061, 1.000000, 0.407407, 0.578947, 0.645460, 0.659356
5, 1, 14, 0.516667, 0.719566, 0.500000, 0.689655, 0.579710, 0.695308, 0.697017
5, 2, 147, 0.666667, 0.659575, 0.680000, 0.586207, 0.629630, 0.643544, 0.649048
5, 3, 177, 0.683333, 0.662273, 0.647059, 0.758621, 0.698413, 0.643719, 0.643829
5, 4, 117, 0.700000, 0.654015, 0.866667, 0.448276, 0.590909, 0.641269, 0.643632
5, 5, 195, 0.700000, 0.652985, 0.739130, 0.586207, 0.653846, 0.640754, 0.647859
