# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=full, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 24, 0.650000, 0.698500, 0.622222, 0.875000, 0.727273, 0.686076, 0.690428
2, 2, 10, 0.633333, 0.692448, 0.604167, 0.906250, 0.725000, 0.670083, 0.671433
2, 3, 125, 0.650000, 0.682322, 0.603774, 1.000000, 0.752941, 0.670817, 0.670875
2, 4, 196, 0.683333, 0.679512, 0.638298, 0.937500, 0.759494, 0.668523, 0.676424
2, 5, 158, 0.666667, 0.681574, 0.620000, 0.968750, 0.756098, 0.668644, 0.669828
3, 1, 113, 0.633333, 0.676914, 0.833333, 0.333333, 0.476190, 0.684503, 0.685463
3, 2, 199, 0.783333, 0.617174, 0.947368, 0.600000, 0.734694, 0.632299, 0.635998
3, 3, 61, 0.783333, 0.617293, 1.000000, 0.566667, 0.723404, 0.630031, 0.634033
3, 4, 72, 0.783333, 0.603179, 0.904762, 0.633333, 0.745098, 0.616926, 0.619440
3, 5, 45, 0.766667, 0.604169, 0.944444, 0.566667, 0.708333, 0.616989, 0.622476
4, 1, 38, 0.666667, 0.675045, 1.000000, 0.259259, 0.411765, 0.688225, 0.688234
4, 2, 15, 0.766667, 0.664014, 0.933333, 0.518519, 0.666667, 0.632156, 0.632362
4, 3, 9, 0.766667, 0.661251, 0.882353, 0.555556, 0.681818, 0.617938, 0.618448
4, 4, 11, 0.766667, 0.649215, 0.933333, 0.518519, 0.666667, 0.602573, 0.603580
4, 5, 9, 0.783333, 0.650536, 0.937500, 0.555556, 0.697674, 0.602632, 0.603018
5, 1, 15, 0.516667, 0.720464, 0.500000, 0.724138, 0.591549, 0.695815, 0.695815
5, 2, 170, 0.600000, 0.694079, 0.600000, 0.517241, 0.555556, 0.646570, 0.648341
5, 3, 138, 0.700000, 0.672670, 0.703704, 0.655172, 0.678571, 0.617375, 0.620055
5, 4, 77, 0.666667, 0.677466, 0.655172, 0.655172, 0.655172, 0.613824, 0.616071
5, 5, 46, 0.650000, 0.682609, 0.642857, 0.620690, 0.631579, 0.613801, 0.615335
