# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=full, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 73, 0.650000, 0.698977, 0.622222, 0.875000, 0.727273, 0.686073, 0.691800
2, 2, 92, 0.650000, 0.689226, 1.000000, 0.343750, 0.511628, 0.670867, 0.674040
2, 3, 148, 0.716667, 0.653561, 1.000000, 0.468750, 0.638298, 0.635887, 0.641604
2, 4, 131, 0.700000, 0.662665, 1.000000, 0.437500, 0.608696, 0.626512, 0.626512
2, 5, 133, 0.733333, 0.642177, 1.000000, 0.500000, 0.666667, 0.609562, 0.609562
3, 1, 42, 0.633333, 0.680142, 0.833333, 0.333333, 0.476190, 0.684502, 0.685252
3, 2, 56, 0.733333, 0.657211, 0.694444, 0.833333, 0.757576, 0.660669, 0.663499
3, 3, 95, 0.766667, 0.625429, 0.900000, 0.600000, 0.720000, 0.623713, 0.625953
3, 4, 134, 0.816667, 0.607089, 0.913043, 0.700000, 0.792453, 0.606250, 0.606397
3, 5, 75, 0.866667, 0.606244, 0.958333, 0.766667, 0.851852, 0.588365, 0.588942
4, 1, 93, 0.600000, 0.679993, 0.551724, 0.592593, 0.571429, 0.688230, 0.689832
4, 2, 187, 0.716667, 0.681035, 0.812500, 0.481481, 0.604651, 0.666628, 0.669634
4, 3, 177, 0.850000, 0.642971, 0.950000, 0.703704, 0.808511, 0.631935, 0.637681
4, 4, 90, 0.800000, 0.638203, 0.941176, 0.592593, 0.727273, 0.622715, 0.622715
4, 5, 73, 0.800000, 0.645777, 0.941176, 0.592593, 0.727273, 0.594204, 0.594408
5, 1, 111, 0.516667, 0.717304, 0.500000, 0.689655, 0.579710, 0.695133, 0.696163
5, 2, 31, 0.516667, 0.709247, 0.500000, 0.034483, 0.064516, 0.663605, 0.663651
5, 3, 188, 0.650000, 0.664710, 0.617647, 0.724138, 0.666667, 0.635646, 0.636167
5, 4, 109, 0.683333, 0.665841, 0.777778, 0.482759, 0.595745, 0.610098, 0.610569
5, 5, 173, 0.800000, 0.642305, 0.814815, 0.758621, 0.785714, 0.598130, 0.609910
