# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=full, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 172, 0.633333, 0.697896, 0.750000, 0.468750, 0.576923, 0.671744, 0.679717
2, 2, 82, 0.616667, 0.689551, 0.595745, 0.875000, 0.708861, 0.691439, 0.691439
2, 3, 37, 0.633333, 0.694963, 0.750000, 0.468750, 0.576923, 0.671765, 0.680287
2, 4, 6, 0.650000, 0.695584, 0.622222, 0.875000, 0.727273, 0.686123, 0.687399
2, 5, 57, 0.633333, 0.687718, 0.750000, 0.468750, 0.576923, 0.671747, 0.673400
3, 1, 14, 0.783333, 0.652244, 0.947368, 0.600000, 0.734694, 0.632301, 0.632414
3, 2, 181, 0.633333, 0.684333, 0.833333, 0.333333, 0.476190, 0.687591, 0.688144
3, 3, 14, 0.783333, 0.621836, 0.947368, 0.600000, 0.734694, 0.632297, 0.632485
3, 4, 17, 0.633333, 0.682121, 0.833333, 0.333333, 0.476190, 0.684502, 0.686283
3, 5, 10, 0.783333, 0.618793, 0.947368, 0.600000, 0.734694, 0.632305, 0.632340
4, 1, 26, 0.650000, 0.664589, 0.875000, 0.259259, 0.400000, 0.632124, 0.632136
4, 2, 164, 0.666667, 0.681943, 1.000000, 0.259259, 0.411765, 0.688713, 0.689516
4, 3, 16, 0.650000, 0.655414, 1.000000, 0.222222, 0.363636, 0.632124, 0.634832
4, 4, 54, 0.666667, 0.681582, 1.000000, 0.259259, 0.411765, 0.688263, 0.689645
4, 5, 14, 0.650000, 0.655444, 1.000000, 0.222222, 0.363636, 0.632124, 0.632124
5, 1, 32, 0.600000, 0.689790, 0.608696, 0.482759, 0.538462, 0.646304, 0.646805
5, 2, 11, 0.616667, 0.684417, 0.560000, 0.965517, 0.708861, 0.694390, 0.699832
5, 3, 10, 0.600000, 0.691191, 0.600000, 0.517241, 0.555556, 0.646303, 0.649187
5, 4, 14, 0.516667, 0.701964, 0.000000, 0.000000, 0.000000, 0.693519, 0.694138
5, 5, 20, 0.600000, 0.693495, 0.600000, 0.517241, 0.555556, 0.646302, 0.647659
