# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=pairwise, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 183, 0.666667, 0.699090, 0.636364, 0.875000, 0.736842, 0.686074, 0.687325
2, 2, 200, 0.683333, 0.685722, 0.632653, 0.968750, 0.765432, 0.673777, 0.681545
2, 3, 151, 0.633333, 0.686825, 0.592593, 1.000000, 0.744186, 0.673788, 0.677164
2, 4, 69, 0.633333, 0.688550, 0.596154, 0.968750, 0.738095, 0.673756, 0.673765
2, 5, 196, 0.800000, 0.685735, 0.727273, 1.000000, 0.842105, 0.673729, 0.693270
3, 1, 46, 0.633333, 0.678305, 0.833333, 0.333333, 0.476190, 0.684503, 0.694884
3, 2, 54, 0.766667, 0.622055, 0.944444, 0.566667, 0.708333, 0.620844, 0.620876
3, 3, 32, 0.766667, 0.635505, 0.900000, 0.600000, 0.720000, 0.620836, 0.620836
3, 4, 49, 0.766667, 0.612220, 0.944444, 0.566667, 0.708333, 0.620836, 0.620843
3, 5, 24, 0.766667, 0.629228, 0.900000, 0.600000, 0.720000, 0.620840, 0.621959
4, 1, 23, 0.666667, 0.675404, 1.000000, 0.259259, 0.411765, 0.688231, 0.688461
4, 2, 33, 0.783333, 0.660032, 0.937500, 0.555556, 0.697674, 0.620092, 0.620100
4, 3, 9, 0.750000, 0.666795, 0.833333, 0.555556, 0.666667, 0.620092, 0.620239
4, 4, 30, 0.783333, 0.658177, 0.937500, 0.555556, 0.697674, 0.620092, 0.623904
4, 5, 22, 0.750000, 0.660518, 0.833333, 0.555556, 0.666667, 0.620099, 0.621148
5, 1, 12, 0.516667, 0.719427, 0.500000, 0.689655, 0.579710, 0.695504, 0.700448
5, 2, 56, 0.566667, 0.712220, 0.571429, 0.413793, 0.480000, 0.655985, 0.662072
5, 3, 102, 0.583333, 0.707946, 0.600000, 0.413793, 0.489796, 0.655958, 0.657806
5, 4, 21, 0.566667, 0.712766, 0.571429, 0.413793, 0.480000, 0.655758, 0.656124
5, 5, 71, 0.583333, 0.708352, 0.600000, 0.413793, 0.489796, 0.655746, 0.656387
