# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=pairwise, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 59, 0.650000, 0.698953, 0.627907, 0.843750, 0.720000, 0.686076, 0.686371
2, 2, 200, 0.733333, 0.652091, 0.666667, 1.000000, 0.800000, 0.632162, 0.638021
2, 3, 81, 0.666667, 0.657565, 0.650000, 0.812500, 0.722222, 0.632026, 0.632454
2, 4, 115, 0.733333, 0.651881, 0.666667, 1.000000, 0.800000, 0.632063, 0.632728
2, 5, 129, 0.733333, 0.653440, 0.666667, 1.000000, 0.800000, 0.632137, 0.639094
3, 1, 29, 0.633333, 0.678302, 0.833333, 0.333333, 0.476190, 0.684502, 0.685950
3, 2, 186, 0.683333, 0.653142, 1.000000, 0.366667, 0.536585, 0.659885, 0.663480
3, 3, 102, 0.666667, 0.655307, 0.619048, 0.866667, 0.722222, 0.659243, 0.659443
3, 4, 71, 0.650000, 0.653370, 0.636364, 0.700000, 0.666667, 0.659404, 0.663000
3, 5, 165, 0.700000, 0.653850, 0.636364, 0.933333, 0.756757, 0.659220, 0.659295
4, 1, 21, 0.633333, 0.675846, 0.692308, 0.333333, 0.450000, 0.688241, 0.689546
4, 2, 126, 0.700000, 0.665823, 1.000000, 0.333333, 0.500000, 0.677903, 0.678375
4, 3, 174, 0.633333, 0.664497, 0.619048, 0.481481, 0.541667, 0.678243, 0.678684
4, 4, 97, 0.683333, 0.669711, 1.000000, 0.296296, 0.457143, 0.678163, 0.679119
4, 5, 52, 0.683333, 0.664074, 0.785714, 0.407407, 0.536585, 0.676889, 0.689113
5, 1, 43, 0.516667, 0.718904, 0.500000, 0.689655, 0.579710, 0.694869, 0.697018
5, 2, 165, 0.666667, 0.659402, 0.714286, 0.517241, 0.600000, 0.643453, 0.645971
5, 3, 58, 0.666667, 0.640157, 0.655172, 0.655172, 0.655172, 0.627718, 0.628946
5, 4, 73, 0.666667, 0.649034, 0.655172, 0.655172, 0.655172, 0.627768, 0.628568
5, 5, 42, 0.666667, 0.650398, 0.666667, 0.620690, 0.642857, 0.627746, 0.627879
