# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=ring, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 83, 0.650000, 0.682759, 0.866667, 0.406250, 0.553191, 0.677721, 0.677752
2, 2, 30, 0.650000, 0.679486, 0.789474, 0.468750, 0.588235, 0.665178, 0.665695
2, 3, 17, 0.666667, 0.683291, 0.875000, 0.437500, 0.583333, 0.672528, 0.675468
2, 4, 6, 0.716667, 0.653893, 1.000000, 0.468750, 0.638298, 0.626278, 0.626377
2, 5, 55, 0.650000, 0.681017, 0.789474, 0.468750, 0.588235, 0.645890, 0.646397
3, 1, 2, 0.700000, 0.628872, 0.750000, 0.600000, 0.666667, 0.643428, 0.643934
3, 2, 70, 0.716667, 0.644789, 0.724138, 0.700000, 0.711864, 0.635225, 0.635242
3, 3, 30, 0.783333, 0.636278, 0.904762, 0.633333, 0.745098, 0.635357, 0.638226
3, 4, 21, 0.683333, 0.659910, 0.923077, 0.400000, 0.558140, 0.650552, 0.655567
3, 5, 102, 0.766667, 0.629008, 0.766667, 0.766667, 0.766667, 0.654743, 0.658519
4, 1, 73, 0.633333, 0.682029, 0.631579, 0.444444, 0.521739, 0.665156, 0.665628
4, 2, 163, 0.616667, 0.678297, 0.642857, 0.333333, 0.439024, 0.672741, 0.672868
4, 3, 46, 0.766667, 0.643878, 1.000000, 0.481481, 0.650000, 0.647871, 0.652443
4, 4, 55, 0.750000, 0.663297, 0.800000, 0.592593, 0.680851, 0.634393, 0.635043
4, 5, 99, 0.683333, 0.687099, 0.900000, 0.333333, 0.486486, 0.675985, 0.675985
5, 1, 29, 0.666667, 0.678178, 0.736842, 0.482759, 0.583333, 0.660648, 0.660862
5, 2, 67, 0.733333, 0.661333, 0.782609, 0.620690, 0.692308, 0.668373, 0.668373
5, 3, 20, 0.700000, 0.661877, 0.923077, 0.413793, 0.571429, 0.641119, 0.642823
5, 4, 14, 0.666667, 0.673109, 0.764706, 0.448276, 0.565217, 0.629408, 0.629569
5, 5, 125, 0.650000, 0.688987, 0.617647, 0.724138, 0.666667, 0.684805, 0.685040
