# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=ring, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 13, 0.650000, 0.698047, 0.622222, 0.875000, 0.727273, 0.686075, 0.686075
2, 2, 110, 0.716667, 0.677062, 1.000000, 0.468750, 0.638298, 0.668221, 0.668434
2, 3, 9, 0.683333, 0.682080, 0.638298, 0.937500, 0.759494, 0.634648, 0.634648
2, 4, 83, 0.666667, 0.659429, 0.772727, 0.531250, 0.629630, 0.632078, 0.632818
2, 5, 59, 0.666667, 0.657707, 0.800000, 0.500000, 0.615385, 0.632158, 0.636154
3, 1, 20, 0.633333, 0.679138, 0.833333, 0.333333, 0.476190, 0.684501, 0.686420
3, 2, 101, 0.716667, 0.646716, 0.724138, 0.700000, 0.711864, 0.646873, 0.647088
3, 3, 175, 0.850000, 0.581379, 0.920000, 0.766667, 0.836364, 0.601338, 0.606992
3, 4, 138, 0.816667, 0.567733, 0.880000, 0.733333, 0.800000, 0.583468, 0.587052
3, 5, 66, 0.816667, 0.577433, 0.880000, 0.733333, 0.800000, 0.582762, 0.583494
4, 1, 143, 0.666667, 0.674538, 1.000000, 0.259259, 0.411765, 0.688225, 0.689958
4, 2, 132, 0.716667, 0.679194, 0.656250, 0.777778, 0.711864, 0.677817, 0.682977
4, 3, 91, 0.733333, 0.661007, 0.823529, 0.518519, 0.636364, 0.616620, 0.617625
4, 4, 136, 0.750000, 0.635326, 0.800000, 0.592593, 0.680851, 0.599402, 0.602068
4, 5, 199, 0.750000, 0.635834, 0.800000, 0.592593, 0.680851, 0.598902, 0.599188
5, 1, 16, 0.516667, 0.718790, 0.500000, 0.689655, 0.579710, 0.695250, 0.696780
5, 2, 188, 0.700000, 0.668163, 0.641026, 0.862069, 0.735294, 0.673364, 0.673364
5, 3, 74, 0.683333, 0.676687, 0.678571, 0.655172, 0.666667, 0.616390, 0.618665
5, 4, 67, 0.700000, 0.655152, 0.789474, 0.517241, 0.625000, 0.599743, 0.600080
5, 5, 98, 0.716667, 0.663364, 0.772727, 0.586207, 0.666667, 0.602843, 0.602843
