# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=chain, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 143, 0.650000, 0.699566, 0.622222, 0.875000, 0.727273, 0.686023, 0.686368
2, 2, 179, 0.633333, 0.652591, 0.708333, 0.531250, 0.607143, 0.632097, 0.636996
2, 3, 200, 0.700000, 0.641532, 0.818182, 0.562500, 0.666667, 0.610396, 0.614241
2, 4, 112, 0.716667, 0.634278, 0.857143, 0.562500, 0.679245, 0.603705, 0.603762
2, 5, 105, 0.733333, 0.640734, 0.900000, 0.562500, 0.692308, 0.593065, 0.602196
3, 1, 38, 0.733333, 0.664452, 0.888889, 0.533333, 0.666667, 0.660867, 0.660899
3, 2, 53, 0.783333, 0.625919, 0.904762, 0.633333, 0.745098, 0.613633, 0.614296
3, 3, 35, 0.800000, 0.600467, 0.909091, 0.666667, 0.769231, 0.600672, 0.602578
3, 4, 57, 0.816667, 0.587884, 0.913043, 0.700000, 0.792453, 0.592154, 0.595031
3, 5, 185, 0.850000, 0.577263, 0.920000, 0.766667, 0.836364, 0.584890, 0.593921
4, 1, 20, 0.766667, 0.647792, 1.000000, 0.481481, 0.650000, 0.649565, 0.650507
4, 2, 14, 0.783333, 0.636630, 1.000000, 0.518519, 0.682927, 0.609166, 0.609424
4, 3, 16, 0.800000, 0.631572, 1.000000, 0.555556, 0.714286, 0.606631, 0.608632
4, 4, 17, 0.800000, 0.623413, 1.000000, 0.555556, 0.714286, 0.582178, 0.587227
4, 5, 97, 0.816667, 0.618178, 0.863636, 0.703704, 0.775510, 0.578960, 0.580645
5, 1, 77, 0.550000, 0.730784, 0.522727, 0.793103, 0.630137, 0.690414, 0.691425
5, 2, 148, 0.633333, 0.666806, 0.629630, 0.586207, 0.607143, 0.644481, 0.644806
5, 3, 146, 0.766667, 0.639176, 0.894737, 0.586207, 0.708333, 0.589446, 0.591790
5, 4, 128, 0.750000, 0.627511, 0.769231, 0.689655, 0.727273, 0.586987, 0.601341
5, 5, 72, 0.766667, 0.634683, 0.894737, 0.586207, 0.708333, 0.584036, 0.585671
